LV,group,n,mean_pre,mean_post,mean_delta,sd_delta,t_stat,pvalue,padj,stars,pathway_label,label
LV1,Young,17,NA,NA,NA,NA,-0.07331145841965765,0.9425954108417678,0.9425954108417678,,Citric Acid Cycle Tca Cycle,Citric Acid Cycle Tca Cycle
LV2,Young,17,NA,NA,NA,NA,-1.5929574904830477,0.13349019780483617,0.2224836630080603,,NA,LV2
LV3,Young,17,NA,NA,NA,NA,4.332743089762641,6.885538684930008e-4,0.006885538684930008,**,NA,LV3
LV4,Young,17,NA,NA,NA,NA,-1.035396217599631,0.3180383199093709,0.3975478998867137,,NA,LV4
LV5,Young,17,NA,NA,NA,NA,3.7376017693040233,0.00220684024272639,0.01103420121363195,*,Beta Catenin Independent Wnt Signaling,Beta Catenin Independent Wnt Signaling
LV6,Young,17,NA,NA,NA,NA,-2.5247275997201344,0.02427753845295959,0.060693846132398976,,Striated Muscle Contraction,Striated Muscle Contraction
LV7,Young,17,NA,NA,NA,NA,-1.9009734386535337,0.07809184086574408,0.15618368173148817,,NA,LV7
LV8,Young,17,NA,NA,NA,NA,0.537401510215546,0.5994287002583324,0.6660318891759249,,Complement Cascade,Complement Cascade
LV9,Young,17,NA,NA,NA,NA,-3.239347633056537,0.005937197660058277,0.019790658866860926,*,Reference Electron Transfer In Complex I,Reference Electron Transfer In Complex I
LV10,Young,17,NA,NA,NA,NA,1.20105332050522,0.24965685603594587,0.3566526514799227,,Reference Translation Initiation,Reference Translation Initiation
LV1,Old,15,0.29809652335629827,0.3208853808691877,0.022788857512889556,1.1675345395798746,0.07559593539585974,0.9408102037892012,0.9408102037892012,,Citric Acid Cycle Tca Cycle,Citric Acid Cycle Tca Cycle
LV2,Old,15,0.2574054745934332,0.0932634825155946,-0.16414199207783864,0.5173034761659695,-1.228909587931741,0.23936236858804474,0.4787247371760895,,NA,LV2
LV3,Old,15,-0.33216414062615535,0.03546290264552312,0.36762704327167844,0.6629616640941075,2.147655729313141,0.04973365489116395,0.15550540312142974,,NA,LV3
LV4,Old,15,-0.08826134911867779,-0.3951896429594405,-0.30692829384076264,0.48463672720868317,-2.452823122530842,0.027891905585475597,0.13945952792737798,,NA,LV4
LV5,Old,15,-0.34857271070699863,-0.32608067629272286,0.022492034414275792,0.5511045411334988,0.1580666973450188,0.8766615274703803,0.9408102037892012,,Beta Catenin Independent Wnt Signaling,Beta Catenin Independent Wnt Signaling
LV6,Old,15,-0.2479032148219371,-0.20672546706631986,0.041177747755617264,0.579429314211582,0.2752375956484663,0.7871541753739549,0.9408102037892012,,Striated Muscle Contraction,Striated Muscle Contraction
LV7,Old,15,0.6105249874228836,0.3816474014867796,-0.22887758593610402,0.25420434209370707,-3.4871122631096547,0.0036269287520830406,0.036269287520830404,*,NA,LV7
LV8,Old,15,0.11213472171710569,0.15793481654534433,0.045800094828238644,0.5963334234708889,0.297456083363652,0.7704864526582927,0.9408102037892012,,Complement Cascade,Complement Cascade
LV9,Old,15,0.03781990432345472,0.06116875805134651,0.023348853727891784,0.42302161800467886,0.2137709227904226,0.8338076710043363,0.9408102037892012,,Reference Electron Transfer In Complex I,Reference Electron Transfer In Complex I
LV10,Old,15,-0.4134592244226646,-0.05730448882342366,0.356154735599241,0.6806698630625757,2.026505703429323,0.0622021612485719,0.15550540312142974,,Reference Translation Initiation,Reference Translation Initiation
