pathway,LV1,LV2,LV3,LV4,LV5,LV6,LV7,LV8,LV9,LV10
REACTOME_AUTOPHAGY,0,0,0,0,0,0,0,0,0,0
REACTOME_AZATHIOPRINE_ADME,0,0,0,0,0,0,0,0,0,0
REACTOME_A_TETRASACCHARIDE_LINKER_SEQUENCE_IS_REQUIRED_FOR_GAG_SYNTHESIS,0,0,0,0,0,0,0,0,0,0
REACTOME_BACTERIAL_INFECTION_PATHWAYS,0,0,0,0,0,0,0,0,0,0
REACTOME_BASE_EXCISION_REPAIR,0,0,0,0,0,0,0,0,0,0
REACTOME_BASIGIN_INTERACTIONS,0,0,0,0,0,0,0,0,0,0
REACTOME_BBSOME_MEDIATED_CARGO_TARGETING_TO_CILIUM,0,0,0,0,0,0,0,0,0,0
REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING,0,0,0,0.0022694851121627603,0.041938072049958336,0,0,0,0,0
REACTOME_BETA_OXIDATION_OF_DECANOYL_COA_TO_OCTANOYL_COA_COA,0,0,0,0,0,0,0,0,0,0
REACTOME_BETA_OXIDATION_OF_HEXANOYL_COA_TO_BUTANOYL_COA,0,0,0,0,0,0,0,0,0,0
REACTOME_BETA_OXIDATION_OF_OCTANOYL_COA_TO_HEXANOYL_COA,0,0,0,0,0,0,0,0,0,0
REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM,0,0,0,0,0,0,0,0,0,0
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS,0,0,0,0,0,0,0,0.01598881940364659,0,0
REACTOME_BIOLOGICAL_OXIDATIONS,0,0,0,0,0,0,0,0,0,0
REACTOME_BIOSYNTHESIS_OF_THE_N_GLYCAN_PRECURSOR_DOLICHOL_LIPID_LINKED_OLIGOSACCHARIDE_LLO_AND_TRANSFER_TO_A_NASCENT_PROTEIN,0,0,0,0,0,0,0,0,0,0
REACTOME_BIOTIN_TRANSPORT_AND_METABOLISM,0,0,0,0,0,0,0,0,0,0
REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM,0,0,0,0,0,0,0,0,0,0
REACTOME_BUDDING_AND_MATURATION_OF_HIV_VIRION,0,0,0,0,0,0,0,0,0,0
REACTOME_B_WICH_COMPLEX_POSITIVELY_REGULATES_RRNA_EXPRESSION,0,0,0,0,0,0,0,0,0,0
REACTOME_CA2_PATHWAY,0,0,0,0,0,0,0,0,0,0
REACTOME_CALCINEURIN_ACTIVATES_NFAT,0,0,0,0,0,0,0,0,0,0
REACTOME_CALNEXIN_CALRETICULIN_CYCLE,0,0,0,0,0,0,0,0,0,0
REACTOME_CAMK_IV_MEDIATED_PHOSPHORYLATION_OF_CREB,0,0,0,0,0,0,0,0,0,0
REACTOME_CARBOXYTERMINAL_POST_TRANSLATIONAL_MODIFICATIONS_OF_TUBULIN,0,0,0,0,0,0,0,0,0,0
REACTOME_CARDIAC_CONDUCTION,0,0,0,0,0,0,0,0,0,0
REACTOME_CARGO_CONCENTRATION_IN_THE_ER,0,0,0,0,0,0,0,0,0,0
REACTOME_CARGO_RECOGNITION_FOR_CLATHRIN_MEDIATED_ENDOCYTOSIS,0,0,0,0,0,0,0,0,0,0
REACTOME_CARGO_TRAFFICKING_TO_THE_PERICILIARY_MEMBRANE,0,0,0,0,0,0,0,0,0,0
REACTOME_CARNITINE_SHUTTLE,0,0,0,0,0,0,0,0,0,0
REACTOME_CASPASE_MEDIATED_CLEAVAGE_OF_CYTOSKELETAL_PROTEINS,0,0,0,0,0,0,0,0,0,0
REACTOME_CA_DEPENDENT_EVENTS,0,0,0,0,0,0,0,0,0,0
REACTOME_CD22_MEDIATED_BCR_REGULATION,0,0,0,0,0,0,0,0,0,0
REACTOME_CD28_DEPENDENT_VAV1_PATHWAY,0,0,0,0,0,0,0,0,0,0
REACTOME_CDC42_GTPASE_CYCLE,0,0,0,0,0,0,0,0,0,0
REACTOME_CDK_MEDIATED_PHOSPHORYLATION_AND_REMOVAL_OF_CDC6,0,0,0,0,0,0,0,0,0,0
REACTOME_CELLULAR_RESPONSES_TO_MECHANICAL_STIMULI,0,0,0,0,0,0,0,0,0,0
REACTOME_CELLULAR_RESPONSES_TO_STIMULI,0,0,0,0,0,0,0,0,0,0
REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS,0,0,0,0,0,0,0,0,0,0
REACTOME_CELLULAR_RESPONSE_TO_HEAT_STRESS,0,0,0,0,0,0,0,0,0,0
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,0,0,0,0,0,0,0,0,0,0
REACTOME_CELLULAR_RESPONSE_TO_MITOCHONDRIAL_STRESS,0,0,0,0,0,0,0,0,0,0
REACTOME_CELLULAR_RESPONSE_TO_STARVATION,0,0,0,0,0,0,0,0,0,0
REACTOME_CELLULAR_SENESCENCE,0,0,0,0,0,0,0,0,0,0
REACTOME_CELL_CELL_COMMUNICATION,0,0,0,0,0,0,0,0,0,0
REACTOME_CELL_CELL_JUNCTION_ORGANIZATION,0,0,0,0,0,0,0,0,0,0
REACTOME_CELL_CYCLE,0,0,0,0,0,0,0,0,0,0
REACTOME_CELL_CYCLE_CHECKPOINTS,0,0,0,0,0,0,0,0,0,0
REACTOME_CELL_CYCLE_MITOTIC,0,0,0,0,0,0,0,0,0,0
REACTOME_CELL_DEATH_SIGNALLING_VIA_NRAGE_NRIF_AND_NADE,0,0,0,0,0,0,0,0,0,0
REACTOME_CELL_EXTRACELLULAR_MATRIX_INTERACTIONS,0,0,0,0,0,0,0,0,0,0
REACTOME_CELL_JUNCTION_ORGANIZATION,0,0,0,0,0,0,0,0,0,0
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL,0,0,0,0,0,0,0,0,0,0
