LV,MEblue,MEblack,MEmagenta,MEbrown,MEyellow,MEred,MEgreen,MEpink,MEturquoise
LV1,-0.4802146590307957,-0.4046743136592011,-0.2757159569370415,-0.6224672410537077,-0.40559752072996974,0.01914860850313849,0.5745027711651796,0.8139261959682531,0.9030775592489586
LV2,-0.3397048585237909,-0.27517229575221847,-0.183254554512388,0.798268224791269,-0.0011057729903096543,0.16649486240519215,-0.2500826233005483,-0.676296611685058,-0.10305793946447318
LV3,0.888486052273243,0.18238353657957634,0.16617735707437803,-0.015546666193029022,-0.26243915709342985,-0.10640854753415177,-0.62658436887561,0.045793280744285784,-0.270820383177791
LV4,0.22663288421883607,-0.09040970321971681,-0.21055063407457145,-0.029967720328943438,0.24746810375807207,-0.023779267631776645,-0.2090631997931548,-0.025367689225966862,-0.370491210826801
LV5,0.5730082802583368,-0.010692327846529858,0.3058877422128608,0.695792336578709,0.03641329764948423,-0.2287463610814091,-0.5894346437548694,-0.09795044454310868,-0.5319730143750193
LV6,-0.15084549738721634,0.28610651213926735,-0.125446895722848,0.1448515290605197,0.9807681269984269,-0.17075616762708004,0.08682153545222729,-0.2474682820836618,-0.4414955081728332
LV7,-0.43248799146455263,-0.3321826268627967,-0.23973965669314906,-0.13625106799263384,-0.4820726648989851,0.44990205132903865,0.06483827726096175,-0.1984947860743385,0.55990461397072
LV8,-0.29163474358713043,-0.3510380997945457,-0.24089382622091265,0.02158163059034095,-0.18638842401435815,0.9526110836271897,-0.061750731274573416,-0.06586193561876352,0.2621798916924687
LV9,-0.5692186757899333,0.14968981593087444,0.11016327770346399,-0.43373967018205517,0.23907225092262005,-0.17398622537775124,0.93913655480759,0.11092471239487958,0.17652921931317112
LV10,0.5030950271733869,0.9246228179746997,0.8495563465298168,-0.1564245286560128,0.19428907779978358,-0.35358933306408424,-0.007803272898176015,-0.1722294327825284,-0.5271381106695749
