pathway,LV,AUC,pval,FDR,pathway_clean
REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE,1,0.98828125,3.54080926597381e-6,7.08161853194762e-6,Citric Acid Cycle Tca Cycle
REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING,5,0.946526655896607,7.17176482394184e-8,1.9132448876461418e-7,Beta Catenin Independent Wnt Signaling
REACTOME_STRIATED_MUSCLE_CONTRACTION,6,0.979096905124302,2.35554021123799e-5,4.2624060965258866e-5,Striated Muscle Contraction
REACTOME_COMPLEMENT_CASCADE,8,0.999504214179474,0.00398057314815468,0.00508156092695539,Complement Cascade
KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_I,9,1,2.92330325866625e-8,8.545040294562884e-8,Reference Electron Transfer In Complex I
KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION,10,0.999052168638156,8.29188785914139e-13,1.0503057954912427e-11,Reference Translation Initiation
