"comparison","p_raw","p_bh","cliffs_d"
"Young_Pre vs Young_Post",2.21088943260131e-06,2.94785257680175e-06,-0.084656691080891
"Old_Pre vs Old_Post",8.62826538487943e-07,1.72565307697589e-06,0.0874437470393179
"Young_Pre vs Old_Pre",0.163172687805597,0.163172687805597,-0.024897722928368
"Young_Post vs Old_Post",5.92273148283259e-16,2.36909259313304e-15,0.144040145009253
