file,panel,source_script,description,key_columns
panel_A/ora_quadrant.csv,Fig 6A,panel_A_ORA.R,ORA enrichment results for reversal quadrant flanking bars (top 5 per quadrant),pathway;set
panel_B/nes_scatter.csv,Fig 6B,panel_B_nes_scatter.R,Pathway NES scatter: Aging vs Training_Old (GO Slim + Hallmark),pathway
panel_C_heatmap/pattern_classification.csv,Fig 6C,panel_C_pattern_heatmap.R,Protein assignments to reversal/exacerbation patterns with GO Slim categories,gene;quadrant;consolidated
panel_C_heatmap/sankey_links.csv,Fig 6C,panel_C_pattern_heatmap.R,Sankey flow data linking proteins to pathways and quadrants,gene;pathway
panel_C_heatmap/bar_data.csv,Fig 6C,panel_C_pattern_heatmap.R,Stacked bar segment data per pathway,pathway;quadrant;n_seg
panel_C_heatmap/pie_data.csv,Fig 6C,panel_C_pattern_heatmap.R,Pathway-pattern proportions for composite display,pathway;pattern
panel_C_heatmap/circos_links.csv,Fig 6C,panel_C_pattern_heatmap.R,Circos link data for pathway-quadrant connections,pathway;quadrant
panel_C_heatmap/union_dep_list.csv,Fig 6C,panel_C_pattern_heatmap.R,Union DEP list for reversal pattern heatmap,gene
panel_C_heatmap/union_ora_links.csv,Fig 6C,panel_C_pattern_heatmap.R,Union ORA links for reversal heatmap,gene;pathway
panel_D_fry/fry_results_all.csv,Fig 6D,panel_D_fry.R,Fry rotation gene-set test results for reversal (direction + p-value),config;set
panel_D_fry/driving_proteins.csv,Fig 6D,panel_D_fry.R,Proteins driving reversal fry signal with per-contrast t-statistics,gene;set
panel_D_fry/pi_p_overlap.csv,Fig 6D,panel_D_fry.R,Overlap between Pi-score and nominal P significance sets,direction
panel_E/rrho2_summary.csv,Fig 6E,panel_E_rrho2.R,RRHO2 heatmap quadrant summary statistics for reversal,quadrant
panel_E/rrho2_sensitivity.csv,Fig 6E,panel_E_rrho2.R,RRHO2 ranking method sensitivity analysis,quadrant
panel_E/rrho2_hotspot_genes.csv,Fig 6E,panel_E_rrho2.R,Gene lists from RRHO2 hotspot quadrants,quadrant;gene
panel_E/rrho2_ora_concordant.csv,Fig 6E,panel_E_rrho2.R,ORA enrichment for RRHO2 reversal quadrant genes,pathway;quadrant
panel_E/rrho2_ora_discordant.csv,Fig 6E,panel_E_rrho2.R,ORA enrichment for RRHO2 exacerbation quadrant genes (may be empty),pathway;quadrant
panel_E/rrho2_ora_discordant_note.csv,Fig 6E,panel_E_rrho2.R,Documentation of null result for exacerbation quadrant ORA,note
panel_E/chord_aging_combined.csv,Fig 6 supp,supp/ora_chord_supp.R,ORA-DEP chord diagram pooled Aging links (Aging + Training_Old),gene;pathway
panel_E/chord_aging_pathways.csv,Fig 6 supp,supp/ora_chord_supp.R,Pathway metadata for pooled Aging ORA chord (padj + mean logFC + direction),pathway
panel_F/fgsea_chord_*.csv,Fig S6F,supp/panel_F_fgsea_chord.R,fGSEA leading-edge chord data per contrast x direction (8 pairs),gene;pathway
panel_F_fry/fry_results_all.csv,Fig S6,supp/fry_ora.R,Fry-specific results for leading-edge pathway analysis,config;set
panel_F_fry/driving_proteins.csv,Fig S6,supp/fry_ora.R,Driving proteins from fry leading edge,gene;set
panel_F_fry/driving_ora.csv,Fig S6,supp/fry_ora.R,ORA enrichment on fry driving proteins,pathway
panel_F_fry/convergent_pathways.csv,Fig S6,supp/convergent_pathways.R,Pathways significant in both RRHO2 and fry analyses,pathway;quadrant
panel_F_fry/pi_p_overlap.csv,Fig S6,supp/fry_ora.R,Overlap between Pi-score and nominal P sets by direction,direction
panel_G/chord_reversed_up.csv,Fig S6G,supp/chord_diagrams.R,Chord data for reversed up quadrant,gene;pathway
panel_G/chord_reversed_down.csv,Fig S6G,supp/chord_diagrams.R,Chord data for reversed down quadrant,gene;pathway
panel_G/chord_exacerbated_down.csv,Fig S6G,supp/chord_diagrams.R,Chord data for exacerbated down quadrant,gene;pathway
panel_supp/enrichment_reversal.csv,Fig S6,supp_enrichment_heatmap.R,Pathway-level reversal enrichment with NES and pattern assignments,pathway;contrast
panel_supp/reversal_pathway_stats.csv,Fig S6,supp_enrichment_heatmap.R,Per-pathway NES for Aging vs Training_Old with significance and pattern,pathway
reversal_tests/melov_permutation.csv,Fig S6,prepare_data.R,Melov-style permutation test for reversal percentage with bootstrap CIs,d_pre
reversal_tests/reversal_contingency.csv,Fig S6,prepare_data.R,Fisher exact test contingency table for reversal vs exacerbation,aging_up_training_down
reversal_tests/signed_reversal_score.csv,Fig S6,prepare_data.R,Signed Pearson correlation between Aging and Training_Old logFC,r
reversal_tests/threshold_sensitivity.csv,Fig S6,prepare_data.R,Reversal percentage sensitivity across Pi-score thresholds,threshold
shared/fgsea_tstat_all_v2.csv,—,prepare_data.R / F03 cache,Precomputed fGSEA results across all contrasts and databases,pathway;contrast
shared/fgsea_gobp_v2.csv,—,prepare_data.R / F03 cache,GO:BP-only fGSEA cache,pathway;contrast
supp/h_directional_asymmetry_tests.csv,Fig S6,supp/directional_asymmetry.R,Statistical tests for directional asymmetry in reversal response,test
supp/h_directional_asymmetry_ora.csv,Fig S6,supp/directional_asymmetry.R,ORA enrichment for directionally asymmetric reversal proteins,pathway;direction
supp/nes_scatter_collapsed.csv,Fig S6,supp/nes_scatter_collapsed.R,NES scatter with independent pathway flags for collapsed reversal view,pathway
supp/supp_reversal_vs_effect.csv,Fig S6,supp/reversal_vs_effect_size.R,Reversal fraction by aging effect size quintile with odds ratios,quintile_logFC
