quadrant,pathway,n_flow
Reversed Up,Amino Acid & Cofactor Metabolism,16
Reversed Up,Carbohydrate & Energy Metabolism,4
Reversed Up,Cytoskeleton & Motility,3
Reversed Up,DNA & Cell Cycle,4
Reversed Up,Development,1
Reversed Up,ECM & Adhesion,2
Reversed Up,Immune & Inflammation,4
Reversed Up,Lipid Metabolism,10
Reversed Up,Mitochondria & Energy,1
Reversed Up,Protein Homeostasis,10
Reversed Up,Transcription & Chromatin,1
Reversed Up,Transport,5
Reversed Down,Amino Acid & Cofactor Metabolism,3
Reversed Down,Carbohydrate & Energy Metabolism,4
Reversed Down,Cytoskeleton & Motility,9
Reversed Down,DNA & Cell Cycle,6
Reversed Down,Development,2
Reversed Down,ECM & Adhesion,10
Reversed Down,Immune & Inflammation,2
Reversed Down,Mitochondria & Energy,2
Reversed Down,Muscle & Contractile,6
Reversed Down,Protein Homeostasis,4
Reversed Down,Transcription & Chromatin,8
Reversed Down,Translation & Ribosome,13
Reversed Down,Transport,14
Non-reversed,Amino Acid & Cofactor Metabolism,4
Non-reversed,Carbohydrate & Energy Metabolism,6
Non-reversed,Cytoskeleton & Motility,4
Non-reversed,DNA & Cell Cycle,2
Non-reversed,Development,3
Non-reversed,ECM & Adhesion,5
Non-reversed,Immune & Inflammation,2
Non-reversed,Lipid Metabolism,1
Non-reversed,Muscle & Contractile,4
Non-reversed,Protein Homeostasis,4
Non-reversed,Transcription & Chromatin,3
Non-reversed,Translation & Ribosome,4
Non-reversed,Transport,5
