module,delta_VL,delta_LBM
MEgreen,0.3434498530180679,0.16055924901810104
MEpink,0.2807888646367345,0.11474442981017487
MEturquoise,0.26461282047346224,0.20378451386415825
MEbrown,-0.32633245968681496,-0.42271260998986737
MEyellow,-0.12576963257693397,0.1633183097724895
MEmagenta,0.12054001352435026,-0.4067574318701565
MEred,0.06649818623751334,0.18710603335508322
MEblack,-0.24623120042119692,-0.2720600868100986
MEblue,-0.13505675309148613,-0.09810893006692765
MEgrey,-0.5068598127325598,-0.1777979066967753
