module,BMI_Pre,VL_Pre,LBM_Pre
MEgreen,-0.1438968548864344,0.09298333078411702,0.15546757128366281
MEpink,-0.13977261786201287,0.1570508706204543,0.13054707612315028
MEturquoise,-0.15210542595420318,0.10840733920878311,0.2400915661868035
MEbrown,0.4153112582616759,0.02429183462322398,-0.013917201138715113
MEyellow,-0.05004478054280219,-0.3289605270429909,-0.5035013714033202
MEmagenta,0.2534944918094737,0.34278552945136737,0.22793399102161435
MEred,0.05013792667936496,-0.06075296907090588,-0.1839903390297858
MEblack,-0.15549160996115297,0.0011576149691946726,-0.31298067998209755
MEblue,-0.02182774430682954,0.2039028993681143,0.11961288218521805
MEgrey,-0.4826731242068893,-0.17954048596669273,-0.2998321020844351
