pathway,pval,padj,foldEnrichment,overlap,size,database,odds_ratio,dedup_status,merged_into,overlap_jaccard,module,Description,geneID,Count,p.adjust,ID
GOBP_MUSCLE_CELL_DEVELOPMENT,2.6269981903452774e-13,1.8726727748175352e-10,4.145142857142857,31,75,GO:BP,7.2894870492635855,kept,NA,NA,yellow,Muscle Cell Development,ACTA1/ACTN1/ACTN2/ACTN3/ACTN4/COL6A1/LMNA/LMOD2/LMOD3/MYBPC1/MYBPC2/MYH3/MYOM1/MYOM2/MYOM3/MYOZ1/MYOZ2/NEB/OBSCN/PDLIM5/PLEC/PPP3CA/STAC3/SYNPO2L/TCAP/TMOD1/TMOD4/TNNT1/TNNT3/TPM1/TTN,31,1.8726727748175352e-10,GOBP_MUSCLE_CELL_DEVELOPMENT
GOBP_MUSCLE_ORGAN_DEVELOPMENT,3.790835576553715e-13,1.8726727748175352e-10,3.7885714285714287,34,90,GO:BP,6.347402597402597,kept,NA,NA,yellow,Muscle Organ Development,ACTA1/ACTN3/COL3A1/COL6A1/COL6A3/DES/FHL3/ITGA7/JPH2/LAMA2/LMNA/LMOD3/MYH3/MYH7/MYL3/MYL6/MYL6B/MYLK/MYLK2/MYOM1/MYOZ1/MYOZ2/NEB/PLEC/PPP3CA/SMYD1/SPEG/STAC3/SVIL/TCAP/TNNC1/TNNI1/TPM1/TTN,34,1.8726727748175352e-10,GOBP_MUSCLE_ORGAN_DEVELOPMENT
GOBP_MYOFIBRIL_ASSEMBLY,9.156056413497972e-13,3.015394578845332e-10,5.242207792207792,23,44,GO:BP,10.981665393430099,kept,NA,NA,yellow,Myofibril Assembly,ACTA1/ACTN2/LMOD2/LMOD3/MYBPC1/MYBPC2/MYH3/MYOM1/MYOM2/MYOM3/MYOZ1/MYOZ2/NEB/OBSCN/PLEC/SYNPO2L/TCAP/TMOD1/TMOD4/TNNT1/TNNT3/TPM1/TTN,23,3.015394578845332e-10,GOBP_MYOFIBRIL_ASSEMBLY
GOBP_CELLULAR_COMPONENT_ASSEMBLY_INVOLVED_IN_MORPHOGENESIS,9.80394168623424e-12,2.421573596499857e-9,4.805357142857143,23,48,GO:BP,9.204919786096257,redundant,GOBP_MYOFIBRIL_ASSEMBLY,0.5428571428571428,yellow,Cellular Component Assembly Involved In Morphogenesis,ACTA1/ACTN2/LMOD2/LMOD3/MYBPC1/MYBPC2/MYH3/MYOM1/MYOM2/MYOM3/MYOZ1/MYOZ2/NEB/OBSCN/PLEC/SYNPO2L/TCAP/TMOD1/TMOD4/TNNT1/TNNT3/TPM1/TTN,23,2.421573596499857e-9,GOBP_CELLULAR_COMPONENT_ASSEMBLY_INVOLVED_IN_MORPHOGENESIS
GOBP_MUSCLE_CELL_DIFFERENTIATION,3.917723072400727e-11,7.741420791063837e-9,2.9280500521376434,40,137,GO:BP,4.363856882959369,kept,NA,NA,yellow,Muscle Cell Differentiation,ACTA1/ACTN1/ACTN2/ACTN3/ACTN4/COL6A1/LAMA2/LAMB2/LAMC1/LMNA/LMOD2/LMOD3/MYBPC1/MYBPC2/MYH3/MYOM1/MYOM2/MYOM3/MYOZ1/MYOZ2/NEB/NID1/OBSCN/PDLIM5/PLEC/PPP3CA/RPL27/RPL34/RPL38/SMYD1/SPEG/STAC3/SYNPO2L/TCAP/TMOD1/TMOD4/TNNT1/TNNT3/TPM1/TTN,40,7.741420791063837e-9,GOBP_MUSCLE_CELL_DIFFERENTIATION
GOBP_SARCOMERE_ORGANIZATION,6.343531803204468e-11,1.044568236927669e-8,5.641071428571428,18,32,GO:BP,12.602678571428571,redundant,GOBP_MYOFIBRIL_ASSEMBLY,0.6710526315789473,yellow,Sarcomere Organization,ACTN2/LMOD2/MYBPC1/MYBPC2/MYH3/MYOM1/MYOM2/MYOM3/MYOZ1/MYOZ2/OBSCN/PLEC/SYNPO2L/TCAP/TNNT1/TNNT3/TPM1/TTN,18,1.044568236927669e-8,GOBP_SARCOMERE_ORGANIZATION
GOBP_MUSCLE_TISSUE_DEVELOPMENT,6.263849115825359e-10,8.840975609193506e-8,3.3817275747508306,29,86,GO:BP,5.169235242803141,kept,NA,NA,yellow,Muscle Tissue Development,ACTA1/ACTN2/ACTN3/COL3A1/COL6A1/JPH2/LMNA/LMOD3/MYH7/MYL3/MYL6/MYL6B/MYLK/MYLK2/MYOM1/MYOZ1/MYOZ2/NEB/PDLIM5/PLEC/PPP3CA/SMYD1/STAC3/SVIL/TCAP/TNNC1/TNNI1/TPM1/TTN,29,8.840975609193506e-8,GOBP_MUSCLE_TISSUE_DEVELOPMENT
GOBP_MUSCLE_CONTRACTION,1.9488195887500936e-9,2.406792192106366e-7,2.5698214285714287,41,160,GO:BP,3.622743772065039,kept,NA,NA,yellow,Muscle Contraction,ACTA1/ACTN3/CACNB3/CALM1/DES/JPH2/LMOD2/LMOD3/MYH1/MYH13/MYH2/MYH3/MYH4/MYH7/MYH8/MYL1/MYL3/MYL6/MYL6B/MYLK/MYLK2/MYOM2/RPL27/RPL34/RPL38/SSPN/STAC3/SYNM/TCAP/TMOD1/TMOD4/TNNC1/TNNC2/TNNI1/TNNI2/TNNT1/TNNT3/TPM1/TPM2/TPM3/TTN,41,2.406792192106366e-7,GOBP_MUSCLE_CONTRACTION
GOBP_STRIATED_MUSCLE_CELL_DIFFERENTIATION,8.927403425757081e-9,9.80030509405333e-7,2.8046004842615013,33,118,GO:BP,3.972283150548355,redundant,GOBP_MUSCLE_CELL_DIFFERENTIATION,0.7468879668049793,yellow,Striated Muscle Cell Differentiation,ACTA1/ACTN2/ACTN3/COL6A1/LMNA/LMOD2/LMOD3/MYBPC1/MYBPC2/MYH3/MYOM1/MYOM2/MYOM3/MYOZ1/MYOZ2/NEB/OBSCN/PDLIM5/PLEC/PPP3CA/RPL27/RPL34/RPL38/SMYD1/STAC3/SYNPO2L/TCAP/TMOD1/TMOD4/TNNT1/TNNT3/TPM1/TTN,33,9.80030509405333e-7,GOBP_STRIATED_MUSCLE_CELL_DIFFERENTIATION
GOBP_ACTOMYOSIN_STRUCTURE_ORGANIZATION,3.8499391210319355e-8,3.7677208473920973e-6,3.29706457925636,24,73,GO:BP,4.863726135615536,kept,NA,NA,yellow,Actomyosin Structure Organization,ACTA1/ACTN2/LMOD2/LMOD3/MYBPC1/MYBPC2/MYH3/MYOM1/MYOM2/MYOM3/MYOZ1/MYOZ2/NEB/OBSCN/PLEC/SYNPO/SYNPO2L/TCAP/TMOD1/TMOD4/TNNT1/TNNT3/TPM1/TTN,24,3.7677208473920973e-6,GOBP_ACTOMYOSIN_STRUCTURE_ORGANIZATION
