module,BMI_Pre,VL_Pre,LBM_Pre
MEgreen,0.5949492830581936,0.7319700421611661,0.5653318675116558
MEpink,0.6056556245067102,0.5613287026143385,0.6298764603298854
MEturquoise,0.5738727425872001,0.6894249351172769,0.37043102235045466
MEbrown,0.10965827775328334,0.9288453487839088,0.9592019824815328
MEyellow,0.8539701872752127,0.2134663742460492,0.046778228831145456
MEmagenta,0.3434727185902654,0.19369526254956249,0.3958603656415246
MEred,0.8537011120205487,0.8231427310312504,0.49516212117477554
MEblack,0.5652709979019641,0.9966051675434812,0.23787411309371254
MEblue,0.936048535794985,0.44877255956413076,0.6590460602739049
MEgrey,0.058267532948621394,0.5058293784694743,0.25921615306163664
