module,BMI_Pre,VL_Pre,LBM_Pre
MEgreen,0.8652223207238717,0.9966051675434812,0.7322734003043389
MEpink,0.8652223207238717,0.9966051675434812,0.7322734003043389
MEturquoise,0.8652223207238717,0.9966051675434812,0.7322734003043389
MEbrown,0.5482913887664167,0.9966051675434812,0.9592019824815328
MEyellow,0.936048535794985,0.9966051675434812,0.4677822883114546
MEmagenta,0.8652223207238717,0.9966051675434812,0.7322734003043389
MEred,0.936048535794985,0.9966051675434812,0.7322734003043389
MEblack,0.8652223207238717,0.9966051675434812,0.7322734003043389
MEblue,0.936048535794985,0.9966051675434812,0.7322734003043389
MEgrey,0.5482913887664167,0.9966051675434812,0.7322734003043389
