uniprot_id,kME,module,gene
P09493,0.936358986831687,yellow,TPM1
P07951,0.9336157726616011,yellow,TPM2
P48788,0.9268016735924236,yellow,TNNI2
O43707,0.9089961228883887,yellow,ACTN4
P45378,0.9079447603285502,yellow,TNNT3
P52179,0.9068212686717909,yellow,MYOM1
Q9NZQ9,0.9058528380935381,yellow,TMOD4
P35609,0.8968585824199123,yellow,ACTN2
P12814,0.8963566541136305,yellow,ACTN1
Q9NP98,0.8921493615781131,yellow,MYOZ1
P26038,0.8872053323202531,blue,MSN
Q00765,0.8812212429272527,blue,REEP5
Q14204,0.8370170741482076,blue,DYNC1H1
P11142,0.822265088529826,blue,HSPA8
O75923,0.8010416683066099,blue,DYSF
P10636,0.7997805170796481,blue,MAPT
Q14974,0.7959917704916911,blue,KPNB1
P07437,0.7952355451964289,blue,TUBB
P48643,0.7947013165020501,blue,CCT5
P68363,0.7932241827166135,blue,TUBA1B
P62269,0.9266592453664508,magenta,RPS18
P63244,0.8927027663364819,magenta,RACK1
P62701,0.8752622480767908,magenta,RPS4X
P61247,0.86442011907996,magenta,RPS3A
P35268,0.8561661424689139,magenta,RPL22
Q13557,0.8300452667534183,magenta,CAMK2D
P08865,0.8120309306114676,magenta,RPSA
P62249,0.8081303097040001,magenta,RPS16
P46782,0.7880894612460334,magenta,RPS5
P63220,0.7857796766047137,magenta,RPS21
P38117,0.9274244335565716,turquoise,ETFB
P48735,0.9097912541109406,turquoise,IDH2
P51649,0.9020127431083521,turquoise,ALDH5A1
P13804,0.9003544588937522,turquoise,ETFA
P43155,0.8998711968765302,turquoise,CRAT
Q16762,0.8659758273384504,turquoise,TST
Q99798,0.8651978244551692,turquoise,ACO2
P35914,0.8403244546722147,turquoise,HMGCL
P00505,0.8378081788924404,turquoise,GOT2
P07954,0.8284110158271105,turquoise,FH
P62979,0.8880235693393361,black,RPS27A
P41091,0.8608419740501208,black,EIF2S3
Q05639,0.8091423030121605,black,EEF1A2
O00487,0.801764535216763,black,PSMD14
Q9NZM1,0.754880681459477,black,MYOF
P68104,0.7532141654221909,black,EEF1A1
P62081,0.7515254306579959,black,RPS7
Q9H2I8,0.738844802893559,black,LRMDA
O43242,0.7222653302107589,black,PSMD3
Q7L1Q6,0.7122593733716619,black,BZW1
P28331,0.9470518203398227,green,NDUFS1
P49821,0.9262192872852687,green,NDUFV1
O95298,0.9180948592114232,green,NDUFC2
O95168,0.9175817671595864,green,NDUFB4
P19404,0.9125214732885814,green,NDUFV2
O95167,0.9109236077065299,green,NDUFA3
O95182,0.9085717782153055,green,NDUFA7
Q16718,0.904659162859637,green,NDUFA5
O00217,0.9044489217336484,green,NDUFS8
O75251,0.8987535181243558,green,NDUFS7
P25705,0.8849496060704377,pink,ATP5F1A
Q00325,0.8523466754648918,pink,SLC25A3
P56385,0.8494074800643544,pink,ATP5ME
Q02218,0.8417561536100786,pink,OGDH
O75964,0.8348354356561951,pink,ATP5MG
P24539,0.8149774380847545,pink,ATP5PB
Q9H7Z7,0.7991067503796984,pink,PTGES2
O75947,0.7931336139741612,pink,ATP5PD
P48047,0.7929005026741586,pink,ATP5PO
P36542,0.7792280571334825,pink,ATP5F1C
Q9UHG3,0.8623219851325725,brown,PCYOX1
P63241,0.8078933104958389,brown,EIF5A
P10768,0.7914128791371866,brown,ESD
O14983,0.7857345565166439,brown,ATP2A1
Q5VU43,0.7836418349447988,brown,PDE4DIP
P25789,0.7827918252960127,brown,PSMA4
Q15843,0.7819534078240582,brown,NEDD8
P62942,0.7685322241405949,brown,FKBP1A
P61586,0.760346846556743,brown,RHOA
Q93084,0.7540439873637652,brown,ATP2A3
P46777,0.9152731745955913,red,RPL5
P18621,0.9145986686502848,red,RPL17
P05387,0.9102699223694005,red,RPLP2
P62906,0.9039696909316551,red,RPL10A
P46779,0.9010768814326297,red,RPL28
Q02878,0.896296826321327,red,RPL6
P05388,0.8940563306132502,red,RPLP0
P84098,0.8926555887940004,red,RPL19
P18124,0.8846669975046868,red,RPL7
P36578,0.8762294245684125,red,RPL4
