module,delta_VL,delta_LBM
MEgreen,0.6743852885851551,-0.10391135127159998
MEpink,0.1974024719282334,0.20840993798617918
MEturquoise,0.2904164971350688,0.3934256265244533
MEbrown,-0.4010118541104064,-0.07486621010508221
MEyellow,0.16871883164106652,-0.32493030370410764
MEmagenta,-0.2321674237627562,-0.15652664687000134
MEred,-0.026491507900550278,-0.20977362297299046
MEblack,-0.1262916160819195,-0.29115244876916035
MEblue,-0.4094676169045121,-0.014151866216246025
MEgrey,-0.13691588697276028,-0.10562967131361975
