module,delta_VL,delta_LBM
MEgreen,0.1910003605254827,-0.19527293951530245
MEpink,0.23584305538866984,0.18442465665703647
MEturquoise,0.21900322560370283,0.26130607762415375
MEbrown,-0.19362906180386824,-0.07960659010324923
MEyellow,-0.14146177085021802,-0.30608319583151045
MEmagenta,-0.14679786105137524,-0.28187761926017746
MEred,-0.0634824439168357,-0.11317750015615133
MEblack,0.007443900748576187,-0.11162597259321821
MEblue,-0.04881427443409498,0.13272132512414078
MEgrey,-0.17781491140444006,-0.07865649309416878
