age_group,module,estimate,SE,df,t_ratio,p_raw,r_equiv,singular,p_bh
Young,MEgreen,-0.10678,0.03746,15.19,-2.851,0.012024649193940685,-0.5904,FALSE,0.07203507695436659
Young,MEpink,0.04721,0.03204,15.33,1.4736,0.1608344372790576,0.3522,FALSE,0.402086093197644
Young,MEturquoise,-0.01308,0.02717,15.32,-0.4815,0.6369589334737265,-0.1221,FALSE,0.8492785779649685
Young,MEbrown,0.00849,0.03056,14.5,0.2778,0.7850558167445804,0.0728,FALSE,0.9141553941003628
Young,MEyellow,-0.07531,0.03557,15.08,-2.1172,0.05126445032375035,-0.4786,FALSE,0.2050578012950014
Young,MEmagenta,0.01986,0.02814,15.41,0.7058,0.49083760611210214,0.1769,FALSE,0.8180626768535036
Young,MEred,0.02212,0.0364,15.36,0.6078,0.5522290637346967,0.1532,FALSE,0.8492785779649685
Young,MEblack,0.03479,0.02688,15.42,1.2945,0.21454745249759744,0.3131,FALSE,0.4767721166613276
Young,MEblue,0.14926,0.03548,15.26,4.2066,7.365781098572573e-4,0.7328,FALSE,0.014731562197145146
Young,MEgrey,-0.07934,0.02865,14.89,-2.769,0.014407015390873319,-0.5831,FALSE,0.07203507695436659
Old,MEgreen,0.00905,0.03964,14,0.2283,0.8227398546903265,0.0609,FALSE,0.9141553941003628
Old,MEpink,0.00406,0.05058,14,0.0802,0.9372213379140183,0.0214,FALSE,0.9547226401968409
Old,MEturquoise,-0.01845,0.03486,14,-0.5293,0.6048645272816626,-0.1401,FALSE,0.8492785779649685
Old,MEbrown,-0.02685,0.03221,14,-0.8336,0.4184812763496373,-0.2175,FALSE,0.7608750479084314
Old,MEyellow,0.00181,0.03128,14,0.0578,0.9547226401968409,0.0154,FALSE,0.9547226401968409
Old,MEmagenta,0.07755,0.04588,14,1.6902,0.11312826086847362,0.4117,FALSE,0.32322360248135323
Old,MEred,0.04804,0.0417,14,1.152,0.26862600081277166,0.2942,FALSE,0.5372520016255433
Old,MEblack,-0.01124,0.02677,14,-0.42,0.6808401299216976,-0.1116,FALSE,0.8510501624021221
Old,MEblue,0.06281,0.03092,14,2.0316,0.06162748698506866,0.4772,TRUE,0.20542495661689555
Old,MEgrey,-0.09043,0.03229,14,-2.8007,0.014159635245672831,-0.5992,FALSE,0.07203507695436659
