row,module,n,n_pos,n_neg,auc,ci_lo,ci_hi,perm_p,q_bh,sig,border_color,border_lty,border_lw
Age,turquoise,30,15,15,0.9644444444444445,0.9107465358594953,1,0,0,q<.05,black,solid,2.4
Age,blue,30,15,15,0.8933333333333335,0.7781453269454986,1,0,0,q<.05,black,solid,2.4
Age,brown,30,15,15,0.7866666666666668,0.6097923739249859,0.9635409594083476,0.007,0.0672,p<.05,black,dashed,2.4
Age,yellow,30,15,15,0.5244444444444445,0.28941013556607603,0.7594787533228128,0.845,0.8817391304347826,ns,grey80,solid,0.3
Age,green,30,15,15,0.7333333333333333,0.5481067098151252,0.9185599568515413,0.023,0.12266666666666666,p<.05,black,dashed,2.4
Age,red,30,15,15,0.7333333333333334,0.5370260760028565,0.9296405906638101,0.021,0.12266666666666666,p<.05,black,dashed,2.4
Age,black,30,15,15,0.7288888888888888,0.5389239507773524,0.9188538270004254,0.033,0.132,p<.05,black,dashed,2.4
Age,pink,30,15,15,0.5688888888888889,0.3488619218501783,0.7889158559275995,0.542,0.7679999999999999,ns,grey80,solid,0.3
ΔVL-responder,turquoise,30,15,15,0.6488888888888888,0.4409438463884102,0.8568339313893675,0.18,0.432,ns,grey80,solid,0.3
ΔVL-responder,blue,30,15,15,0.471111111111111,0.25212119760851326,0.6901010246137089,0.791,0.8437333333333333,ns,grey80,solid,0.3
ΔVL-responder,brown,30,15,15,0.6622222222222222,0.45862329061077106,0.8658211538336735,0.156,0.41866666666666663,ns,grey80,solid,0.3
ΔVL-responder,yellow,30,15,15,0.56,0.3429991369121578,0.7770008630878423,0.577,0.7679999999999999,ns,grey80,solid,0.3
ΔVL-responder,green,30,15,15,0.5866666666666667,0.37011585770259936,0.803217475630734,0.459,0.6885,ns,grey80,solid,0.3
ΔVL-responder,red,30,15,15,0.6311111111111112,0.41860266988352507,0.8436195523386971,0.24,0.4551111111111111,ns,grey80,solid,0.3
ΔVL-responder,black,30,15,15,0.6711111111111111,0.4703268613991928,0.8718953608230294,0.143,0.41866666666666663,ns,grey80,solid,0.3
ΔVL-responder,pink,30,15,15,0.6133333333333334,0.4032618490085734,0.8234048176580931,0.29,0.48,ns,grey80,solid,0.3
Pre vs Post,turquoise,60,30,30,0.5244444444444444,0.37527118929060505,0.6736176995982837,0.65,0.7679999999999999,ns,grey80,solid,0.3
Pre vs Post,blue,60,30,30,0.7311111111111113,0.6041463011928664,0.8580759210293559,0,0,q<.05,black,solid,2.4
Pre vs Post,brown,60,30,30,0.5966666666666666,0.44865450751542507,0.744678825817908,0.106,0.3392,ns,grey80,solid,0.3
Pre vs Post,yellow,60,30,30,0.6455555555555553,0.4999068246949291,0.791204286416182,0.026,0.1248,p<.05,black,dashed,2.4
Pre vs Post,green,60,30,30,0.5711111111111111,0.42297415294364815,0.7192480692785741,0.253,0.4551111111111111,ns,grey80,solid,0.3
Pre vs Post,red,60,30,30,0.5533333333333332,0.40543723225938016,0.7012294344072866,0.367,0.568258064516129,ns,grey80,solid,0.3
Pre vs Post,black,60,30,30,0.5677777777777777,0.4179121828897567,0.7176433726657989,0.334,0.5344000000000001,ns,grey80,solid,0.3
Pre vs Post,pink,60,30,30,0.5866666666666667,0.43867108166854607,0.7346622516647873,0.256,0.4551111111111111,ns,grey80,solid,0.3
Pre vs Post (Young),turquoise,30,15,15,0.56,0.34262480359426417,0.7773751964057359,0.562,0.7679999999999999,ns,grey80,solid,0.3
Pre vs Post (Young),blue,30,15,15,0.84,0.6877273361991918,0.9922726638008081,0,0,q<.05,black,solid,2.4
