contrast,gene,average_intensity,logFC,adj.P.Val,pi_score,sig_pi,direction
Aging,MMP24OS,16.322906735899043,0.42564042832376714,0.374205586975447,0.45987209003175467,0,NS
Aging,ESYT2,17.098331165177516,-0.23244844069425596,0.3551879523281773,0.6391268155508284,0,NS
Aging,ILVBL,17.0022662256138,-0.2544752114815445,0.46379599392815063,0.6888290754918648,0,NS
Aging,FSD2,17.976966028844235,-0.6158720999106144,0.00373770877681063,0.00396944504493662,-1,Down
Aging,TARS3,15.491210573111283,0.05966533782572014,0.8882857015720607,0.9858667230787226,0,NS
Aging,VWA8,21.47361209635668,0.6646396858035679,0.11717126210278464,0.08386656366401839,0,NS
Aging,CARNS1,20.22661257014602,-0.37100465794523174,0.3712427575100042,0.5056975272839425,0,NS
Aging,MAP1LC3B2,20.71365448426334,-0.48256863030458774,0.11245798137690452,0.16139930536382885,0,NS
Aging,PGP,23.015275302127968,0.11935343382025464,0.40607897625787553,0.8179079762640198,0,NS
Aging,DHRS7C,21.64224919716279,-0.26910005725876474,0.24175713556597103,0.5020376978587551,0,NS
Aging,SMTNL1,23.415900733680058,-0.1775535065228695,0.6361687459148656,0.8554210976867596,0,NS
Aging,NUDT19,17.09822072861629,-0.44130066244622057,0.269195274999028,0.34918849948115077,0,NS
Aging,NACA,23.676700924402898,-0.2637795003792007,0.01950838401975869,0.1831678414264164,0,NS
Aging,SLC35A4,18.642144427044716,-0.20926471736253305,0.4091249509730984,0.704810754034218,0,NS
Aging,PDLIM1,22.35573246652498,0.9989612842528288,7.533652829667887e-4,8.70240545530446e-6,1,Up
Aging,MYO1C,18.51696111305153,0.2848607195950841,0.21337585574865792,0.45472757919887186,0,NS
Aging,FXYD1,19.839740222518383,-0.5747361921065774,0.0650720561684794,0.07073175502142448,0,NS
Aging,STXBP3,18.28831392540244,-0.09410439991654228,0.6665321512351358,0.9288440467085204,0,NS
Aging,NDUFS8,22.652158433323613,-0.02271516935448403,0.9464330880242152,0.9972921257801776,0,NS
Aging,PSMD11,21.814326331494183,-0.07804562409891247,0.5438406488609318,0.9124241149649504,0,NS
Aging,PSMD12,20.5400178390757,-0.1663521332628477,0.3627095842270354,0.7312016308499195,0,NS
Aging,PSMD9,18.06626928699169,-0.04439489019247134,0.8128286181497374,0.9816364918727132,0,NS
Aging,PGRMC1,18.91983573998077,0.08406682060093118,0.8985051201443869,0.981712484249484,0,NS
Aging,CLIC1,19.36113622918581,-0.04542221071705654,0.8534674466902405,0.985667157274093,0,NS
Aging,EIF3F,19.64848331315272,0.1017062367330368,0.5341300385278606,0.8832166781954085,0,NS
Aging,PDHX,23.423102974046103,-0.03729719619605021,0.8187144778532247,0.985259553147818,0,NS
Aging,DCTN6,15.851648718794934,-0.32023918876871704,0.301044242837797,0.494744094295266,0,NS
Aging,IPO5,21.664347487773032,-0.10203073301259737,0.34174796249253786,0.8169480219061163,0,NS
Aging,EEF2K,16.35507340966682,-0.00309748312431779,0.9953077509695598,0.9999588063869064,0,NS
Aging,EML1,20.485666849968,-0.08477632531296564,0.6517955996265806,0.9319473516543956,0,NS
Aging,DNM1L,20.235648856551407,0.13120134831684993,0.3732521930137072,0.7866859989674345,0,NS
Aging,RTCA,20.818279583226023,0.25348698688141624,0.11037455177035758,0.3802268469580371,0,NS
Aging,NDUFA4,26.116413014662196,0.04350106951070387,0.8441601550826969,0.9852413960008022,0,NS
Aging,PSMD14,20.663506678898425,-0.3392654829918271,0.00244362152754813,0.03775464505078919,-1,Down
Aging,BIN1,26.342706408141986,-0.02622180858060829,0.8476485259516064,0.9913338107666656,0,NS
Aging,KPNA3,21.013469042201347,-0.13953174980446548,0.5291331822253755,0.8417241594136842,0,NS
Aging,DDX3X,19.580342341103787,-0.29530154423935784,0.1987861210704366,0.4264234117078231,0,NS
Aging,KPNA4,22.95551193172343,0.00421620098222774,0.9804089430622784,0.9998171594667816,0,NS
Aging,CES2,20.52386433748361,0.3580225968998647,0.36329193398443854,0.5104842658737153,0,NS
Aging,FBP2,26.02274350483461,-0.12280789971213224,0.6967960373903453,0.9186187433925096,0,NS
Aging,PDXK,19.267523960905883,-0.02515095512011811,0.8748851880027358,0.9933932154336153,0,NS
Aging,SDHD,23.24022941532173,0.16720188454397444,0.5187622010348694,0.807960112719977,0,NS
Aging,COX7A2L,16.51490204168833,-0.11592590917798518,0.8221682136949805,0.9561264125550116,0,NS
Aging,GAPDHS,19.680137412117432,0.3977418890724635,0.5470388954795947,0.629360648268069,0,NS
Aging,HSPB6,27.08676097123112,0.3961980520677635,0.16777165059654428,0.2862229174177309,0,NS
Aging,NDUFAB1,23.44014097238817,-0.2678342784655676,0.2907526442318599,0.5449829934358402,0,NS
Aging,IMPA2,22.349000339564174,-0.19961212897716865,0.364173381766725,0.6881637049606849,0,NS
Aging,PDCD5,20.868805406975408,0.02845782287110765,0.8619709824217849,0.9917314506597136,0,NS
Aging,PRMT5,20.030749701047153,0.09100786243017468,0.5645171638527587,0.9044033660780716,0,NS
Aging,PSMA7,23.64721799067241,-0.07354349926055193,0.515083383615668,0.9094374618223486,0,NS
Aging,OPLAH,18.94512524218218,0.36251259304654937,0.02793583031504623,0.11707985670039614,0,NS
Aging,MGST3,24.549018043627623,-0.1561725063295043,0.4764197361152235,0.80103437888464,0,NS
Aging,RGS12,20.5353297775736,-0.10923920140304232,0.7683876287110017,0.944579324362732,0,NS
Aging,HAT1,18.90746114588252,-1.6440680777592398,0.04459332986283149,1.9351488682827563e-4,-1,Down
Aging,UQCRQ,25.02529869085899,0.02542934780801786,0.8990113604880956,0.9945261509425366,0,NS
Aging,MYL12B,20.98167091379819,0.1986604708169537,0.4677247405756811,0.7495788000650737,0,NS
Aging,UQCR11,21.528693051066593,-0.1041662781285062,0.7669318503702091,0.9466522235291356,0,NS
Aging,CASQ2,25.64879160783649,0.226899826950568,0.46319376729316825,0.7156151162757861,0,NS
Aging,HGS,16.3499010490389,-0.15577522948694167,0.5291331822253755,0.8249503705991239,0,NS
Aging,HNRNPDL,18.643689955970057,-0.26593572479517036,0.23104464522806809,0.4964608984117755,0,NS
Aging,XPO1,18.793595068441423,0.15650212717764944,0.264064876164797,0.6851548389725945,0,NS
Aging,ATP2A1,28.3056883676577,-0.14184600850142104,0.575299911796692,0.859873444252454,0,NS
Aging,SYNJ2,22.912083012135817,0.0067844292146546,0.9930266217007276,0.999868912548955,0,NS
Aging,SYNM,21.197547344971472,-1.0625487422153732,0.00615512184254826,1.5359784252159066e-4,-1,Down
Aging,ARPC1B,17.155284550604783,0.0113918745865611,0.978153968203819,0.9994243701129648,0,NS
Aging,ARPC2,16.83268869422138,NA,NA,NA,0,NS
Aging,PGRMC2,21.238493941061485,0.22348364722923364,0.3712427575100042,0.6634148552674629,0,NS
Aging,PFDN6,20.451799981344372,0.17123529873570575,0.2863432464570124,0.6759690153899537,0,NS
