quadrant,max_neg_log10_pvalue,n_hotspot_genes,n_ora_pathways,matrix_rows,matrix_cols,n_shared_genes
Concordant_Up,33.69,177,50,214,214,2126
Concordant_Down,32.1,344,5,214,214,2126
Discordant_YoungUp_OldDown,37.11,174,0,214,214,2126
Discordant_YoungDown_OldUp,27.18,313,4,214,214,2126
