gene,pathway,go_slim_id,pattern,logFC_Training_Young,logFC_Training_Old
CARNS1,Amino Acid & Cofactor Metabolism,GO:0006520,Concordant Up,0.7759,0.453
EZR,Amino Acid & Cofactor Metabolism,GO:0007586,Concordant Up,0.6414,0.197
HPRT1,Amino Acid & Cofactor Metabolism,GO:0055086,Concordant Up,0.5118,0.5566
ALDH1B1,Carbohydrate & Energy Metabolism,GO:0005975,Concordant Up,1.2088,0.4062
GLRX3,Circulatory System,GO:0003013,Concordant Up,0.5413,0.216
HSPB7,Circulatory System,GO:0003013,Concordant Up,0.4577,0.2023
DYNC1I2,Cytoskeleton & Motility,GO:0007018,Concordant Up,0.3643,0.0893
DYNLT1,Cytoskeleton & Motility,GO:0007163,Concordant Up,0.4339,0.2539
FSCN1,Cytoskeleton & Motility,GO:0007163,Concordant Up,0.7074,0.6479
GLIPR2,Cytoskeleton & Motility,GO:0048870,Concordant Up,0.4474,0.606
MSN,Cytoskeleton & Motility,GO:0007163,Concordant Up,0.4705,0.2478
CCT6A,DNA & Cell Cycle,GO:0032200,Concordant Up,0.3878,0.1656
DYNC1H1,DNA & Cell Cycle,GO:0007059,Concordant Up,0.408,0.1197
DYNC1LI1,DNA & Cell Cycle,GO:0140014,Concordant Up,0.6381,0.1033
S100A11,DNA & Cell Cycle,GO:0006260,Concordant Up,0.5494,0.1925
TUBB6,DNA & Cell Cycle,GO:0000278,Concordant Up,0.4764,0.2367
S100A4,Development,GO:0030154,Concordant Up,1.015,0.4377
ANXA1,Immune & Inflammation,GO:0098542,Concordant Up,0.5767,0.2386
AKR1C3,Lipid Metabolism,GO:0042180,Concordant Up,0.6494,0.0682
CBR1,Lipid Metabolism,GO:0042180,Concordant Up,0.4004,0.2351
USP9X,Mitochondria & Energy,GO:0007031,Concordant Up,0.416,0.1192
MYBPH,Muscle & Contractile,GO:0003012,Concordant Up,1.1059,1.7207
ABCE1,Other,OTHER,Concordant Up,0.4528,0.1935
CALU,Other,OTHER,Concordant Up,0.3894,0.3073
JPT2,Other,OTHER,Concordant Up,0.9004,0.4136
F13A1,Protein Homeostasis,GO:0051604,Concordant Up,0.7356,0.1249
HSPB1,Protein Homeostasis,GO:0006457,Concordant Up,0.524,0.3907
HSPB6,Protein Homeostasis,GO:0006457,Concordant Up,0.619,0.2803
PSME1,Protein Homeostasis,GO:0030163,Concordant Up,0.3726,0.1161
PSME2,Protein Homeostasis,GO:0030163,Concordant Up,0.6117,0.2855
SERPINH1,Protein Homeostasis,GO:0051604,Concordant Up,0.907,0.8176
UCHL1,Protein Homeostasis,GO:0006914,Concordant Up,0.8543,0.1235
FARSA,Translation & Ribosome,GO:0006399,Concordant Up,0.4429,0.0448
FARSB,Translation & Ribosome,GO:0006399,Concordant Up,0.6058,0.1228
RPS11,Translation & Ribosome,GO:0002181,Concordant Up,0.4916,0.1915
TARS1,Translation & Ribosome,GO:0006399,Concordant Up,0.4435,0.1533
VARS1,Translation & Ribosome,GO:0006399,Concordant Up,0.525,0.1543
ARHGAP1,Transport,GO:0016192,Concordant Up,0.388,0.4722
CAMK2D,Transport,GO:0072659,Concordant Up,0.4039,0.5425
S100A13,Transport,GO:0016192,Concordant Up,1.1115,0.6609
S100A6,Transport,GO:0055085,Concordant Up,1.174,0.5317
ALDH6A1,Amino Acid & Cofactor Metabolism,GO:0006520,Concordant Down,-0.2031,-0.5216
ASS1,Amino Acid & Cofactor Metabolism,GO:0071941,Concordant Down,-0.2462,-0.6464
MGST3,Amino Acid & Cofactor Metabolism,GO:0098754,Concordant Down,-0.4094,-0.1511
SLC25A42,Amino Acid & Cofactor Metabolism,GO:0006766,Concordant Down,-0.3609,-0.7574
COX7B,Carbohydrate & Energy Metabolism,GO:0006091,Concordant Down,-0.5736,-0.03
FBN1,Carbohydrate & Energy Metabolism,GO:0005975,Concordant Down,-0.8338,-0.3804
MT-CO3,Carbohydrate & Energy Metabolism,GO:0006091,Concordant Down,-0.5278,-0.0733
SORBS1,Carbohydrate & Energy Metabolism,GO:0005975,Concordant Down,-0.8092,-0.3001
COL1A2,Circulatory System,GO:0003013,Concordant Down,-1.2317,-0.0828
IFT81,Cytoskeleton & Motility,GO:0044782,Concordant Down,-1.4638,-0.0878
SYNE2,Cytoskeleton & Motility,GO:0044782,Concordant Down,-0.388,-0.4305
H1-0,DNA & Cell Cycle,GO:0006310,Concordant Down,-0.6743,-0.2363
NFIC,DNA & Cell Cycle,GO:0006260,Concordant Down,-0.5049,-0.129
MAOB,Development,GO:0048856,Concordant Down,-0.4089,-0.1829
COL4A1,ECM & Adhesion,GO:0034330,Concordant Down,-1.3968,-0.0789
COL4A2,ECM & Adhesion,GO:0030198,Concordant Down,-0.9791,-0.0435
MYLK,ECM & Adhesion,GO:0042060,Concordant Down,-0.7665,-0.7396
ANXA3,Immune & Inflammation,GO:0098542,Concordant Down,-0.3847,-0.5737
CD81,Immune & Inflammation,GO:0006954,Concordant Down,-0.8205,-0.1565
GNAS,Immune & Inflammation,GO:0006954,Concordant Down,-0.4809,-0.3094
ADH1B,Lipid Metabolism,GO:0006629,Concordant Down,-0.8158,-0.6933
PCYT2,Lipid Metabolism,GO:0006629,Concordant Down,-0.0878,-0.4805
MT-ND4,Mitochondria & Energy,GO:0007005,Concordant Down,-0.5116,-0.2174
NDUFA3,Mitochondria & Energy,GO:0007005,Concordant Down,-0.6028,-0.0925
MYH3,Muscle & Contractile,GO:0003012,Concordant Down,-1.2199,-0.4081
ART3,Other,OTHER,Concordant Down,-0.7703,-0.431
CCDC137,Other,OTHER,Concordant Down,-1.6349,-0.2155
FAM185A,Other,OTHER,Concordant Down,-0.8719,-0.3236
MAOA,Other,OTHER,Concordant Down,-0.5057,-0.1941
