pathway,pval,padj,foldEnrichment,overlap,size,overlapGenes,database,odds_ratio,quadrant,pathway_label,ID,p.adjust,GeneRatio,geneID
REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC,2.896642840203074e-10,6.291508248921077e-7,9.437449556093624,11,14,,Reactome,42.98393574297189,Concordant Up,Formation Of Tubulin Folding Intermediates...,REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC,6.291508248921077e-7,11/177,CCT2/CCT3/CCT4/CCT5/CCT6A/CCT7/CCT8/TCP1/TUBA1B/TUBB2A/TUBB6
GOSLIM_PROTEIN_FOLDING,1.573344660020789e-8,1.7086523007825767e-5,3.373960515457373,25,89,,GO Slim,4.8442639802631575,Concordant Up,Protein Folding,GOSLIM_PROTEIN_FOLDING,1.7086523007825767e-5,25/177,CANX/CCT6A/CRYAB/PDIA3/HSP90AB1/TCP1/HSP90B1/CCT3/BAG3/HYOU1/CCT7/CCT4/CCT2/CCT8/RUVBL2/CCT5/ERO1A/TXNDC5/HSPA5/HSPB1/HSPB2/DNAJA2/DNAJA4/HSPB6/UNC45B
REACTOME_CILIUM_ASSEMBLY,2.6606419931931362e-8,1.795387089315773e-5,5.147699757869249,15,35,,Reactome,8.930555555555555,Concordant Up,Cilium Assembly,REACTOME_CILIUM_ASSEMBLY,1.795387089315773e-5,15/177,ACTR1A/CCT2/CCT3/CCT4/CCT5/CCT8/DCTN1/DCTN2/DYNC1H1/DYNC1I2/TCP1/TUBA1B/TUBB/TUBB2A/TUBB6
REACTOME_ASSOCIATION_OF_TRIC_CCT_WITH_TARGET_PROTEINS_DURING_BIOSYNTHESIS,7.738265550132252e-8,3.059385624269524e-5,9.609039548022599,8,10,,Reactome,46.082840236686394,Concordant Up,Association Of Tric Cct With Target Protei...,REACTOME_ASSOCIATION_OF_TRIC_CCT_WITH_TARGET_PROTEINS_DURING_BIOSYNTHESIS,3.059385624269524e-5,8/177,CCT2/CCT3/CCT4/CCT5/CCT6A/CCT7/CCT8/TCP1
GOBP_CELL_CELL_RECOGNITION,8.451341503506973e-8,3.059385624269524e-5,8.315514993481095,9,13,,GO:BP,26.049107142857142,Concordant Up,Cell Cell Recognition,GOBP_CELL_CELL_RECOGNITION,3.059385624269524e-5,9/177,CCT2/CCT3/CCT4/CCT5/CCT7/CCT8/LGALS3/MSN/TCP1
WP_16P112_PROXIMAL_DELETION_SYNDROME,1.4573371853171772e-7,3.956670458136136e-5,7.06547025589897,10,17,,WikiPathways,16.612489307100084,Concordant Up,16p112 Proximal Deletion Syndrome,WP_16P112_PROXIMAL_DELETION_SYNDROME,3.956670458136136e-5,10/177,CCT2/CCT3/CCT4/CCT5/CCT6A/CCT7/CCT8/EZR/MSN/TCP1
REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION,1.44326968888407e-7,3.956670458136136e-5,4.367745249101181,16,44,,Reactome,6.81810115350488,Concordant Up,Mhc Class Ii Antigen Presentation,REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION,3.956670458136136e-5,16/177,ACTR1A/AP1B1/AP2A1/AP2M1/CANX/CLTC/DCTN1/DCTN2/DYNC1H1/DYNC1I2/DYNC1LI1/KIF5B/SEC23A/TUBA1B/TUBB2A/TUBB6
GOBP_POSITIVE_REGULATION_OF_DNA_BIOSYNTHETIC_PROCESS,7.348973390322246e-7,1.5961970203779915e-4,8.007532956685498,8,12,,GO:BP,23.01775147928994,Concordant Up,Positive Regulation Of DNA Biosynthetic Pr...,GOBP_POSITIVE_REGULATION_OF_DNA_BIOSYNTHETIC_PROCESS,1.5961970203779915e-4,8/177,CCT2/CCT3/CCT4/CCT5/CCT6A/CCT7/CCT8/TCP1
KEGG_MEDICUS_REFERENCE_RAB7_REGULATED_MICROTUBULE_MINUS_END_DIRECTED_TRANSPORT,9.421753928163339e-7,1.8603681392700703e-4,5.50517890772128,11,24,,KEGG,9.868396663577386,Concordant Up,Reference Rab7 Regulated Microtubule Minus...,KEGG_MEDICUS_REFERENCE_RAB7_REGULATED_MICROTUBULE_MINUS_END_DIRECTED_TRANSPORT,1.8603681392700703e-4,11/177,ACTR1A/DCTN1/DCTN2/DYNC1H1/DYNC1I2/DYNC1LI1/DYNLT1/TUBA1B/TUBB/TUBB2A/TUBB6
GOBP_RNA_TEMPLATED_DNA_BIOSYNTHETIC_PROCESS,1.0831478912968876e-6,1.9604976832473666e-4,6.75635593220339,9,16,,GO:BP,14.862244897959183,Concordant Up,RNA Templated DNA Biosynthetic Process,GOBP_RNA_TEMPLATED_DNA_BIOSYNTHETIC_PROCESS,1.9604976832473666e-4,9/177,CCT2/CCT3/CCT4/CCT5/CCT6A/CCT7/CCT8/HSP90AB1/TCP1
GOBP_POSITIVE_REGULATION_OF_TELOMERE_MAINTENANCE_VIA_TELOMERE_LENGTHENING,1.7755116174276713e-6,2.5709408220352684e-4,7.3915688830943065,8,13,,GO:BP,18.40473372781065,Concordant Up,Positive Regulation Of Telomere Maintenanc...,GOBP_POSITIVE_REGULATION_OF_TELOMERE_MAINTENANCE_VIA_TELOMERE_LENGTHENING,2.5709408220352684e-4,8/177,CCT2/CCT3/CCT4/CCT5/CCT6A/CCT7/CCT8/TCP1
