gene,pattern,sort_key,logFC_Training_Young,logFC_Training_Old,pi_score_Young,pi_score_Old,pi_score_Interaction
ALDH1B1,Concordant Up,1.2088,1.2088,0.4062,1e-6,0.408722,0.056598
S100A6,Concordant Up,1.174,1.174,0.5317,1.09e-4,0.283079,0.29821
S100A13,Concordant Up,1.1115,1.1115,0.6609,6e-6,0.045714,0.479453
MYBPH,Concordant Up,1.1059,1.1059,1.7207,0.007654,9e-6,0.528236
S100A4,Concordant Up,1.015,1.015,0.4377,1.6e-5,0.28138,0.215574
SERPINH1,Concordant Up,0.907,0.907,0.8176,0.021063,0.156129,0.988749
JPT2,Concordant Up,0.9004,0.9004,0.4136,0.004673,0.222365,0.3949
UCHL1,Concordant Up,0.8543,0.8543,0.1235,9.33e-4,0.936634,0.067136
CARNS1,Concordant Up,0.7759,0.7759,0.453,0.002609,0.224098,0.663997
F13A1,Concordant Up,0.7356,0.7356,0.1249,0.030564,0.915202,0.188979
FSCN1,Concordant Up,0.7074,0.7074,0.6479,0.002088,0.003281,0.986872
AKR1C3,Concordant Up,0.6494,0.6494,0.0682,0.009213,0.977537,0.130086
EZR,Concordant Up,0.6414,0.6414,0.197,0.012496,0.792464,0.362074
DYNC1LI1,Concordant Up,0.6381,0.6381,0.1033,0.001317,0.91689,0.071514
HSPB6,Concordant Up,0.619,0.619,0.2803,0.006613,0.517303,0.523766
PSME2,Concordant Up,0.6117,0.6117,0.2855,0.006311,0.418107,0.509552
FARSB,Concordant Up,0.6058,0.6058,0.1228,0.001145,0.880147,0.112209
ANXA1,Concordant Up,0.5767,0.5767,0.2386,0.039463,0.702115,0.600079
S100A11,Concordant Up,0.5494,0.5494,0.1925,0.019694,0.743811,0.451131
GLRX3,Concordant Up,0.5413,0.5413,0.216,0.001384,0.537461,0.351829
VARS1,Concordant Up,0.525,0.525,0.1543,7.82e-4,0.727948,0.181949
HSPB1,Concordant Up,0.524,0.524,0.3907,0.024629,0.183945,0.92016
HPRT1,Concordant Up,0.5118,0.5118,0.5566,0.028383,0.005644,0.991192
