uniprot_id,protein,gene,description,logFC,CI.L,CI.R,average_intensity,t,B,P.Value,adj.P.Val,pi_score,sig_pi
A0A0U1RRL7,MMPOS_HUMAN,MMP24OS,Protein MMP24OS,-0.6446963856750436,-1.4983116488398127,0.20891887748972549,16.322906735899043,-1.5302201017470254,-4.852496790051248,0.13445654524843545,0.42553063031231486,0.27428365722879944,0
A0FGR8,ESYT2_HUMAN,ESYT2,Extended synaptotagmin-2,0.33392454134994054,-0.09791007293068915,0.7657591556305703,17.098331165177516,1.5583721546257805,-4.823135259899131,0.12630141438821735,0.4104572240087091,0.5011158621985363,0
A1L0T0,ILVBL_HUMAN,ILVBL,Acetolactate synthase-like protein,0.12745647722038456,-0.5428791327571253,0.7977920871978944,17.0022662256138,0.38294643173776494,-5.760314646887769,0.7035605031146179,0.8754957029881902,0.9561754322508978,0
A1L4K1,FSD2_HUMAN,FSD2,Fibronectin type III and SPRY domain-containing protein 2,0.7459137963468621,0.2925567967552387,1.1992707959384854,17.976966028844235,3.2958912459038907,-1.2973129429655659,0.001705480094059316,0.0527444799677462,0.008613828671205869,1
A2RTX5,SYTC2_HUMAN,TARS3,"Threonine--tRNA ligase 2, cytoplasmic",-0.09737384915613312,-0.6938523534696532,0.499104655157387,15.491210573111283,-0.3299233874898755,-5.835013866420303,0.7431773719211885,0.8935974917954599,0.971511125483625,0
A3KMH1,VWA8_HUMAN,VWA8,von Willebrand factor A domain-containing protein 8,-0.9547406198061594,-1.696113005920781,-0.2133682336915379,21.47361209635668,-2.6377295908563756,-2.8713930345598055,0.01346094179740287,0.12782546950357943,0.01635883349798602,-1
A5YM72,CRNS1_HUMAN,CARNS1,Carnosine synthase 1,0.8231861964808971,0.006672850961104482,1.6396995420006897,20.22661257014602,2.022093043722698,-4.086275904821812,0.0482222734924086,0.2497136423242757,0.08242665341000867,0
A6NCE7,MP3B2_HUMAN,MAP1LC3B2,Microtubule-associated proteins 1A/1B light chain 3 beta 2,0.5149911723272282,-0.019243979184957016,1.0492263238394135,20.71365448426334,1.9659182216800182,-4.119342535795254,0.058304610916290356,0.27492062053129734,0.2313917604540121,0
A6NDG6,PGP_HUMAN,PGP,Glycerol-3-phosphate phosphatase,-0.12708093946126553,-0.4085866137332736,0.15442473481074254,23.015275302127968,-0.9023871085380664,-5.690990050435995,0.3703409330832925,0.663961621717105,0.8814090407937938,0
A6NNS2,DRS7C_HUMAN,DHRS7C,Dehydrogenase/reductase SDR family member 7C,0.1376120041258524,-0.3352346210467403,0.6104586292984451,21.64224919716279,0.5817489994236247,-5.918155748972812,0.5628433846593379,0.7938696431512996,0.9239539632844685,0
A8MU46,SMTL1_HUMAN,SMTNL1,Smoothelin-like protein 1,0.028393348498696014,-0.6546488750837527,0.7114355720811447,23.415900733680058,0.08309381153630714,-6.0774959548766825,0.9340444302066484,0.9798713766592817,0.998064561095657,0
A8MXV4,NUD19_HUMAN,NUDT19,Nucleoside diphosphate-linked moiety X motif 19,0.5181176882317651,-0.25603831604327265,1.2922736925068028,17.09822072861629,1.3505893535186082,-5.093161901302279,0.18405093735740183,0.4813990242834835,0.41605562049607925,0
E9PAV3,NACAM_HUMAN,NACA,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form",0.34041209297123487,0.08806459858826554,0.5927595873542042,23.676700924402894,2.6965321450184927,-2.776184991679646,0.009008275106257284,0.11087218662125765,0.20124971779811693,0
L0R6Q1,S35U4_HUMAN,SLC35A4,SLC35A4 upstream open reading frame protein,0.3340454882766437,-0.15055563281934597,0.8186466093726334,18.642144427044716,1.3831910396602674,-5.120825448670078,0.17251096216061765,0.46631176532619395,0.5559837021248699,0
O00151,PDLI1_HUMAN,PDLIM1,PDZ and LIM domain protein 1,-1.128540326985128,-1.7785782827436862,-0.4785023712265697,22.35573246652498,-3.4703876225252737,-0.8005766995871229,9.513485906644712e-4,0.03895976299167433,3.8898645012907347e-4,-1
O00159,MYO1C_HUMAN,MYO1C,Unconventional myosin-Ic,-0.4236111335454602,-0.8909369272270715,0.04371466013615105,18.51696111305153,-1.8206289401562705,-4.477753880217475,0.07464446145775454,0.31385373367767516,0.33311119710690484,0
O00168,PLM_HUMAN,FXYD1,Phospholemman,0.6320141662891601,-0.04315554369059171,1.3071838762689119,19.839740222518383,1.8751603913492356,-4.4073276853127625,0.06598369710728183,0.2944243700985333,0.17941850593363376,0
O00186,STXB3_HUMAN,STXBP3,Syntaxin-binding protein 3,0.23435414591377324,-0.14444663946661912,0.6131549312941655,18.28831392540244,1.2414314435101168,-5.30702706918324,0.22001194145927586,0.5193590402486556,0.7012930796775417,0
