uniprot_id,protein,gene,description,logFC,CI.L,CI.R,average_intensity,t,B,P.Value,adj.P.Val,pi_score,sig_pi
A0A0U1RRL7,MMPOS_HUMAN,MMP24OS,Protein MMP24OS,0.42564042832376714,-0.17760151519228318,1.0288823718398175,16.322906735899043,1.4295922341671474,-5.079734651935583,0.16121267798371608,0.374205586975447,0.45987209003175467,0
A0FGR8,ESYT2_HUMAN,ESYT2,Extended synaptotagmin-2,-0.23244844069425596,-0.5487838579088209,0.08388697652030902,17.098331165177516,-1.4808774186509577,-4.992716012411522,0.14575711025164861,0.3551879523281773,0.6391268155508284,0
A1L0T0,ILVBL_HUMAN,ILVBL,Acetolactate synthase-like protein,-0.2544752114815445,-0.676693569412276,0.16774314644918692,17.0022662256138,-1.2138828587580304,-5.342710531835995,0.23111801289273057,0.46379599392815063,0.6888290754918648,0
A1L4K1,FSD2_HUMAN,FSD2,Fibronectin type III and SPRY domain-containing protein 2,-0.6158720999106144,-0.9153336790723248,-0.3164105207489041,17.976966028844235,-4.119779556681952,0.990732668415605,1.2618988262175714e-4,0.0037377087768106377,0.003969445044936622,-1
A2RTX5,SYTC2_HUMAN,TARS3,"Threonine--tRNA ligase 2, cytoplasmic",0.059665337825720144,-0.38523616275021666,0.504566838401657,15.491210573111283,0.2710340131217868,-5.9072416577356925,0.787756934584828,0.8882857015720607,0.9858667230787226,0
A3KMH1,VWA8_HUMAN,VWA8,von Willebrand factor A domain-containing protein 8,0.6646396858035679,0.09412045915156797,1.2351589124555677,21.47361209635668,2.3861473661847974,-3.345112786215925,0.024013701362957763,0.11717126210278464,0.08386656366401839,0
A5YM72,CRNS1_HUMAN,CARNS1,Carnosine synthase 1,-0.37100465794523174,-0.8921274531499112,0.15011813725944767,20.22661257014602,-1.4279257807766388,-5.1867274112088095,0.15917398757638188,0.37124275751000413,0.5056975272839425,0
A6NCE7,MP3B2_HUMAN,MAP1LC3B2,Microtubule-associated proteins 1A/1B light chain 3 beta 2,-0.48256863030458774,-0.8934661923319731,-0.07167106827720243,20.71365448426334,-2.395099974126416,-3.376943199478157,0.022833836446951136,0.11245798137690453,0.16139930536382885,0
A6NDG6,PGP_HUMAN,PGP,Glycerol-3-phosphate phosphatase,0.11935343382025465,-0.05888713453733957,0.29759400217784887,23.015275302127968,1.338529597850375,-5.428390563017437,0.18560778477097845,0.40607897625787553,0.8179079762640198,0
A6NNS2,DRS7C_HUMAN,DHRS7C,Dehydrogenase/reductase SDR family member 7C,-0.26910005725876474,-0.5684917176034023,0.03029160308587292,21.64224919716279,-1.7966923155749226,-4.751246270359024,0.07725192349041014,0.24175713556597103,0.5020376978587551,0
A8MU46,SMTL1_HUMAN,SMTNL1,Smoothelin-like protein 1,-0.1775535065228695,-0.6100344306051753,0.2549274175594362,23.415900733680058,-0.8206574497049872,-5.966506215528602,0.41498308524246674,0.6361687459148656,0.8554210976867596,0
