pathway,pathway_label,database,NES_Training_Young,NES_Training_Old,padj_Training_Young,padj_Training_Old,significance,set_size,independent_in_TY,independent_in_TO
KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_I,Reference Electron Transfer In Complex I,KEGG,-3.23,-0.715,2.3210000000000002e-20,0.9793,Sig Young only,41,TRUE,FALSE
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT,Respiratory Electron Transport,Reactome,-3.032,0.907,2.525e-19,0.87,Sig Young only,104,TRUE,FALSE
GOBP_POSITIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_NUCLEUS,Positive Regulation Of Protein Localization To Nucleus,GO:BP,2.182,1.734,3.981e-4,0.1226,Sig Young only,24,TRUE,FALSE
REACTOME_HSP90_CHAPERONE_CYCLE_FOR_STEROID_HORMONE_RECEPTORS_SHR_IN_THE_PRESENCE_OF_LIGAND,Hsp90 Chaperone Cycle For Steroid Hormone Receptors Shr In The Presence Of Ligand,Reactome,2.37,1.45,8.569e-6,0.2817,Sig Young only,34,TRUE,FALSE
GOBP_PROTEIN_REFOLDING,Protein Refolding,GO:BP,2.055,1.734,0.00319,0.1153,Sig Young only,18,TRUE,FALSE
REACTOME_ECM_PROTEOGLYCANS,Ecm Proteoglycans,Reactome,-2.42,-1.362,8.569e-6,0.3968,Sig Young only,21,TRUE,FALSE
REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES,Cross Presentation Of Soluble Exogenous Antigens Endosomes,Reactome,2.36,1.382,8.569e-6,0.3534,Sig Young only,33,TRUE,FALSE
REACTOME_PCP_CE_PATHWAY,Pcp Ce Pathway,Reactome,2.435,1.189,1.795e-6,0.5482,Sig Young only,40,TRUE,FALSE
GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS,Proton Motive Force Driven ATP Synthesis,GO:BP,-2.902,-0.717,3.896e-13,0.9902,Sig Young only,60,TRUE,FALSE
GOBP_ESTABLISHMENT_OF_CELL_POLARITY,Establishment Of Cell Polarity,GO:BP,1.877,1.739,0.01583,0.1224,Sig Young only,24,TRUE,FALSE
GOBP_TRANSLATIONAL_ELONGATION,Translational Elongation,GO:BP,1.869,1.741,0.01262,0.1134,Sig Young only,23,TRUE,FALSE
GOBP_RESPONSE_TO_HEAT,Response To Heat,GO:BP,2.118,1.492,4.044e-4,0.2511,Sig Young only,31,TRUE,FALSE
GOBP_PROTON_TRANSMEMBRANE_TRANSPORT,Proton Transmembrane Transport,GO:BP,-2.767,0.835,1.365e-12,0.939,Sig Young only,88,TRUE,FALSE
GOBP_DNA_BIOSYNTHETIC_PROCESS,DNA Biosynthetic Process,GO:BP,2.031,1.563,0.004266,0.2306,Sig Young only,18,TRUE,FALSE
REACTOME_EPH_EPHRIN_SIGNALING,Eph Ephrin Signaling,Reactome,1.928,1.65,0.007024,0.161,Sig Young only,25,TRUE,FALSE
REACTOME_RHO_GTPASE_EFFECTORS,Rho Gtpase Effectors,Reactome,1.94,1.614,8.362e-4,0.08158,Sig Young only,74,TRUE,FALSE
REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION,Asparagine N Linked Glycosylation,Reactome,2.261,1.266,1.653e-6,0.3679,Sig Young only,87,TRUE,FALSE
GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE,Regulation Of Protein Localization To Plasma Membrane,GO:BP,1.757,1.731,0.03246,0.09826,Sig Young only,32,TRUE,FALSE
GOBP_REGULATION_OF_PROTEIN_STABILITY,Regulation Of Protein Stability,GO:BP,2.075,1.373,2.866e-5,0.2547,Sig Young only,87,TRUE,FALSE
GOBP_RNA_LOCALIZATION,RNA Localization,GO:BP,1.886,1.547,0.004889,0.1942,Sig Young only,39,TRUE,FALSE
GOBP_ORGANELLE_DISASSEMBLY,Organelle Disassembly,GO:BP,1.755,1.675,0.04039,0.161,Sig Young only,19,TRUE,FALSE
REACTOME_MAPK_FAMILY_SIGNALING_CASCADES,Mapk Family Signaling Cascades,Reactome,2.015,1.402,1.603e-4,0.2307,Sig Young only,83,TRUE,FALSE
GOBP_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION,Epigenetic Regulation Of Gene Expression,GO:BP,-1.909,-1.466,0.01068,0.3012,Sig Young only,21,TRUE,FALSE
REACTOME_DRUG_ADME,Drug Adme,Reactome,1.787,1.502,0.0397,0.2817,Sig Young only,17,TRUE,FALSE
GOBP_CELLULAR_RESPONSE_TO_TYPE_II_INTERFERON,Cellular Response To Type Ii Interferon,GO:BP,1.711,1.548,0.04699,0.2357,Sig Young only,22,TRUE,FALSE
REACTOME_STRIATED_MUSCLE_CONTRACTION,Striated Muscle Contraction,Reactome,-1.876,1.368,0.009693,0.3692,Sig Young only,28,TRUE,FALSE
REACTOME_ION_HOMEOSTASIS,Ion Homeostasis,Reactome,1.77,1.397,0.03066,0.3603,Sig Young only,24,TRUE,FALSE
REACTOME_NEUTROPHIL_DEGRANULATION,Neutrophil Degranulation,Reactome,1.848,1.244,1.251e-4,0.3505,Sig Young only,160,TRUE,FALSE
REACTOME_CYTOSOLIC_TRNA_AMINOACYLATION,Cytosolic Trna Aminoacylation,Reactome,2.245,0.818,1.251e-4,0.9052,Sig Young only,23,TRUE,FALSE
GOBP_POSITIVE_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY,Positive Regulation Of Protein Containing Complex Assembly,GO:BP,2.012,1.039,9.811e-4,0.7119,Sig Young only,47,TRUE,FALSE
GOBP_AXO_DENDRITIC_TRANSPORT,Axo Dendritic Transport,GO:BP,2.072,0.93,0.002834,0.7973,Sig Young only,16,TRUE,FALSE
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,Degradation Of The Extracellular Matrix,Reactome,-1.863,1.131,0.005245,0.6204,Sig Young only,29,TRUE,FALSE
REACTOME_INTERFERON_SIGNALING,Interferon Signaling,Reactome,1.768,1.222,0.005245,0.4829,Sig Young only,65,TRUE,FALSE
REACTOME_SUMOYLATION,Sumoylation,Reactome,-1.91,-1.034,0.0175,0.7179,Sig Young only,16,TRUE,FALSE
GOBP_SPINDLE_ORGANIZATION,Spindle Organization,GO:BP,1.807,1.118,0.007926,0.6204,Sig Young only,45,TRUE,FALSE
HALLMARK_MYOGENESIS,Myogenesis,Hallmark,-1.712,-1.194,0.003576,0.4616,Sig Young only,103,TRUE,FALSE
REACTOME_RHO_GTPASE_CYCLE,Rho Gtpase Cycle,Reactome,1.53,1.357,0.04667,0.2619,Sig Young only,90,TRUE,FALSE
REACTOME_PROGRAMMED_CELL_DEATH,Programmed Cell Death,Reactome,1.908,0.95,9.39e-4,0.79990000000000006,Sig Young only,81,TRUE,FALSE
GOBP_MUSCLE_ORGAN_DEVELOPMENT,Muscle Organ Development,GO:BP,-1.659,-1.133,0.01146,0.5733,Sig Young only,91,TRUE,FALSE
HALLMARK_MTORC1_SIGNALING,mTORC1 Signaling,Hallmark,1.608,1.176,0.02156,0.5129,Sig Young only,86,TRUE,FALSE
REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS,Clathrin Mediated Endocytosis,Reactome,1.809,-0.829,0.01418,0.9168,Sig Young only,41,TRUE,FALSE
GOBP_REGULATION_OF_PROTEIN_CATABOLIC_PROCESS,Regulation Of Protein Catabolic Process,GO:BP,1.707,0.822,0.008667,0.9464,Sig Young only,88,TRUE,FALSE
GOBP_ENDOPLASMIC_RETICULUM_TO_GOLGI_VESICLE_MEDIATED_TRANSPORT,Endoplasmic Reticulum To Golgi Vesicle Mediated Transport,GO:BP,1.904,-0.617,0.005497,0.9971,Sig Young only,41,TRUE,FALSE
GOBP_VESICLE_BUDDING_FROM_MEMBRANE,Vesicle Budding From Membrane,GO:BP,1.804,0.608,0.01452,0.9952,Sig Young only,31,TRUE,FALSE
GOBP_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION,Regulation Of Mitotic Cell Cycle Phase Transition,GO:BP,1.736,-0.665,0.03262,0.9884,Sig Young only,27,TRUE,FALSE
