"pathway","pval","padj","foldEnrichment","overlap","size","overlapGenes","database","odds_ratio","quadrant","pathway_label","ID","p.adjust","GeneRatio","geneID","direction"
"REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS",4.42780665366221e-10,1.33894805739271e-07,1.96794174522601,62,112,NA,"Reactome",3.42230623818526,"Concordant Up","Regulation Of Expression Of Slits And Robos","REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS",1.33894805739271e-07,"62/591","CUL2/ETF1/GSPT1/PSMA1/PSMA2/PSMA3/PSMA4/PSMA5/PSMA6/PSMA7/PSMB1/PSMB3/PSMB4/PSMB7/PSMC1/PSMC2/PSMC3/PSMC4/PSMC6/PSMD1/PSMD11/PSMD14/PSMD2/PSMD8/RPL10/RPL10A/RPL11/RPL12/RPL13/RPL13A/RPL14/RPL15/RPL17/RPL18/RPL26/RPL28/RPL29/RPL30/RPL36/RPL36AL/RPL37A/RPL3L/RPL4/RPL6/RPL7/RPL8/RPLP0/RPS11/RPS13/RPS14/RPS15A/RPS16/RPS17/RPS19/RPS2/RPS24/RPS27/RPS28/RPS3/RPS4X/RPS6/RPS8","Concordant Up"
"REACTOME_MITOTIC_G2_G2_M_PHASES",6.048200905863e-09,6.26996827241131e-07,2.22186971235195,40,64,NA,"Reactome",4.49485783424077,"Concordant Up","Mitotic G2 G2 M Phases","REACTOME_MITOTIC_G2_G2_M_PHASES",6.26996827241131e-07,"40/591","ACTR1A/DCTN1/DCTN2/DYNC1H1/DYNC1I2/HSP90AA1/HSP90AB1/MAPRE1/PPME1/PPP1CB/PPP2CA/PPP2R1A/PRKACA/PSMA1/PSMA2/PSMA3/PSMA4/PSMA5/PSMA6/PSMA7/PSMB1/PSMB3/PSMB4/PSMB7/PSMC1/PSMC2/PSMC3/PSMC4/PSMC6/PSMD1/PSMD11/PSMD14/PSMD2/PSMD8/TUBA1B/TUBA4A/TUBB/TUBB2A/TUBB4B/TUBB6","Concordant Up"
"REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT",1.31596909263403e-08,1.02316596952296e-06,2.51450621105196,29,41,NA,"Reactome",6.44157769869514,"Concordant Up","The Role Of Gtse1 In G2 M Progression After G2 Checkpoint","REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT",1.02316596952296e-06,"29/591","HSP90AA1/HSP90AB1/MAPRE1/PSMA1/PSMA2/PSMA3/PSMA4/PSMA5/PSMA6/PSMA7/PSMB1/PSMB3/PSMB4/PSMB7/PSMC1/PSMC2/PSMC3/PSMC4/PSMC6/PSMD1/PSMD11/PSMD14/PSMD2/PSMD8/TUBA1B/TUBA4A/TUBB2A/TUBB4B/TUBB6","Concordant Up"
"REACTOME_PROTEASOME_ASSEMBLY",3.68249984077268e-08,2.29051490096061e-06,2.52591504141063,27,38,NA,"Reactome",6.52369439071567,"Concordant Up","Proteasome Assembly","REACTOME_PROTEASOME_ASSEMBLY",2.29051490096061e-06,"27/591","PSMA1/PSMA2/PSMA3/PSMA4/PSMA5/PSMA6/PSMA7/PSMB1/PSMB3/PSMB4/PSMB7/PSMC1/PSMC2/PSMC3/PSMC4/PSMC6/PSMD1/PSMD11/PSMD14/PSMD2/PSMD4/PSMD8/PSMD9/PSME1/PSME2/PSME4/PSMF1","Concordant Up"
"REACTOME_TRANSLATION",2.99726479457618e-07,1.3316419301617e-05,1.60677583718107,80,177,NA,"Reactome",2.28054955918252,"Concordant Up","Translation","REACTOME_TRANSLATION",1.3316419301617e-05,"80/591","AIMP1/APEH/CARS1/DARS1/EEF1A1/EEF1A2/EEF1B2/EEF1D/EEF1G/EIF1AX/EIF2B1/EIF2S1/EIF2S2/EIF3C/EIF3I/EIF3J/EIF3L/ETF1/FARSA/FARSB/GSPT1/LARS1/MARS1/MRPL1/MRPL19/MRPL4/MRPS15/MRPS18A/MRPS18B/MRPS21/MRPS25/MTIF2/NARS1/PTCD3/QARS1/RARS1/RPL10/RPL10A/RPL11/RPL12/RPL13/RPL13A/RPL14/RPL15/RPL17/RPL18/RPL26/RPL28/RPL29/RPL30/RPL36/RPL36AL/RPL37A/RPL3L/RPL4/RPL6/RPL7/RPL8/RPLP0/RPS11/RPS13/RPS14/RPS15A/RPS16/RPS17/RPS19/RPS2/RPS24/RPS27/RPS28/RPS3/RPS4X/RPS6/RPS8/SARS1/SARS2/SRPRB/TARS1/TUFM/VARS1","Concordant Up"
"KEGG_MEDICUS_REFERENCE_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION",1.59288461174885e-06,1.43359615057397e-05,2.40484721807505,23,34,NA,"KEGG",5.51808578745198,"Concordant Up","Reference 26s Proteasome Mediated Protein Degradation","KEGG_MEDICUS_REFERENCE_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION",1.43359615057397e-05,"23/591","PSMA1/PSMA2/PSMA3/PSMA4/PSMA5/PSMA6/PSMA7/PSMB1/PSMB3/PSMB4/PSMB7/PSMC1/PSMC2/PSMC3/PSMC4/PSMC6/PSMD1/PSMD11/PSMD14/PSMD2/PSMD4/PSMD8/PSMD9","Concordant Up"
"REACTOME_PROGRAMMED_CELL_DEATH",3.81955014195051e-07,1.48485011768326e-05,1.93110651542688,44,81,NA,"Reactome",3.20233213103414,"Concordant Up","Programmed Cell Death","REACTOME_PROGRAMMED_CELL_DEATH",1.48485011768326e-05,"44/591","ADD1/APPL1/BCAP31/CHMP4B/CHMP6/DBNL/FLOT1/FNTA/GSN/HSP90AA1/IL18/KPNA1/KPNB1/MAPK1/MAPT/OPA1/PAK2/PDCD6IP/PSMA1/PSMA2/PSMA3/PSMA4/PSMA5/PSMA6/PSMA7/PSMB1/PSMB3/PSMB4/PSMB7/PSMC1/PSMC2/PSMC3/PSMC4/PSMC6/PSMD1/PSMD11/PSMD14/PSMD2/PSMD8/SPTAN1/VIM/YWHAB/YWHAH/YWHAQ","Concordant Up"
"REACTOME_METABOLISM_OF_POLYAMINES",6.97635662462374e-07,1.66895916173691e-05,2.47772137619853,23,33,NA,"Reactome",6.07394366197183,"Concordant Up","Metabolism Of Polyamines","REACTOME_METABOLISM_OF_POLYAMINES",1.66895916173691e-05,"23/591","AGMAT/PSMA1/PSMA2/PSMA3/PSMA4/PSMA5/PSMA6/PSMA7/PSMB1/PSMB3/PSMB4/PSMB7/PSMC1/PSMC2/PSMC3/PSMC4/PSMC6/PSMD1/PSMD11/PSMD14/PSMD2/PSMD8/SRM","Concordant Up"
"REACTOME_CILIUM_ASSEMBLY",6.33139172037136e-07,1.66895916173691e-05,2.43770848440899,24,35,NA,"Reactome",5.76815776815777,"Concordant Up","Cilium Assembly","REACTOME_CILIUM_ASSEMBLY",1.66895916173691e-05,"24/591","ACTR1A/ARL3/CCT2/CCT3/CCT4/CCT5/CCT8/DCTN1/DCTN2/DYNC1H1/DYNC1I2/DYNLRB1/HSP90AA1/MAPRE1/PPP2R1A/PRKACA/TCP1/TNPO1/TUBA1B/TUBA4A/TUBB/TUBB2A/TUBB4B/TUBB6","Concordant Up"
"REACTOME_SELENOAMINO_ACID_METABOLISM",5.88153313962592e-07,1.66895916173691e-05,1.87965069918509,46,87,NA,"Reactome",3.02412172745581,"Concordant Up","Selenoamino Acid Metabolism","REACTOME_SELENOAMINO_ACID_METABOLISM",1.66895916173691e-05,"46/591","AIMP1/DARS1/GSR/LARS1/MARS1/QARS1/RARS1/RPL10/RPL10A/RPL11/RPL12/RPL13/RPL13A/RPL14/RPL15/RPL17/RPL18/RPL26/RPL28/RPL29/RPL30/RPL36/RPL36AL/RPL37A/RPL3L/RPL4/RPL6/RPL7/RPL8/RPLP0/RPS11/RPS13/RPS14/RPS15A/RPS16/RPS17/RPS19/RPS2/RPS24/RPS27/RPS28/RPS3/RPS4X/RPS6/RPS8/SARS1","Concordant Up"
