gene,pathway,database,cluster,theme
PDLIM1,cytoskeleton organization,GO:BP,C1,Cytoskeletal & Cell Division
DDX3X,chromatin remodeling,GO:BP,C1,Other
SYNM,cytoskeleton organization,GO:BP,C1,Cytoskeletal & Cell Division
ARPC2,cytoskeleton organization,GO:BP,C1,Cytoskeletal & Cell Division
TCAP,HALLMARK_MYOGENESIS,Hallmark,C1,Muscle Structure & Myogenesis
EIF3D,translational initiation,GO:BP,C1,Other
DENR,translational initiation,GO:BP,C1,Other
ACTN4,cytoskeleton organization,GO:BP,C1,Cytoskeletal & Cell Division
LDB3,HALLMARK_MYOGENESIS,Hallmark,C1,Muscle Structure & Myogenesis
CILP,negative regulation of gene expression,GO:BP,C1,Other
BANF1,negative regulation of gene expression,GO:BP,C1,Other
CSDE1,translational initiation,GO:BP,C1,Other
PRKRA,negative regulation of gene expression,GO:BP,C1,Other
TCEA3,regulation of nucleobase-containing compound metabolic process,GO:BP,C1,Metabolic & Redox Regulation
PIAS2,regulation of nucleobase-containing compound metabolic process,GO:BP,C1,Metabolic & Redox Regulation
UFL1,regulation of nucleobase-containing compound metabolic process,GO:BP,C1,Metabolic & Redox Regulation
EPM2A,chromatin remodeling,GO:BP,C1,Other
SVIL,HALLMARK_MYOGENESIS,Hallmark,C1,Muscle Structure & Myogenesis
LSM8,RNA splicing,GO:BP,C1,Other
COL1A1,HALLMARK_MYOGENESIS,Hallmark,C1,Muscle Structure & Myogenesis
COL3A1,HALLMARK_MYOGENESIS,Hallmark,C1,Muscle Structure & Myogenesis
COL4A1,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Hallmark,C1,ECM & Tissue Remodeling
LMNA,cytoskeleton organization,GO:BP,C1,Cytoskeletal & Cell Division
TNNC2,HALLMARK_MYOGENESIS,Hallmark,C1,Muscle Structure & Myogenesis
VWF,HALLMARK_APICAL_JUNCTION,Hallmark,C1,Other
EIF2S1,negative regulation of translation,GO:BP,C1,Other
SSB,negative regulation of gene expression,GO:BP,C1,Other
KRT18,cytoskeleton organization,GO:BP,C1,Cytoskeletal & Cell Division
