module,Zsummary,Zdensity,Zconnectivity,module_size,preservation,bio_label
magenta,8.9426023658102,13.275604605826018,4.609600125794382,69,Moderate,Magenta (Magenta)
pink,11.783571404641375,16.931883319311204,6.635259489971545,82,Strong,Immune/Complement (Pink)
red,16.22811488189081,23.793377114514804,8.662852649266819,105,Strong,Red (Red)
brown,19.427935562925395,27.32749504019518,11.528376085655609,250,Strong,Cytoskeletal Remodeling (Brown)
turquoise,23.66867124563402,29.346906647159898,17.99043584410814,327,Strong,Protein Modification (Turquoise)
blue,25.025381385710677,38.447003703048196,11.603759068373156,292,Strong,Catabolic Metabolism (Blue)
black,26.895226491771574,42.76025298246979,11.030200001073357,98,Strong,Translation Machinery (Black)
yellow,27.94467978171084,39.398612031846895,16.490747531574787,213,Strong,Ubiquitin-Proteasome (Yellow)
green,39.41764595368958,67.04190672707125,11.793385180307908,165,Strong,Muscle Structure (Green)
