pathway,pval,padj,foldEnrichment,overlap,size,database,odds_ratio,module,Description,geneID,Count,p.adjust,ID
REACTOME_STRIATED_MUSCLE_CONTRACTION,6.062768705706279e-23,1.891583836180359e-20,8.962105969148222,25,28,Reactome,85.19503546099291,yellow,Striated Muscle Contraction,ACTA1/ACTN2/ACTN3/DES/MYBPC1/MYBPC2/MYH3/MYH8/MYL1/MYL3/NEB/TCAP/TMOD1/TMOD4/TNNC1/TNNC2/TNNI1/TNNI2/TNNT1/TNNT3/TPM1/TPM2/TPM3/TTN/VIM,25,1.891583836180359e-20,REACTOME_STRIATED_MUSCLE_CONTRACTION
HALLMARK_MYOGENESIS,1.3779016158714711e-17,5.098235978724444e-16,4.092985095036236,42,103,Hallmark,7.505320678746045,yellow,Myogenesis,ACTA1/ACTN2/ACTN3/COL15A1/COL1A1/COL3A1/COL4A2/COL6A2/COL6A3/DES/GABARAPL2/HSPB8/ITGA7/LAMA2/MYBPH/MYH1/MYH2/MYH3/MYH4/MYH7/MYH8/MYL1/MYL3/MYL6B/MYOM1/MYOM2/MYOZ1/PDLIM7/PVALB/SPEG/SSPN/SVIL/SYNGR2/TCAP/TNNC1/TNNC2/TNNI1/TNNI2/TNNT1/TNNT3/TPM2/TPM3,42,5.098235978724444e-16,HALLMARK_MYOGENESIS
GOBP_MUSCLE_CELL_DIFFERENTIATION,3.2846578207049644e-15,3.3076504254498992e-12,3.8378900856117095,39,102,GO:BP,6.624521072796935,yellow,Muscle Cell Differentiation,ACTA1/ACTN1/ACTN2/ACTN3/ACTN4/COL6A1/H3-3A/LAMA2/LAMB2/LAMC1/LMNA/LMOD2/LMOD3/MYBPC1/MYBPC2/MYBPH/MYH3/MYOM1/MYOM2/MYOM3/MYOZ1/MYOZ2/NEB/NID1/OBSCN/PDLIM5/PLEC/PPP3CA/PRKG1/SMYD1/SPEG/SYNPO2L/TCAP/TMOD1/TMOD4/TNNT1/TNNT3/TPM1/TTN,39,3.3076504254498992e-12,GOBP_MUSCLE_CELL_DIFFERENTIATION
GOBP_MUSCLE_CELL_DEVELOPMENT,3.4585781123203794e-14,1.315974550616508e-11,4.282691705790298,32,75,GO:BP,7.737890273673391,yellow,Muscle Cell Development,ACTA1/ACTN1/ACTN2/ACTN3/ACTN4/COL6A1/LMNA/LMOD2/LMOD3/MYBPC1/MYBPC2/MYBPH/MYH3/MYOM1/MYOM2/MYOM3/MYOZ1/MYOZ2/NEB/OBSCN/PDLIM5/PLEC/PPP3CA/PRKG1/SYNPO2L/TCAP/TMOD1/TMOD4/TNNT1/TNNT3/TPM1/TTN,32,1.315974550616508e-11,GOBP_MUSCLE_CELL_DEVELOPMENT
GOBP_MYOFIBRIL_ASSEMBLY,3.9204802898207786e-14,1.315974550616508e-11,5.602358336062889,24,43,GO:BP,12.738512949039263,yellow,Myofibril Assembly,ACTA1/ACTN2/LMOD2/LMOD3/MYBPC1/MYBPC2/MYBPH/MYH3/MYOM1/MYOM2/MYOM3/MYOZ1/MYOZ2/NEB/OBSCN/PLEC/SYNPO2L/TCAP/TMOD1/TMOD4/TNNT1/TNNT3/TPM1/TTN,24,1.315974550616508e-11,GOBP_MYOFIBRIL_ASSEMBLY
GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT,1.5766857541861492e-60,1.587722554465452e-57,10.570653907496013,62,76,GO:BP,84.22884882108183,green,ATP Synthesis Coupled Electron Transport,CHCHD2/COA6/COX4I1/COX5A/COX5B/COX6A2/COX6B1/COX6C/COX7A1/COX7A2/COX7A2L/COX7B/COX7C/COX8A/CYC1/CYCS/GHITM/MT-CO1/MT-CO2/MT-CO3/MT-ND1/MT-ND3/MTCH2/NDUFA1/NDUFA10/NDUFA12/NDUFA2/NDUFA3/NDUFA5/NDUFA6/NDUFA7/NDUFA8/NDUFA9/NDUFAB1/NDUFB1/NDUFB10/NDUFB3/NDUFB4/NDUFB5/NDUFB6/NDUFB7/NDUFB8/NDUFB9/NDUFC2/NDUFS1/NDUFS2/NDUFS3/NDUFS4/NDUFS5/NDUFS6/NDUFS7/NDUFS8/NDUFV1/NDUFV2/NDUFV3/UQCR11/UQCRB/UQCRC1/UQCRC2/UQCRFS1/UQCRH/UQCRQ,62,1.587722554465452e-57,GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT,3.8773417249819005e-52,1.209730618194353e-49,8.144761904761905,66,105,Reactome,33.05982905982906,green,Respiratory Electron Transport,COX17/COX4I1/COX5A/COX5B/COX6A2/COX6B1/COX6C/COX7A1/COX7A2/COX7A2L/COX7B/COX7C/COX8A/CYC1/CYCS/MT-CO1/MT-CO2/MT-CO3/MT-ND1/MT-ND3/NDUFA1/NDUFA10/NDUFA12/NDUFA13/NDUFA2/NDUFA3/NDUFA5/NDUFA6/NDUFA7/NDUFA8/NDUFA9/NDUFAB1/NDUFB1/NDUFB10/NDUFB11/NDUFB3/NDUFB4/NDUFB5/NDUFB6/NDUFB7/NDUFB8/NDUFB9/NDUFC2/NDUFS1/NDUFS2/NDUFS3/NDUFS4/NDUFS5/NDUFS6/NDUFS7/NDUFS8/NDUFV1/NDUFV2/NDUFV3/SLC25A12/SLC25A13/SMIM20/TIMM21/TMEM126A/UQCR11/UQCRB/UQCRC1/UQCRC2/UQCRFS1/UQCRH/UQCRQ,66,1.209730618194353e-49,REACTOME_RESPIRATORY_ELECTRON_TRANSPORT
GOBP_CELLULAR_RESPIRATION,1.766599863994441e-41,3.5579321260848036e-39,6.071031998304726,67,143,GO:BP,17.06484962406015,green,Cellular Respiration,CHCHD2/COA6/COX4I1/COX5A/COX5B/COX6A2/COX6B1/COX6C/COX7A1/COX7A2/COX7A2L/COX7B/COX7C/COX8A/CYC1/CYCS/GHITM/MT-CO1/MT-CO2/MT-CO3/MT-ND1/MT-ND3/MTCH2/NDUFA1/NDUFA10/NDUFA12/NDUFA13/NDUFA2/NDUFA3/NDUFA5/NDUFA6/NDUFA7/NDUFA8/NDUFA9/NDUFAB1/NDUFB1/NDUFB10/NDUFB11/NDUFB3/NDUFB4/NDUFB5/NDUFB6/NDUFB7/NDUFB8/NDUFB9/NDUFC2/NDUFS1/NDUFS2/NDUFS3/NDUFS4/NDUFS5/NDUFS6/NDUFS7/NDUFS8/NDUFV1/NDUFV2/NDUFV3/PNPT1/SLC25A13/STOML2/UQCR11/UQCRB/UQCRC1/UQCRC2/UQCRFS1/UQCRH/UQCRQ,67,3.5579321260848036e-39,GOBP_CELLULAR_RESPIRATION
GOBP_PROTON_TRANSMEMBRANE_TRANSPORT,1.0567727088312815e-39,1.7736168629885013e-37,7.803994490358127,53,88,GO:BP,26.20255102040816,green,Proton Transmembrane Transport,COX17/COX4I1/COX5A/COX5B/COX6B1/COX7A1/COX7A2L/COX7B/COX8A/CYC1/GHITM/MT-CO1/MT-CO2/MT-CO3/MT-ND1/MT-ND3/NDUFA1/NDUFA10/NDUFA12/NDUFA2/NDUFA3/NDUFA5/NDUFA6/NDUFA7/NDUFA8/NDUFA9/NDUFB1/NDUFB10/NDUFB3/NDUFB4/NDUFB5/NDUFB6/NDUFB7/NDUFB8/NDUFB9/NDUFC2/NDUFS1/NDUFS2/NDUFS3/NDUFS4/NDUFS5/NDUFS6/NDUFS7/NDUFS8/NDUFV1/NDUFV2/NDUFV3/PHB2/SLC25A12/SLC25A13/UQCRC1/UQCRFS1/UQCRH,53,1.7736168629885013e-37,GOBP_PROTON_TRANSMEMBRANE_TRANSPORT
KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_I,1.0638386555275626e-36,1.1170305883039407e-35,11.377383592017738,36,41,KEGG,109.84186046511628,green,Reference Electron Transfer In Complex I,MT-ND1/MT-ND3/NDUFA1/NDUFA10/NDUFA12/NDUFA13/NDUFA2/NDUFA3/NDUFA5/NDUFA6/NDUFA7/NDUFA8/NDUFA9/NDUFAB1/NDUFB1/NDUFB10/NDUFB11/NDUFB3/NDUFB4/NDUFB5/NDUFB6/NDUFB7/NDUFB8/NDUFB9/NDUFC2/NDUFS1/NDUFS2/NDUFS3/NDUFS4/NDUFS5/NDUFS6/NDUFS7/NDUFS8/NDUFV1/NDUFV2/NDUFV3,36,1.1170305883039407e-35,KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_I
