module,trait,n,r,ci_lo,ci_hi,p_raw,p_bh_global
MEblue,age_num,62,-0.5352,-0.6924,-0.3295,7.388836481852386e-6,3.324976416833515e-4
MEblack,age_num,62,-0.3471,-0.5493,-0.1066,0.005707180850275686,0.04280385637706759
MEmagenta,age_num,62,-0.2522,-0.4722,-0.0026,0.04795984864229207,0.20176407477730943
MEbrown,age_num,62,-0.1813,-0.4124,0.0717,0.1585170457114078,0.3787769311809656
MEyellow,age_num,62,-0.4491,-0.6284,-0.2245,2.5071554236517175e-4,0.00752146627095511
MEred,age_num,62,0.3812,0.1452,0.5761,0.0022394150727261986,0.02830312402560615
MEgreen,age_num,62,0.28,0.0325,0.4952,0.02749075156725287,0.15463547756579754
MEpink,age_num,62,-0.0605,-0.3057,0.1921,0.6401790973607628,0.813472606445208
MEturquoise,age_num,62,0.6888,0.5303,0.8008,6.076476447702699e-10,5.468828802932429e-8
MEblue,time_num,62,0.3972,0.1636,0.5886,0.001392407172868787,0.02830312402560615
MEblack,time_num,62,0.1391,-0.1146,0.3758,0.28089427042441495,0.5159282517999457
MEmagenta,time_num,62,0.189,-0.0637,0.419,0.1411636808983203,0.3606062515507048
MEbrown,time_num,62,-0.0489,-0.2951,0.2033,0.7057250506468484,0.8298250599393149
MEyellow,time_num,62,-0.127,-0.3652,0.1268,0.32538793992985027,0.5742140116409118
MEred,time_num,62,0.0234,-0.2277,0.2715,0.8570151876722643,0.9121082239557315
MEgreen,time_num,62,-0.2014,-0.4296,0.0509,0.1164625811940955,0.3289414107265571
MEpink,time_num,62,0.1046,-0.1491,0.3454,0.4184284914733204,0.6606765654841903
MEturquoise,time_num,62,-0.0571,-0.3026,0.1954,0.6593015616741154,0.8241269520926442
MEblue,interaction,62,-0.1876,-0.4178,0.0652,0.14424250062028168,0.3606062515507048
MEblack,interaction,62,-0.0967,-0.3383,0.1568,0.4544390246616087,0.6704838068777833
MEmagenta,interaction,62,0.0268,-0.2245,0.2747,0.8364458896804673,0.9121082239557315
MEbrown,interaction,62,-0.1605,-0.3945,0.093,0.21263199378815603,0.46675315709595305
MEyellow,interaction,62,-0.2557,-0.4751,-0.0064,0.04485691625836027,0.20176407477730943
MEred,interaction,62,0.2011,-0.0512,0.4293,0.11695694603610889,0.3289414107265571
MEgreen,interaction,62,0.1807,-0.0724,0.4119,0.15992803760974086,0.3787769311809656
MEpink,interaction,62,-0.0209,-0.2693,0.23,0.8717586376823416,0.9121082239557315
MEturquoise,interaction,62,0.3646,0.1263,0.5631,0.003577186975558628,0.03219468278002772
MEblue,VL_thick_cm,62,0.0978,-0.1557,0.3393,0.4492926185830899,0.6704838068777833
MEblack,VL_thick_cm,62,0.2352,-0.0155,0.4581,0.06572836450954463,0.2275212617638076
MEmagenta,VL_thick_cm,62,0.0758,-0.1773,0.3195,0.5580875785124768,0.7496698815839244
MEbrown,VL_thick_cm,62,0.0845,-0.1688,0.3274,0.5138174336877172,0.7225557661233518
MEyellow,VL_thick_cm,62,0.3771,0.1406,0.5729,0.0025158332467205557,0.02830312402560615
MEred,VL_thick_cm,62,-0.2559,-0.4753,-0.0065,0.044731392105797796,0.20176407477730943
MEgreen,VL_thick_cm,62,-0.0062,-0.2556,0.244,0.9619618664405681,0.961961866440568
MEpink,VL_thick_cm,62,0.0603,-0.1924,0.3054,0.6417395006401091,0.813472606445208
MEturquoise,VL_thick_cm,62,-0.2652,-0.4829,-0.0165,0.03727263258854068,0.1973257019393325
MEblue,DXA_LBM_kg,62,-0.0466,-0.2929,0.2056,0.7191817186140659,0.8298250599393149
MEblack,DXA_LBM_kg,62,-0.0334,-0.2808,0.2182,0.7968357040624426,0.8964401670702538
MEmagenta,DXA_LBM_kg,62,0.0768,-0.1764,0.3204,0.5530969328817619,0.7496698815839244
MEbrown,DXA_LBM_kg,62,0.053,-0.1994,0.2988,0.6824418744841666,0.8298250599393149
MEyellow,DXA_LBM_kg,62,0.0881,-0.1653,0.3306,0.49574832353931375,0.7082118907704648
MEred,DXA_LBM_kg,62,-0.2508,-0.471,-0.0011,0.049320107167780555,0.20176407477730943
MEgreen,DXA_LBM_kg,62,0.1683,-0.085,0.4012,0.1909678848309588,0.42967774086968424
MEpink,DXA_LBM_kg,62,0.1215,-0.1323,0.3603,0.3469364106745273,0.6004668646290119
MEturquoise,DXA_LBM_kg,62,0.0314,-0.2201,0.279,0.8086401693630851,0.8984890770701003
MEblue,deadlift_1rm_kg,50,0.1977,-0.0854,0.4512,0.16878374210672994,0.33688347626368614
MEblack,deadlift_1rm_kg,50,0.0193,-0.2605,0.296,0.8942250393861548,0.9121082239557315
MEmagenta,deadlift_1rm_kg,50,-0.0988,-0.3671,0.1846,0.49470386593378,0.6704838068777833
MEbrown,deadlift_1rm_kg,50,0.153,-0.1309,0.4137,0.28880829198927355,0.48907874120183065
MEyellow,deadlift_1rm_kg,50,0.2245,-0.0574,0.4733,0.11703611086174676,0.2646808741438803
MEred,deadlift_1rm_kg,50,-0.195,-0.449,0.0882,0.1748252707777536,0.34111338617259856
MEgreen,deadlift_1rm_kg,50,-0.1392,-0.402,0.1447,0.33482347907586263,0.5159282517999457
MEpink,deadlift_1rm_kg,50,0.0467,-0.2347,0.3209,0.7471856258479592,0.8298250599393149
MEturquoise,deadlift_1rm_kg,50,-0.303,-0.5361,-0.0269,0.03246047755377306,0.10725280580020392
MEblue,Type_I_fCSA,44,-0.17,-0.4445,0.1336,0.2698119015087169,0.42967774086968424
MEblack,Type_I_fCSA,44,-0.105,-0.3897,0.1981,0.4976808667594994,0.6606765654841903
MEmagenta,Type_I_fCSA,44,-0.0535,-0.3449,0.2473,0.7302736278481581,0.8298250599393149
MEbrown,Type_I_fCSA,44,-0.0654,-0.3554,0.2361,0.6733457144937404,0.8005127144649865
MEyellow,Type_I_fCSA,44,0.149,-0.1547,0.427,0.33428384181097837,0.4952995410241307
MEred,Type_I_fCSA,44,-0.103,-0.388,0.2,0.5059407217324834,0.6606770032537155
MEgreen,Type_I_fCSA,44,0.2439,-0.0571,0.5043,0.11062859431023452,0.21039023644187457
MEpink,Type_I_fCSA,44,0.1179,-0.1855,0.4007,0.44600221507901616,0.6138723041568539
MEturquoise,Type_I_fCSA,44,0.0146,-0.2835,0.3101,0.9249981052153551,0.9309403926551408
MEblue,Type_II_fCSA,44,0.1133,-0.1899,0.3969,0.46383436910122666,0.6307085522766853
MEblack,Type_II_fCSA,44,0.0914,-0.2112,0.378,0.5550716232712031,0.6964546200843375
