gene,trait,cor,ci_lo,ci_hi,pval,padj,stars,module
LMOD2,Age,-0.7325150632500455,-0.8646111321018021,-0.5057019044319501,4.183866289203948e-6,3.7654796602835526e-4,***,Brown
PDLIM5,Age,-0.561282853625061,-0.7665464641114123,-0.25196401450430445,0.0012509981364382807,0.019868793931666812,*,Brown
VIM,Age,-0.612617390986499,-0.7969860590616286,-0.32381688312928913,3.199839231278361e-4,0.00617111851746541,**,Brown
RPL27,Age,-0.8173226325279236,-0.9097193591708087,-0.6478030181619723,3.554585566055403e-8,9.597381028349588e-6,***,Brown
LMNA,Age,-0.408529572666624,-0.6701636813917957,-0.05658918155069653,0.025003520663410893,0.1675177114141806,,Brown
MYOM3,Age,-0.6300895921888781,-0.8071371567057819,-0.34905695789584207,1.903467664662897e-4,0.004672147904172566,**,Brown
MYOM2,Age,-0.6134348930941388,-0.7974633500361629,-0.324988737990885,3.125136349035802e-4,0.00617111851746541,**,Brown
DES,Age,-0.6729259761208054,-0.831589257633904,-0.41271251274009335,4.614696525141754e-5,0.0020766134363137895,**,Brown
TTN,Age,-0.7097366681188677,-0.8521215756880604,-0.4695226357724882,1.1224803618857317e-5,7.576742442728689e-4,***,Brown
SYNPO2L,Age,-0.6802611128961985,-0.8357155553955068,-0.42387362766800857,3.537628111808649e-5,0.0019103191803766706,**,Brown
XPNPEP1,Age,-0.4020982750546629,-0.6659024496031166,-0.0489150667324958,0.02761461154685001,0.1733940725034768,,Brown
NT5C1A,Age,-0.43308889559082925,-0.6862789712747447,-0.08628215715829539,0.016820037410911218,0.12615028058183414,,Brown
TMOD4,Age,-0.5041069205010812,-0.7315214534367802,-0.17575781419202552,0.004505912838304519,0.050691519430925834,,Brown
FBN1,Age,0.41513070562110005,0.06450943827242318,0.674519578317014,0.022537112953442368,0.1601321183534063,,Brown
CORO6,Age,-0.6335311146021402,-0.809124366085595,-0.35407706533469296,1.711968092112183e-4,0.004622313848702894,**,Brown
NACA,Age,-0.6083897836747433,-0.7945141302528759,-0.31777089279937487,3.6119004089085277e-4,0.00650142073603535,**,Blue
EIF2B1,Age,-0.5744839901621532,-0.7744633787563052,-0.27012152198012,8.999192732325961e-4,0.015186137735800059,*,Blue
MOB4,Age,-0.24958879057715253,-0.5595442632870358,0.1216160445303518,0.18347513893304898,0.5145653027908375,,Blue
S100A16,Age,-0.4333744347705345,-0.6864648852438685,-0.08663104457310183,0.01673992609918421,0.12615028058183414,,Blue
KPNB1,Age,-0.6580754207454156,-0.823181271218787,-0.3903527035176472,7.733324538844992e-5,0.0028115531449247194,**,Blue
ARHGAP1,Age,-0.6366838525233823,-0.8109413071184011,-0.35869010387431893,1.5517557817473348e-4,0.004622313848702894,**,Blue
SPAG9,Age,-0.6170510890613424,-0.7995718732423249,-0.33018304953652805,2.812854823699648e-4,0.00617111851746541,**,Blue
CCT6A,Age,0.17150318417719151,-0.2011974920059866,0.5008276114614258,0.3648371693405569,0.676851426537768,,Blue
S100A6,Age,-0.31892776701047854,-0.6091999961387906,0.04670822391200239,0.0858334255434704,0.40404969134121976,,Blue
HRC,Age,-0.5537301556936624,-0.7619887665413606,-0.24167268389351934,0.001501323398642111,0.022519850979631665,*,Blue
FARSA,Age,0.2810303247530969,-0.08816533632202711,0.582339651228977,0.13248698233803613,0.45860878501627894,,Blue
MAPT,Age,-0.5429387135576308,-0.7554406428687178,-0.22708904015504283,0.001934150195826931,0.027485292256487968,*,Blue
PSMD7,Age,-0.7634925032743567,-0.881338300563279,-0.5562182611545095,9.223606712946586e-7,1.245186906247789e-4,***,Blue
BCAP31,Age,-0.24475283679342993,-0.5559960439077666,0.126687279151092,0.19239220577762317,0.524706015757154,,Blue
TNPO1,Age,-0.35891164223892946,-0.6368350273206674,0.0015591913050797862,0.05144352094454644,0.28346429908219467,,Blue
EPM2A,Age,-0.07111036315254181,-0.42060417973717895,0.2967615567446922,0.7088426710136493,0.8779244090536023,,Grey
HEBP2,Age,0.29952145029621996,-0.06809588788734222,0.5955282013240283,0.1078347888198588,0.4068828373606558,,Grey
GDI1,Age,0.44996425872974344,0.10704848051073595,0.6972099757570356,0.012598967601915494,0.1095806080811027,,Grey
SKP1,Age,-0.030081037688686467,-0.38616528206127876,0.3338057284017457,0.8746182341979077,0.9638649927895309,,Grey
UBE2D3,Age,-0.0656161960964237,-0.4160502016324486,0.30178712194841645,0.7304740211500527,0.8924343244819649,,Grey
GPX3,Age,0.39187405787990376,0.03680030885738482,0.6590924951179755,0.0322195940121594,0.19771114507461451,,Grey
CMPK1,Age,-0.13575295538439455,-0.47289405896805675,0.23606146991965887,0.47443811946362757,0.7241924849120103,,Grey
ATP6V1E1,Age,-0.26978685110466305,-0.5742420967933037,0.10022370456902141,0.14936253199832195,0.47830463266131257,,Grey
LRRC47,Age,0.5393515361194476,0.22227246759605196,0.7532545436477024,0.0021001918994329252,0.02835259064234449,*,Grey
EIF4H,Age,0.15892330287680534,-0.21357414470211322,0.491075889584112,0.4015693179005877,0.6865464058570644,,Grey
HDHD2,Age,0.007869942332207483,-0.3534012782027262,0.3670983317597655,0.9670771615226774,0.9792678177707625,,Grey
IDE,Age,-0.18294344192557796,-0.5096239170169481,0.18983777821631193,0.33322205250065595,0.6427671225428464,,Grey
MAPK12,Age,0.25668735427419415,-0.11413685093134464,0.564732098690024,0.1709165963494972,0.5103815179951154,,Grey
KLHDC8B,Age,-0.060495853291843954,-0.411790193435556,0.30645243705098735,0.7508180610982315,0.8969950287456748,,Grey
ZNF33A,Age,-0.26789429758983574,-0.5728731962336606,0.10224279313294589,0.1523488829958255,0.47830463266131257,,Grey
LMOD2,BMI,-0.440610085090744,-0.691164985478703,-0.09550043463264121,0.014813039439831633,0.12119759541680426,,Brown
PDLIM5,BMI,-0.2905411674381592,-0.589143000832582,0.07787999056600331,0.1193384766258477,0.42396564064445896,,Brown
VIM,BMI,-0.2738484382750986,-0.5771741425078287,0.09588024958545442,0.14309652784471247,0.4732910673651521,,Brown
RPL27,BMI,-0.46682896553970443,-0.7080204071576031,-0.12810496172655836,0.009304588533028551,0.08374129679725696,,Brown
LMNA,BMI,-0.1853751318112534,-0.511484861162122,0.18741027767534024,0.3267244745231602,0.6427671225428464,,Brown
MYOM3,BMI,-0.22466698801238505,-0.54113631221277525,0.1475445817186136,0.23263571656675686,0.5710149406638577,,Brown
MYOM2,BMI,-0.21383614555317637,-0.5330406707665226,0.1586556861143872,0.2565234289993137,0.5970803950846094,,Brown
DES,BMI,-0.21794868877380866,-0.5361215384427149,0.15444780725857196,0.24727059774161986,0.5960987624128335,,Brown
TTN,BMI,-0.23820772259697628,-0.5511756510313238,0.1335200448490475,0.20493392358225743,0.5352236756728754,,Brown
SYNPO2L,BMI,-0.312229980435617,-0.6045008097194021,0.0541279216940764,0.09300040599698679,0.4050017680513941,,Brown
XPNPEP1,BMI,-0.23882418488678775,-0.5516305605335021,0.1328779936124495,0.20372927532900975,0.5352236756728754,,Brown
NT5C1A,BMI,-0.009701007260402916,-0.36868169678456614,0.35179773940870696,0.9594228055963215,0.9792678177707625,,Brown
TMOD4,BMI,-0.2711499820798966,-0.5752270078426963,0.09876754501936513,0.14723789700086098,0.47830463266131257,,Brown
FBN1,BMI,0.2782096954147346,-0.09120059883258134,0.5803138355525945,0.1365828613747862,0.46096715713990344,,Brown
CORO6,BMI,-0.43647370221341947,-0.6884806854881284,-0.09042337883453234,0.015890566803378383,0.12615028058183414,,Brown
NACA,BMI,-0.6558673117313324,-0.8219248843516519,-0.38705480770825246,8.330527836813983e-5,0.0028115531449247194,**,Blue
EIF2B1,BMI,-0.5140222778710113,-0.7376826933821741,-0.18869721429744696,0.003664652351757663,0.04530590534207422,*,Blue
MOB4,BMI,-0.19201851337728998,-0.5165534174248962,0.18075504703091283,0.3093730698598185,0.6427671225428464,,Blue
S100A16,BMI,-0.17448720470737583,-0.5031285729946525,0.19824411256163446,0.35642518578051674,0.676851426537768,,Blue
KPNB1,BMI,-0.24882584984667216,-0.5589852348748382,0.1224173937684938,0.18486234952115274,0.5145653027908375,,Blue
ARHGAP1,BMI,-0.4681668167072926,-0.7088731698268739,-0.12978851635400343,0.009077737447977016,0.08374129679725696,,Blue
SPAG9,BMI,-0.3395968802204407,-0.6235741146036609,0.023554099378963328,0.0663565040284687,0.3388522065172268,,Blue
CCT6A,BMI,0.18994215222425045,-0.1828387854152074,0.5149717009030556,0.31473316716085575,0.6427671225428464,,Blue
S100A6,BMI,-0.4674970898314402,-0.7084463656819945,-0.12894548674316592,0.009190708783084759,0.08374129679725696,,Blue
HRC,BMI,-0.199735922407648,-0.5224129830142287,0.17298077266347658,0.28995397338596096,0.6395666185382879,,Blue
FARSA,BMI,0.33966362024274843,-0.023478698919820837,0.6236202193247408,0.06629974092394153,0.3388522065172268,,Blue
MAPT,BMI,-0.15886083554576794,-0.4910272572993498,0.2136353059567835,0.40175678564968953,0.6865464058570644,,Blue
PSMD7,BMI,-0.2659828055588411,-0.571488868148822,0.10427899542243786,0.15540847443600794,0.48230216204278326,,Blue
BCAP31,BMI,-0.4681884689153584,-0.7088869654245549,-0.12981577958967783,0.009074104727134664,0.08374129679725696,,Blue
TNPO1,BMI,-0.15646381566895978,-0.48915955570534825,0.21598000481915594,0.4089877873012031,0.6945075633416656,,Blue
EPM2A,BMI,-0.011175024533796634,-0.369954802656181,0.350505338654431,0.9532635437804241,0.9792678177707625,,Grey
HEBP2,BMI,0.3028841602979698,-0.06441389643236259,0.5979095841575782,0.10374792924860018,0.4068828373606558,,Grey
GDI1,BMI,0.14879220112552677,-0.2234554044285617,0.48316143395998995,0.43261646832928835,0.7210274472154806,,Grey
SKP1,BMI,-0.01933334995003494,-0.37697684926469094,0.3433272191541036,0.9192306979016902,0.9781423509290682,,Grey
UBE2D3,BMI,-0.12514023532267746,-0.4644692450549874,0.2462300667658911,0.5099635622359734,0.732683483046377,,Grey
GPX3,BMI,0.20461539411573637,-0.16804126398879912,0.5261021404256606,0.27808554794163176,0.6256924828686714,,Grey
CMPK1,BMI,-0.16933104009223243,-0.499149750847473,0.20334307865678802,0.37103352130381617,0.6802614168439839,,Grey
ATP6V1E1,BMI,-0.13728698629994576,-0.4741067578794568,0.2345848686014318,0.46941171344745636,0.7241924849120103,,Grey
LRRC47,BMI,0.22498818113789323,-0.14721363667518733,0.5413754995642516,0.23195092087774966,0.5710149406638577,,Grey
EIF4H,BMI,0.007054009296835979,-0.3541151411375141,0.3663921040865696,0.9704889500198839,0.9792678177707625,,Grey
HDHD2,BMI,0.028249289737507798,-0.33543375951391874,0.384604260298135,0.8821988068486526,0.96826698312657,,Grey
IDE,BMI,-0.3103301578190742,-0.6031641751955993,0.05622517448938622,0.09511366989589778,0.4068828373606558,,Grey
MAPK12,BMI,0.16781190286293668,-0.20484151841416734,0.4979748301952758,0.375403522628717,0.6802614168439839,,Grey
