gene,pathway,database,module
GLRX,Unmapped,NA,yellow
RNF181,Unmapped,NA,yellow
FBN1,Unmapped,NA,yellow
ALKBH3,Unmapped,NA,yellow
ELOC,Unmapped,NA,yellow
ATL2,Unmapped,NA,yellow
UBE2N,Unmapped,NA,yellow
ARIH1,Unmapped,NA,yellow
MACROH2A1,Unmapped,NA,yellow
SYNGR2,Myogenesis,Hallmark,yellow
PFDN5,Unmapped,NA,yellow
MAPK3,Unmapped,NA,yellow
C11orf54,Unmapped,NA,yellow
CHP1,Unmapped,NA,yellow
RBKS,Unmapped,NA,yellow
NDUFS1,ATP Synthesis Coupled Electron Transport,GO:BP,green
NDUFV1,ATP Synthesis Coupled Electron Transport,GO:BP,green
NDUFC2,ATP Synthesis Coupled Electron Transport,GO:BP,green
NDUFB4,ATP Synthesis Coupled Electron Transport,GO:BP,green
NDUFV2,ATP Synthesis Coupled Electron Transport,GO:BP,green
NDUFA3,ATP Synthesis Coupled Electron Transport,GO:BP,green
NDUFA7,ATP Synthesis Coupled Electron Transport,GO:BP,green
NDUFA5,ATP Synthesis Coupled Electron Transport,GO:BP,green
NDUFS8,ATP Synthesis Coupled Electron Transport,GO:BP,green
NDUFS7,ATP Synthesis Coupled Electron Transport,GO:BP,green
NDUFA9,ATP Synthesis Coupled Electron Transport,GO:BP,green
NDUFB9,ATP Synthesis Coupled Electron Transport,GO:BP,green
NDUFB3,ATP Synthesis Coupled Electron Transport,GO:BP,green
COX7B,ATP Synthesis Coupled Electron Transport,GO:BP,green
NDUFS3,ATP Synthesis Coupled Electron Transport,GO:BP,green
NDUFV3,ATP Synthesis Coupled Electron Transport,GO:BP,green
NDUFB10,ATP Synthesis Coupled Electron Transport,GO:BP,green
COX5A,ATP Synthesis Coupled Electron Transport,GO:BP,green
UQCRC2,ATP Synthesis Coupled Electron Transport,GO:BP,green
NDUFA12,ATP Synthesis Coupled Electron Transport,GO:BP,green
COX4I1,ATP Synthesis Coupled Electron Transport,GO:BP,green
VDAC2,Unmapped,NA,green
COX6B1,ATP Synthesis Coupled Electron Transport,GO:BP,green
MT-CO2,ATP Synthesis Coupled Electron Transport,GO:BP,green
NDUFS5,ATP Synthesis Coupled Electron Transport,GO:BP,green
NDUFB6,ATP Synthesis Coupled Electron Transport,GO:BP,green
NDUFS6,ATP Synthesis Coupled Electron Transport,GO:BP,green
NDUFB8,ATP Synthesis Coupled Electron Transport,GO:BP,green
NDUFB7,ATP Synthesis Coupled Electron Transport,GO:BP,green
COX5B,ATP Synthesis Coupled Electron Transport,GO:BP,green
NDUFB11,Respiratory Electron Transport,Reactome,green
NDUFA8,ATP Synthesis Coupled Electron Transport,GO:BP,green
MT-ND1,ATP Synthesis Coupled Electron Transport,GO:BP,green
NDUFS2,ATP Synthesis Coupled Electron Transport,GO:BP,green
COX7A1,ATP Synthesis Coupled Electron Transport,GO:BP,green
COX7A2,ATP Synthesis Coupled Electron Transport,GO:BP,green
UQCRQ,ATP Synthesis Coupled Electron Transport,GO:BP,green
UQCRH,ATP Synthesis Coupled Electron Transport,GO:BP,green
NDUFB5,ATP Synthesis Coupled Electron Transport,GO:BP,green
NDUFA10,ATP Synthesis Coupled Electron Transport,GO:BP,green
NDUFA2,ATP Synthesis Coupled Electron Transport,GO:BP,green
COX6C,ATP Synthesis Coupled Electron Transport,GO:BP,green
IMMT,Unmapped,NA,green
COX7C,ATP Synthesis Coupled Electron Transport,GO:BP,green
NDUFA13,Respiratory Electron Transport,Reactome,green
ATAD3A,Unmapped,NA,green
CHCHD3,Unmapped,NA,green
TMEM143,Unmapped,NA,green
NDUFA6,ATP Synthesis Coupled Electron Transport,GO:BP,green
NDUFS4,ATP Synthesis Coupled Electron Transport,GO:BP,green
NDUFB1,ATP Synthesis Coupled Electron Transport,GO:BP,green
DNAJC11,Unmapped,NA,green
CYC1,ATP Synthesis Coupled Electron Transport,GO:BP,green
COX8A,ATP Synthesis Coupled Electron Transport,GO:BP,green
TMEM11,Unmapped,NA,green
UQCRFS1,ATP Synthesis Coupled Electron Transport,GO:BP,green
MMP24OS,Unmapped,NA,green
UQCR11,ATP Synthesis Coupled Electron Transport,GO:BP,green
UQCRC1,ATP Synthesis Coupled Electron Transport,GO:BP,green
MT-CO3,ATP Synthesis Coupled Electron Transport,GO:BP,green
TOMM40,Unmapped,NA,green
MTX2,Unmapped,NA,green
MCU,Unmapped,NA,green
TOMM22,Unmapped,NA,green
TMEM126A,Respiratory Electron Transport,Reactome,green
SLC25A12,Respiratory Electron Transport,Reactome,green
TIMM8A,Unmapped,NA,green
TMEM120A,Unmapped,NA,green
TOMM5,Unmapped,NA,green
TIMM21,Respiratory Electron Transport,Reactome,green
SAMM50,Unmapped,NA,green
MYL2,Unmapped,NA,green
TNS1,Unmapped,NA,green
UQCRB,ATP Synthesis Coupled Electron Transport,GO:BP,green
ATAD1,Unmapped,NA,green
NDUFAB1,ATP Synthesis Coupled Electron Transport,GO:BP,green
MTCH2,ATP Synthesis Coupled Electron Transport,GO:BP,green
PHB2,Proton Transmembrane Transport,GO:BP,green
CMC2,Unmapped,NA,green
COA6,ATP Synthesis Coupled Electron Transport,GO:BP,green
VDAC1,Unmapped,NA,green
MT-ND3,ATP Synthesis Coupled Electron Transport,GO:BP,green
MRRF,Unmapped,NA,green
LACTB,Unmapped,NA,green
SLC25A13,Respiratory Electron Transport,Reactome,green
NLRX1,Unmapped,NA,green
RPA2,Unmapped,NA,green
GHITM,ATP Synthesis Coupled Electron Transport,GO:BP,green
CTSG,Unmapped,NA,green
SUPV3L1,Unmapped,NA,green
COX7A2L,ATP Synthesis Coupled Electron Transport,GO:BP,green
PDK1,Unmapped,NA,green
PPP6R1,Unmapped,NA,green
PGM5,Unmapped,NA,green
MRPL38,Unmapped,NA,green
MRPL46,Unmapped,NA,green
TGM2,Unmapped,NA,green
CLPB,Unmapped,NA,green
CLASP2,Unmapped,NA,green
MGST3,Unmapped,NA,green
THNSL1,Unmapped,NA,green
RMDN1,Unmapped,NA,green
BST2,Unmapped,NA,green
BCKDHA,Unmapped,NA,green
PLGRKT,Unmapped,NA,green
PNPT1,Cellular Respiration,GO:BP,green
TIMM8B,Unmapped,NA,green
VDAC3,Unmapped,NA,green
G3BP2,Unmapped,NA,green
PABPC4,Unmapped,NA,green
ERP29,Unmapped,NA,green
STOML2,Cellular Respiration,GO:BP,green
SLC27A1,Unmapped,NA,green
EMD,Unmapped,NA,green
AKAP1,Unmapped,NA,green
MICU2,Unmapped,NA,green
NTMT1,Unmapped,NA,green
DCTPP1,Unmapped,NA,green
MDP1,Unmapped,NA,green
CAV1,Unmapped,NA,green
SMIM20,Respiratory Electron Transport,Reactome,green
PMPCB,Unmapped,NA,green
MRPL11,Unmapped,NA,green
SNRPA,Unmapped,NA,green
EHD4,Unmapped,NA,green
DNAJA3,Unmapped,NA,green
AGO2,Unmapped,NA,green
ARPC2,Unmapped,NA,green
OXCT1,Unmapped,NA,green
NUDT16,Unmapped,NA,green
MRPL37,Unmapped,NA,green
NDUFA1,ATP Synthesis Coupled Electron Transport,GO:BP,green
RALA,Unmapped,NA,green
NIPSNAP1,Unmapped,NA,green
SLC25A42,Unmapped,NA,green
TMLHE,Unmapped,NA,green
ISOC1,Unmapped,NA,green
CYCS,ATP Synthesis Coupled Electron Transport,GO:BP,green
CAP2,Unmapped,NA,green
MOGS,Unmapped,NA,green
MFN1,Unmapped,NA,green
FTH1,Unmapped,NA,green
PLEKHF1,Unmapped,NA,green
FKBP2,Unmapped,NA,green
COX17,Respiratory Electron Transport,Reactome,green
CHCHD2,ATP Synthesis Coupled Electron Transport,GO:BP,green
RGS12,Unmapped,NA,green
QKI,Unmapped,NA,green
VPS29,Unmapped,NA,green
MT-CO1,ATP Synthesis Coupled Electron Transport,GO:BP,green
PRXL2A,Unmapped,NA,green
HNRNPH1,Unmapped,NA,green
ARPC5L,Unmapped,NA,green
COX6A2,ATP Synthesis Coupled Electron Transport,GO:BP,green
VPS4B,Unmapped,NA,green
MPP1,Unmapped,NA,green
SF1,Unmapped,NA,green
SORBS1,Unmapped,NA,green
TBC1D4,Unmapped,NA,green
TAPBP,Unmapped,NA,green
KRT10,Unmapped,NA,green
FLG2,Unmapped,NA,green
TMPO,Unmapped,NA,green
GSTM1,Unmapped,NA,green
DCD,Unmapped,NA,green
