primary_module,primary_size,best_alt,best_jaccard
turquoise,345,turquoise,0.9768115942028985
blue,261,blue,0.5913621262458472
brown,197,brown,0.6163793103448276
yellow,165,green,0.8333333333333334
green,164,yellow,0.9575757575757575
red,146,red,0.8571428571428571
black,99,pink,0.8529411764705882
pink,84,purple,0.9642857142857143
magenta,78,tan,0.7375
purple,67,greenyellow,0.8732394366197183
