uniprot_id,module,kME,GS,x,y,gene
A0FGR8,blue,0.49879719505748304,0.0048979860600006,15.555093212308142,4.937504779393896,ESYT2
A1L0T0,blue,0.36355329541994474,0.023012897809140006,17.42324352291862,5.246480362335406,ILVBL
A5YM72,blue,0.4057691136253178,0.12427978162162398,17.121286614807516,5.41055484814582,CARNS1
O00168,blue,0.3422420142639517,0.31284012478804574,18.30354527101934,5.972715692799961,FXYD1
O00231,blue,0.5315493129366657,0.04651867009148104,15.187244029058778,6.265795072110735,PSMD11
O00399,blue,0.6891735541904535,0.19835952920687822,12.312456713545707,6.059529698336496,DCTN6
O00410,blue,0.632906168024723,0.043825605871061546,13.11102238338873,6.600057979557673,IPO5
O00487,blue,0.6301916647702479,0.30875014674625056,13.740990354878942,6.9738246619887825,PSMD14
O00629,blue,0.545001375291632,-0.04787162241577864,15.027373141837582,7.39283919204083,KPNA4
O14558,blue,0.35200988128292915,-0.3397143730199683,17.709638596635646,8.403491287339822,HSPB6
O14744,blue,0.35091445257697457,0.011004682156095498,17.059530235353638,8.631074334773883,PRMT5
O14929,blue,0.48012346492446994,0.19970308440194723,15.184522308515051,8.63602982204576,HAT1
O15143,blue,0.3378513932641393,-0.08585710417895646,17.070393203612657,9.593442576088963,ARPC1B
O15260,blue,0.4123880496821478,-0.12363998103026903,16.045902652626516,9.406290857908996,SURF4
O15400,blue,0.3860600320892397,-0.15900231124004868,16.83670418347756,10.35060458241145,STX7
O43237,blue,0.3314630497681867,0.26798264755616763,17.270268494439488,10.634204693179633,DYNC1LI2
O43396,blue,0.5736560400415962,0.022584697091349953,13.856174549341095,9.772983098340985,TXNL1
O43852,blue,0.5835540446352239,0.30457626381388686,13.50542599349374,9.937899841109882,CALU
O43865,blue,0.37622028125298135,0.06560152375381763,15.876892244070275,11.567754086198057,AHCYL1
O60237,blue,0.4722305010361227,0.12035285936279756,14.06747226571972,11.065218972030015,PPP1R12B
O60271,blue,0.7040360241706818,-0.04366675334773401,11.287097958532541,9.9079400887100455,SPAG9
O60662,blue,0.5627730551245803,0.010666048306284993,12.889474927957433,11.047341654200519,KLHL41
O60684,blue,0.344591979321219,0.08055248493011732,16.06156516889544,13.234121008291883,KPNA6
O60884,blue,0.6154672283991706,0.2232294607199889,11.600048661161766,11.046922616912763,DNAJA2
O75155,blue,0.3061463848031787,-0.032746745275779705,15.656850409744186,14.217823093907036,CAND2
O75396,blue,0.3747891754674507,-0.15755518615938055,15.061114836762872,14.12228385816838,SEC22B
O75663,blue,0.3837696316594706,0.10431806126501549,14.070497667075582,13.826694043313609,TIPRL
O75822,blue,0.4874120837361885,-0.01203190082559632,12.66864670304997,13.460862235478707,EIF3J
O75915,blue,0.3752532738835782,-0.09992848880882399,13.811191784023416,14.580694530711977,ARL6IP5
O76003,blue,0.6611651738894301,0.15998053746309204,10.322212182257266,12.251668364167493,GLRX3
O94886,blue,0.4066516557320475,0.004759972913546099,12.856777074391493,14.939415796729136,TMEM63A
O94919,blue,0.388704246413207,-0.19592023441903902,13.09346896197507,15.626692705286299,ENDOD1
O94979,blue,0.38814690934149526,-0.45244914549681137,12.506797434839374,15.716647875271928,SEC31A
O95210,blue,0.5549444909115732,0.4147680244844889,10.676528768646216,14.291345808129932,STBD1
