sample,age,time,subject
OP_S06_Pre,Old,Pre,OP_S06
OP_S11_Pre,Old,Pre,OP_S11
OP_S12_Pre,Old,Pre,OP_S12
OP_S17_Pre,Old,Pre,OP_S17
O_S05_Pre,Old,Pre,O_S05
O_S06_Pre,Old,Pre,O_S06
O_S07_Pre,Old,Pre,O_S07
O_S10_Pre,Old,Pre,O_S10
O_S16_Pre,Old,Pre,O_S16
O_S17_Pre,Old,Pre,O_S17
O_S24_Pre,Old,Pre,O_S24
O_S28_Pre,Old,Pre,O_S28
O_S29_Pre,Old,Pre,O_S29
O_S32_Pre,Old,Pre,O_S32
O_S35_Pre,Old,Pre,O_S35
OP_S06_Post,Old,Post,OP_S06
OP_S11_Post,Old,Post,OP_S11
OP_S12_Post,Old,Post,OP_S12
OP_S17_Post,Old,Post,OP_S17
O_S05_Post,Old,Post,O_S05
O_S06_Post,Old,Post,O_S06
O_S07_Post,Old,Post,O_S07
O_S10_Post,Old,Post,O_S10
O_S16_Post,Old,Post,O_S16
O_S17_Post,Old,Post,O_S17
O_S24_Post,Old,Post,O_S24
O_S28_Post,Old,Post,O_S28
O_S29_Post,Old,Post,O_S29
O_S32_Post,Old,Post,O_S32
O_S35_Post,Old,Post,O_S35
YP_S14_Pre,Young,Pre,YP_S14
YP_S45_Pre,Young,Pre,YP_S45
YP_S56_Pre,Young,Pre,YP_S56
Y_S01_Pre,Young,Pre,Y_S01
Y_S07_Pre,Young,Pre,Y_S07
Y_S10_Pre,Young,Pre,Y_S10
Y_S11_Pre,Young,Pre,Y_S11
Y_S16_Pre,Young,Pre,Y_S16
Y_S28_Pre,Young,Pre,Y_S28
Y_S30_Pre,Young,Pre,Y_S30
Y_S31_Pre,Young,Pre,Y_S31
Y_S32_Pre,Young,Pre,Y_S32
Y_S34_Pre,Young,Pre,Y_S34
Y_S35_Pre,Young,Pre,Y_S35
Y_S36_Pre,Young,Pre,Y_S36
Y_S40_Pre,Young,Pre,Y_S40
YP_S14_Post,Young,Post,YP_S14
YP_S45_Post,Young,Post,YP_S45
YP_S56_Post,Young,Post,YP_S56
Y_S01_Post,Young,Post,Y_S01
Y_S05_Post,Young,Post,Y_S05
Y_S10_Post,Young,Post,Y_S10
Y_S11_Post,Young,Post,Y_S11
Y_S16_Post,Young,Post,Y_S16
Y_S28_Post,Young,Post,Y_S28
Y_S30_Post,Young,Post,Y_S30
Y_S31_Post,Young,Post,Y_S31
Y_S32_Post,Young,Post,Y_S32
Y_S34_Post,Young,Post,Y_S34
Y_S35_Post,Young,Post,Y_S35
Y_S36_Post,Young,Post,Y_S36
Y_S40_Post,Young,Post,Y_S40
