pathway,pval,padj,foldEnrichment,overlap,size,overlapGenes,database,odds_ratio,module,Description
GOBP_ORGANIC_ACID_CATABOLIC_PROCESS,2.5231218681206667e-23,2.5079831369119428e-20,3.845702730030334,54,86,,GO:BP,10.06701030927835,turquoise,Organic Acid Catabolic Process
GOBP_FATTY_ACID_CATABOLIC_PROCESS,5.863551626491297e-17,1.9427901055774496e-14,4.80039169604387,29,37,,GO:BP,20.189873417721518,turquoise,Fatty Acid Catabolic Process
GOBP_FATTY_ACID_METABOLIC_PROCESS,2.6416412276151727e-15,4.3763189670824693e-13,3.002273373117363,50,102,,GO:BP,5.593220338983051,turquoise,Fatty Acid Metabolic Process
REACTOME_FATTY_ACID_METABOLISM,2.1457649041012928e-13,6.673328851755021e-11,3.697894449001914,32,53,,Reactome,8.505096607333028,turquoise,Fatty Acid Metabolism
REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION,6.926278006773034e-13,1.0770362300532068e-10,5.289459815546772,19,22,,Reactome,34.289366053169736,turquoise,Mitochondrial Fatty Acid Beta Oxidation
GOBP_LIPID_MODIFICATION,8.839385076243494e-13,1.0982935957232541e-10,4.033297985153765,27,41,,GO:BP,10.637466307277627,turquoise,Lipid Modification
REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE,2.7011022083600147e-12,2.8001426226665484e-10,4.899710144927536,20,25,,Reactome,21.698461538461537,turquoise,Citric Acid Cycle Tca Cycle
HALLMARK_FATTY_ACID_METABOLISM,1.7491740252375553e-10,6.297026490855199e-9,2.7706694271911663,38,84,,Hallmark,4.633621300099136,turquoise,Fatty Acid Metabolism
GOBP_AMINO_ACID_CATABOLIC_PROCESS,7.974399682037777e-11,8.032956418527366e-9,3.734535171438671,25,41,,GO:BP,8.5546875,turquoise,Amino Acid Catabolic Process
GOBP_LIPID_CATABOLIC_PROCESS,8.081445089061735e-11,8.032956418527366e-9,3.2180299680668143,31,59,,GO:BP,6.135122838944495,turquoise,Lipid Catabolic Process
GOBP_ALPHA_AMINO_ACID_METABOLIC_PROCESS,1.5785736343241884e-10,1.4264565386529484e-8,3.223493516399695,30,57,,GO:BP,6.141093474426808,turquoise,Alpha Amino Acid Metabolic Process
GOSLIM_AMINO_ACID_METABOLIC_PROCESS,1.324349055826883e-9,3.310872639567207e-8,2.5111014492753623,41,100,,GO Slim,3.906612399643176,turquoise,Amino Acid Metabolic Process
GOBP_BRANCHED_CHAIN_AMINO_ACID_METABOLIC_PROCESS,2.4700474612387803e-9,1.8886362895933444e-7,4.835240274599542,15,19,,GO:BP,20.045454545454547,turquoise,Branched Chain Amino Acid Metabolic Process
GOBP_TRICARBOXYLIC_ACID_CYCLE,8.95991023220415e-9,6.361536264864946e-7,4.164753623188406,17,25,,GO:BP,11.402439024390244,turquoise,Tricarboxylic Acid Cycle
REACTOME_MITOCHONDRIAL_PROTEIN_DEGRADATION,1.1128719605719137e-8,8.652579493446628e-7,2.659382151029748,33,76,,Reactome,4.2430679785330945,turquoise,Mitochondrial Protein Degradation
GOBP_DICARBOXYLIC_ACID_METABOLIC_PROCESS,3.183414969857865e-8,2.1095429866924784e-6,3.2863909508660303,22,41,,GO:BP,6.269838683395796,turquoise,Dicarboxylic Acid Metabolic Process
HALLMARK_OXIDATIVE_PHOSPHORYLATION,3.1454727841867514e-7,5.661851011536153e-6,1.9630248978075067,50,156,,Hallmark,2.6574992005116727,turquoise,OXPHOS
REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM,2.9522712375407275e-7,1.8363127097503326e-5,4.593478260869565,12,16,,Reactome,15.891891891891891,turquoise,Branched Chain Amino Acid Catabolism
GOBP_ACYL_COA_METABOLIC_PROCESS,1.3943283704026296e-6,8.152720001060081e-5,3.1498136645962735,18,35,,GO:BP,5.669724770642202,turquoise,Acyl Coa Metabolic Process
GOBP_SULFUR_COMPOUND_METABOLIC_PROCESS,1.8561196724096204e-6,1.0249905302084236e-4,2.3258117776554763,30,79,,GO:BP,3.3411078717201166,turquoise,Sulfur Compound Metabolic Process
HALLMARK_ADIPOGENESIS,4.5102211823388226e-5,5.412265418806587e-4,1.9281266774020398,34,108,,Hallmark,2.502650560528374,turquoise,Adipogenesis
REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS,1.140533982658311e-5,5.911767810112246e-4,2.5723478260869563,21,50,,Reactome,3.886653895274585,turquoise,Metabolism Of Vitamins And Cofactors
GOBP_AMIDE_METABOLIC_PROCESS,1.1411656732244026e-5,5.970098311500296e-4,2.0415458937198068,34,102,,GO:BP,2.733118971061093,turquoise,Amide Metabolic Process
REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT,2.0453177316488416e-5,9.087054493468425e-4,1.7659998221748021,47,163,,Reactome,2.24612358250405,turquoise,Aerobic Respiration And Respiratory Electron Transport
REACTOME_PROTEIN_LOCALIZATION,2.6425875673697045e-5,0.0010273059168149727,2.1758581235697942,27,76,,Reactome,2.9786291875240662,turquoise,Protein Localization
GOBP_MODIFIED_AMINO_ACID_METABOLIC_PROCESS,2.3618855286227577e-5,0.001117959150214772,2.4734113712374586,21,52,,GO:BP,3.631720430107527,turquoise,Modified Amino Acid Metabolic Process
GOSLIM_KETONE_METABOLIC_PROCESS,1.1316120103171633e-4,0.0014145150128964542,2.374859509021,19,49,,GO Slim,3.376482617586912,turquoise,Ketone Metabolic Process
GOBP_ALCOHOL_METABOLIC_PROCESS,4.682364666998068e-5,0.0021155774904527635,2.1518997258127692,26,74,,GO:BP,2.9205851619644725,turquoise,Alcohol Metabolic Process
GOBP_TEMPERATURE_HOMEOSTASIS,1.690113881179949e-4,0.007304231295186389,2.8435817805383024,13,28,,GO:BP,4.576104417670683,turquoise,Temperature Homeostasis
GOBP_KETONE_METABOLIC_PROCESS,2.114744376753233e-4,0.00875856629371964,2.281727763569196,19,51,,GO:BP,3.16180981595092,turquoise,Ketone Metabolic Process
GOBP_MITOCHONDRIAL_TRANSPORT,2.6337116009744e-4,0.010471637325474214,2.1053442028985505,22,64,,GO:BP,2.7990564646911396,turquoise,Mitochondrial Transport
HALLMARK_PEROXISOME,0.0012239373505856452,0.011015436155270807,2.317430473952213,14,37,,Hallmark,3.208984631551294,turquoise,Peroxisome
GOBP_KETONE_BIOSYNTHETIC_PROCESS,2.9293382260351227e-4,0.01119908537184197,3.445108695652174,9,16,,GO:BP,6.738520408163265,turquoise,Ketone Biosynthetic Process
GOBP_GLUTAMINE_FAMILY_AMINO_ACID_METABOLIC_PROCESS,5.339024867034279e-4,0.018953538277971693,3.2424552429667517,9,17,,GO:BP,5.892857142857143,turquoise,Glutamine Family Amino Acid Metabolic Process
GOBP_LONG_CHAIN_FATTY_ACID_TRANSPORT,5.339024867034279e-4,0.018953538277971693,3.2424552429667517,9,17,,GO:BP,5.892857142857143,turquoise,Long Chain Fatty Acid Transport
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.005696241370372232,0.041012937866680074,2.858164251207729,7,15,,Hallmark,4.556213017751479,turquoise,Cholesterol Homeostasis
GOBP_MONOCARBOXYLIC_ACID_TRANSPORT,0.0014220344217793417,0.04559684565318276,2.5911928651059086,11,26,,GO:BP,3.8489021956087823,turquoise,Monocarboxylic Acid Transport
REACTOME_PEROXISOMAL_PROTEIN_IMPORT,0.0014937210731037914,0.04645472537352791,2.901144164759725,9,19,,Reactome,4.708928571428571,turquoise,Peroxisomal Protein Import
GOBP_LIPID_LOCALIZATION,0.0017946903188055315,0.05574756802789682,1.8914322250639386,21,68,,GO:BP,2.3733254531126873,turquoise,Lipid Localization
GOBP_APOPTOTIC_MITOCHONDRIAL_CHANGES,0.002179089832918593,0.06097972962697836,2.3708274894810657,12,31,,GO:BP,3.317211948790896,turquoise,Apoptotic Mitochondrial Changes
GOBP_AMIDE_BIOSYNTHETIC_PROCESS,0.0022085213949408662,0.06097972962697836,2.1985878855444074,14,39,,GO:BP,2.948882175226586,turquoise,Amide Biosynthetic Process
GOBP_MITOCHONDRION_ORGANIZATION,0.0028927434449470264,0.07598165007683547,1.5415754707680174,37,147,,GO:BP,1.810684769775679,turquoise,Mitochondrion Organization
REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT,0.0027872721972425694,0.07880378666749446,2.0879446640316206,15,44,,Reactome,2.725705329153605,turquoise,Mitochondrial Protein Import
GOBP_MITOCHONDRIAL_MEMBRANE_ORGANIZATION,0.0033493864679261394,0.08323225372796457,1.9998816918071576,16,49,,GO:BP,2.55687574836511,turquoise,Mitochondrial Membrane Organization
GOBP_ORGANIC_ANION_TRANSPORT,0.0033493864679261394,0.08323225372796457,1.9998816918071576,16,49,,GO:BP,2.55687574836511,turquoise,Organic Anion Transport
HALLMARK_ESTROGEN_RESPONSE_LATE,0.015350933307421672,0.09210559984453004,1.9815004262574594,11,34,,Hallmark,2.498698255662588,turquoise,Estrogen Response Late
HALLMARK_BILE_ACID_METABOLISM,0.01809632275883141,0.0930668027597044,2.227140974967062,8,22,,Hallmark,2.97414158541755,turquoise,Bile Acid Metabolism
GOBP_INNER_MITOCHONDRIAL_MEMBRANE_ORGANIZATION,0.004003714626463963,0.09475457949298047,2.3231384307846077,11,29,,GO:BP,3.2019294743845643,turquoise,Inner Mitochondrial Membrane Organization
GOBP_SECONDARY_ALCOHOL_METABOLIC_PROCESS,0.004003714626463963,0.09475457949298047,2.3231384307846077,11,29,,GO:BP,3.2019294743845643,turquoise,Secondary Alcohol Metabolic Process
GOBP_STEROID_METABOLIC_PROCESS,0.005238467933401732,0.11571193612891825,1.9214549587951124,16,51,,GO:BP,2.4079895788102474,turquoise,Steroid Metabolic Process
GOBP_FAT_CELL_DIFFERENTIATION,0.0071881181452987455,0.15202105183887135,2.3965973534971643,9,23,,GO:BP,3.3558673469387754,turquoise,Fat Cell Differentiation
GOBP_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS,0.0071881181452987455,0.15202105183887135,2.3965973534971643,9,23,,GO:BP,3.3558673469387754,turquoise,Long Chain Fatty Acid Metabolic Process
GOSLIM_MITOCHONDRION_ORGANIZATION,0.01894927710933203,0.15791064257776694,1.381778013432308,37,164,,GO Slim,1.5522292667961959,turquoise,Mitochondrion Organization
REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION,0.006698383593726663,0.1735997748040827,2.578794813119756,8,19,,Reactome,3.791745346641489,turquoise,Epigenetic Regulation Of Gene Expression
GOBP_AMINE_METABOLIC_PROCESS,0.00873258277652579,0.17714667918095175,2.6795289855072464,7,16,,GO:BP,4.0476660092044705,turquoise,Amine Metabolic Process
GOBP_NAD_METABOLIC_PROCESS,0.00873258277652579,0.17714667918095175,2.6795289855072464,7,16,,GO:BP,4.0476660092044705,turquoise,Nad Metabolic Process
GOSLIM_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY,0.029216460940734924,0.18260288087959328,1.2908429193475013,47,223,,GO Slim,1.4266320927394753,turquoise,Generation Of Precursor Metabolites And Energy
GOBP_IMPORT_INTO_THE_MITOCHONDRION,0.00960974686935046,0.19104176776268714,2.449855072463768,8,20,,GO:BP,3.473788328387735,turquoise,Import Into The Mitochondrion
