module,Zsummary,Zdensity,Zconnectivity,module_size,preservation,bio_label
purple,8.566159911397994,12.263350485279595,4.868969337516393,67,Moderate,M10: NA
pink,12.997303754371323,18.414553859358204,7.5800536493844435,84,Strong,M8: Mitochondrial Biogenesis
yellow,14.606884852048019,20.47542557387704,8.738344130219,165,Strong,M4: Muscle Contraction
magenta,15.986134186042122,22.19029001895062,9.781978353133624,78,Strong,M9: Translation Initiation
red,17.209563715514648,27.944420090088357,6.474707340940941,146,Strong,M6: Immunity/Heme
blue,24.265934976643393,36.03368641063069,12.498183542656092,261,Strong,M2: Cell Cycle/Proteostasis
turquoise,24.626041206643208,32.36666341053359,16.88541900275283,345,Strong,M1: Lipid Catabolism
brown,26.57783439837288,37.79057851896171,15.365090277784049,197,Strong,M3: Redox/Glycolysis
black,29.093050506406435,46.187063518808436,11.999037494004435,99,Strong,M7: Translation Machinery
green,42.9998709334414,73.12370760625392,12.876034260628876,164,Strong,M5: Oxidative Phosphorylation
