module,uniprot_id,gene,kME,kME_ci_lo,kME_ci_hi,kME_p,GS_pheno,GS,GS_ci_lo,GS_ci_hi,GS_p,GS_n
blue,P26038,MSN,0.889,0.8216,0.9318,5.1452352166854825e-22,Type II fCSA,0.1257,-0.1778,0.4074,0.4160463519185438,44
blue,Q00765,REEP5,0.8863,0.8175,0.9301,1.0129012634610803e-21,Type II fCSA,0.1165,-0.1869,0.3995,0.45151610342964577,44
blue,Q14204,DYNC1H1,0.8449,0.7543,0.9039,5.997820601796504e-18,Type II fCSA,0.2724,-0.0266,0.5267,0.07362405245035539,44
blue,Q14974,KPNB1,0.8243,0.7234,0.8907,1.8610679022468478e-16,Type II fCSA,0.3081,0.0124,0.5543,0.04188352151885827,44
blue,O75923,DYSF,0.8195,0.7163,0.8876,3.8858985226782374e-16,Type II fCSA,0.0253,-0.2737,0.3198,0.8705858279097665,44
blue,P10636,MAPT,0.8191,0.7158,0.8873,4.0937261224256186e-16,Type II fCSA,0.0077,-0.2898,0.3039,0.9603541714201314,44
blue,P11142,HSPA8,0.8028,0.6917,0.8767,4.265983102550951e-15,Type II fCSA,0.1058,-0.1972,0.3905,0.49412306883591384,44
blue,E9PAV3,NACA,0.7913,0.675,0.8693,1.9395978485476184e-14,Type II fCSA,0.2614,-0.0384,0.5181,0.08647860740940926,44
blue,P48643,CCT5,0.7861,0.6673,0.8658,3.766512697745881e-14,Type II fCSA,0.0458,-0.2546,0.338,0.7680281276893536,44
blue,P68363,TUBA1B,0.7789,0.6569,0.8611,9.094413364379708e-14,Type II fCSA,-0.0799,-0.3681,0.2222,0.6061430602358082,44
blue,P55072,VCP,0.7726,0.6478,0.857,1.9182025027108146e-13,Type II fCSA,0.0898,-0.2127,0.3767,0.5619331714229674,44
blue,P07437,TUBB,0.77,0.6441,0.8553,2.573866272288228e-13,Type II fCSA,-0.1209,-0.4033,0.1826,0.4345090344079354,44
blue,P35998,PSMC2,0.766,0.6384,0.8526,4.0606037607289037e-13,Type II fCSA,0.2321,-0.0696,0.4948,0.12959138317519875,44
blue,P45974,USP5,0.7592,0.6286,0.8481,8.619227734651054e-13,Type II fCSA,0.1858,-0.1176,0.4574,0.22733410739209647,44
blue,Q99584,S100A13,0.7591,0.6285,0.8481,8.695047836718799e-13,Type II fCSA,0.1554,-0.1484,0.4323,0.31390886348653946,44
blue,P09936,UCHL1,0.7551,0.6228,0.8454,1.3373331141789873e-12,Type II fCSA,0.125,-0.1785,0.4068,0.418724170604005,44
blue,Q14315,FLNC,0.751,0.6169,0.8427,2.0681764356786543e-12,Type II fCSA,0.2231,-0.079,0.4877,0.14545108476682533,44
blue,P68104,EEF1A1,0.7503,0.616,0.8422,2.220015159678077e-12,Type II fCSA,0.2743,-0.0246,0.5281,0.07159831278581585,44
blue,Q99832,CCT7,0.7493,0.6145,0.8415,2.4724430714440346e-12,Type II fCSA,0.1229,-0.1806,0.405,0.42683482042234466,44
blue,Q14232,EIF2B1,0.7463,0.6103,0.8396,3.342983492982588e-12,Type II fCSA,0.3342,0.0415,0.5741,0.026595871200672933,44
blue,Q16082,HSPB2,0.7423,0.6047,0.8369,5.026661956072048e-12,Type II fCSA,-0.0674,-0.3571,0.2342,0.6638132397096186,44
blue,P06703,S100A6,0.7408,0.6024,0.8359,5.8796850487083566e-12,Type II fCSA,0.1557,-0.1481,0.4326,0.31298621498037393,44
blue,Q00610,CLTC,0.7343,0.5933,0.8316,1.1094029113602935e-11,Type II fCSA,0.1246,-0.1789,0.4065,0.4202736684797824,44
blue,Q9Y3A3,MOB4,0.7296,0.5868,0.8284,1.7326426971759688e-11,Type II fCSA,0.1286,-0.1749,0.4098,0.40537339673221673,44
blue,O75369,FLNB,0.7289,0.5858,0.828,1.8535308417465667e-11,Type II fCSA,0.2378,-0.0636,0.4994,0.12012410543013667,44
blue,P21333,FLNA,0.7289,0.5857,0.8279,1.864795884577528e-11,Type II fCSA,0.1621,-0.1416,0.4379,0.2932608962790529,44
blue,Q92973,TNPO1,0.7282,0.5848,0.8275,1.9831120902480616e-11,Type II fCSA,0.1139,-0.1894,0.3973,0.46163658272795305,44
blue,O00499,BIN1,0.7232,0.5779,0.8241,3.1528655315287664e-11,Type II fCSA,0.0285,-0.2706,0.3227,0.8541589926147246,44
blue,Q9Y696,CLIC4,0.7181,0.5706,0.8206,5.0654658396220665e-11,Type II fCSA,0.0243,-0.2746,0.3189,0.8756243344661732,44
blue,P26641,EEF1G,0.716,0.5678,0.8192,6.098910697906988e-11,Type II fCSA,0.3216,0.0273,0.5646,0.03329391052542947,44
brown,Q9UHG3,PCYOX1,0.8682,0.7896,0.9187,6.502596187042601e-20,Training,-0.1732,-0.4054,0.0801,0.17828300697279584,62
brown,O14983,ATP2A1,0.8405,0.7478,0.9011,1.2912774282077826e-17,Training,0.0599,-0.1927,0.3051,0.6434967422278888,62
brown,Q93084,ATP2A3,0.8376,0.7433,0.8992,2.139960379686912e-17,Training,0.0506,-0.2018,0.2966,0.6963485473132212,62
brown,P10768,ESD,0.7926,0.6768,0.8701,1.6566482613245528e-14,Training,-0.1018,-0.3429,0.1518,0.4310904346543474,62
brown,P25789,PSMA4,0.7743,0.6503,0.8581,1.5657703845145353e-13,Training,0.1227,-0.1311,0.3614,0.3420400146823699,62
brown,P63241,EIF5A,0.7737,0.6494,0.8577,1.6820398742350605e-13,Training,0.0799,-0.1733,0.3232,0.5371033869564246,62
brown,P60900,PSMA6,0.7575,0.6262,0.847,1.0328295879354834e-12,Training,0.1334,-0.1204,0.3708,0.3012501394784635,62
brown,Q5VU43,PDE4DIP,0.7533,0.6203,0.8442,1.6154140148897617e-12,Training,0.1239,-0.1299,0.3625,0.33726346595254586,62
brown,O75298,RTN2,0.7532,0.6201,0.8442,1.636892393078167e-12,Training,-0.0565,-0.302,0.196,0.6625110129886391,62
brown,P49773,HINT1,0.7528,0.6195,0.8439,1.709916394327764e-12,Training,0.0841,-0.1693,0.327,0.516015477483242,62
brown,P28072,PSMB6,0.7425,0.6049,0.837,4.955179547638058e-12,Training,0.0118,-0.2387,0.2608,0.9277753102357071,62
brown,P25787,PSMA2,0.7401,0.6016,0.8355,6.257102634697791e-12,Training,0.0629,-0.1898,0.3079,0.6269943794009725,62
brown,P28074,PSMB5,0.7383,0.5989,0.8342,7.532286469628874e-12,Training,0.0226,-0.2285,0.2708,0.8616321866578817,62
brown,P60174,TPI1,0.7295,0.5866,0.8283,1.7566461950652508e-11,Training,-0.036,-0.2832,0.2157,0.781287078325291,62
brown,P49720,PSMB3,0.7201,0.5735,0.822,4.193891601953276e-11,Training,0.101,-0.1527,0.3421,0.4349768859926879,62
brown,P61019,RAB2A,0.7163,0.5682,0.8195,5.909710902032069e-11,Training,-0.192,-0.4216,0.0606,0.13481804268634312,62
brown,P48147,PREP,0.7104,0.56,0.8155,9.968330699785424e-11,Training,-0.179,-0.4104,0.0741,0.16398521943100774,62
brown,Q9NQC3,RTN4,0.7088,0.5578,0.8144,1.1475277668335066e-10,Training,-0.18,-0.4112,0.0731,0.1616485738120339,62
brown,P18669,PGAM1,0.7035,0.5505,0.8108,1.8064295392916157e-10,Training,-0.0171,-0.2657,0.2337,0.8950726708669952,62
brown,P08237,PFKM,0.7024,0.5489,0.8101,1.9887665651136822e-10,Training,0.0655,-0.1873,0.3102,0.6127355389269561,62
brown,O43826,SLC37A4,0.699,0.5442,0.8077,2.6542081122016765e-10,Training,0.0053,-0.2448,0.2547,0.9675636851217844,62
brown,P10644,PRKAR1A,0.6971,0.5417,0.8065,3.091757279014923e-10,Training,0.0847,-0.1687,0.3275,0.512910836035944,62
brown,P61586,RHOA,0.6933,0.5364,0.8039,4.227220133969862e-10,Training,-0.1794,-0.4108,0.0736,0.16290861888078714,62
