module,gene,uniprot_id,kME,ensembl_id,n_drugs,max_phase,approved,drugs
blue,MSN,P26038,0.8915197345721642,ENSG00000147065,0,NA,FALSE,
blue,REEP5,Q00765,0.87463964992307,ENSG00000129625,0,NA,FALSE,
blue,DYNC1H1,Q14204,0.841060002216989,ENSG00000197102,0,NA,FALSE,
brown,TPM1,P09493,0.9470121297854904,ENSG00000140416,0,NA,FALSE,
brown,TPM2,P07951,0.944534703906394,ENSG00000198467,0,NA,FALSE,
brown,TNNI2,P48788,0.928507913708007,ENSG00000130598,2,3,FALSE,TIRASEMTIV; RELDESEMTIV
green,NDUFS1,P28331,0.9465572908622956,ENSG00000023228,3,4,TRUE,ME-344; METFORMIN; METFORMIN HYDROCHLORIDE
green,NDUFV1,P49821,0.9262041476489185,ENSG00000167792,3,4,TRUE,METFORMIN; METFORMIN HYDROCHLORIDE; ME-344
green,NDUFC2,O95298,0.9195103722965564,ENSG00000151366,3,4,TRUE,ME-344; METFORMIN HYDROCHLORIDE; METFORMIN
magenta,RPS27A,P62979,0.8956131827649499,ENSG00000143947,6,4,TRUE,MT-3724; CITATUZUMAB BOGATOX; ELX-02; ATALUREN; TELIMOMAB ARITOX; ZOLIMOMAB ARITOX
magenta,PSMD3,O43242,0.8543636160708376,ENSG00000108344,5,4,TRUE,OPROZOMIB; IXAZOMIB; BORTEZOMIB D-MANNITOL; CARFILZOMIB; IXAZOMIB CITRATE
magenta,EIF2S3,P41091,0.8518326004245241,ENSG00000130741,0,NA,FALSE,
turquoise,ETFB,P38117,0.9264193971250836,ENSG00000105379,0,NA,FALSE,
turquoise,IDH2,P48735,0.9099973207891432,ENSG00000182054,4,4,TRUE,VORASIDENIB; VORASIDENIB CITRATE; ENASIDENIB MESYLATE; ENASIDENIB
turquoise,ALDH5A1,P51649,0.9028648367936312,ENSG00000112294,3,4,TRUE,VALPROIC ACID; DIVALPROEX SODIUM; VALPROATE SODIUM
yellow,NPEPPS,P55786,0.9099388841960124,ENSG00000141279,1,2,FALSE,TOSEDOSTAT
yellow,GPD1,P21695,0.8646069509418005,ENSG00000167588,0,NA,FALSE,
yellow,CMBL,Q96DG6,0.8299339685476926,ENSG00000164237,0,NA,FALSE,
