module,col_name,r_equiv,p_bh
MEgreen,Training_Young,-0.5878,0.04582590186625817
MEpink,Training_Young,0.3513,0.2962028494011897
MEturquoise,Training_Young,-0.12,0.6498661105832518
MEred,Training_Young,0.2791,0.3964046047857082
MEyellow,Training_Young,-0.4958,0.1096248485766313
MEbrown,Training_Young,-0.4359,0.1740365479930274
MEblack,Training_Young,0.1581,0.6498661105832518
MEpurple,Training_Young,0.117,0.6498661105832518
MEblue,Training_Young,0.738,0.00698512273723177
MEmagenta,Training_Young,0.2718,0.3964046047857082
MEgrey,Training_Young,-0.5997,0.04582590186625817
MEgreen,Training_Old,0.0606,0.926962588919181
MEpink,Training_Old,0.054,0.926962588919181
MEturquoise,Training_Old,-0.1423,0.926962588919181
MEred,Training_Old,0.0191,0.9441731185943134
MEyellow,Training_Old,-0.3758,0.4164703949072248
MEbrown,Training_Old,0.0622,0.926962588919181
MEblack,Training_Old,0.2879,0.6150360498456792
MEpurple,Training_Old,0.4134,0.40863911990127294
MEblue,Training_Old,0.4882,0.302739332813473
MEmagenta,Training_Old,-0.1298,0.926962588919181
MEgrey,Training_Old,-0.5892,0.1796223180191013
MEpurple,Aging_Pre,-0.4288,0.11780174967308255
MEmagenta,Aging_Pre,-0.6574,4.114029974399291e-4
MEpink,Aging_Pre,0.0089,0.9668699687302006
MEblack,Aging_Pre,-0.4876,0.03605900150358253
MEred,Aging_Pre,-0.015,0.9668699687302006
MEgreen,Aging_Pre,0.0841,0.889337681127918
MEyellow,Aging_Pre,-0.1207,0.8720367746627227
MEbrown,Aging_Pre,-0.5829,0.004676403852782581
MEblue,Aging_Pre,-0.4795,0.015907832717280992
MEturquoise,Aging_Pre,0.7094,4.114029974399291e-4
MEpurple,Aging_Post,-0.2323,0.30022418509303184
MEmagenta,Aging_Post,-0.7461,1.4284178605897583e-5
MEpink,Aging_Post,-0.1669,0.47560759267572394
MEblack,Aging_Post,-0.272,0.2381516512752594
MEred,Aging_Post,-0.1031,0.6448521783795559
MEgreen,Aging_Post,0.4803,0.025948334604726096
MEyellow,Aging_Post,-0.1843,0.47560759267572394
MEbrown,Aging_Post,-0.3329,0.1774841616380463
MEblue,Aging_Post,-0.5973,0.0019584205992896923
MEturquoise,Aging_Post,0.7424,1.4284178605897583e-5
