PC1,PC2,gene,cluster,membership
0.019263154751838873,0.05962779226959314,MMP24OS,C3,0.9997906516825584
-0.01634639009345027,-0.008470694545288102,ESYT2,C2,0.961053023897504
-0.002508140868611052,-0.012233580142086002,ILVBL,C2,0.8479264887064927
0.020138968613053834,0.0018303935301130696,FSD2,C1,0.995374274559766
0.006653364710043002,0.03558514518428811,TARS3,C3,0.9983438751416616
0.0031241133349701423,0.028513755898828496,VWA8,C3,0.9996330649337608
-0.004616528532304314,0.00317317897262658,CARNS1,C2,0.8175261670935805
0.014754126061347822,0.001998056561405094,MAP1LC3B2,C1,0.9942017093275188
-0.007049298645018025,0.006500152802608345,PGP,C3,0.7410358730825224
-0.018269897161745676,-0.0020784101237216576,DHRS7C,C4,0.6459434238134778
0.02033573963552816,-0.03128500668656303,SMTNL1,C4,0.8838572321211766
0.0027961571036435933,0.031194438864669775,NUDT19,C3,0.989461451909665
-0.012361952511599151,-0.012650478746199859,NACA,C2,0.9999832399651452
0.013407778942892742,0.003467207294413137,SLC35A4,C1,0.8878802335785677
0.022136959837793603,0.023139219885005884,PDLIM1,C1,0.8492050749800668
-0.01467879916504111,0.007465095466205993,MYO1C,C2,0.8164499292436042
-0.01040759616955796,0.002411927715720714,FXYD1,C2,0.6431906659625528
0.008586005612106857,-0.015918685867502932,STXBP3,C1,0.6013559405720119
0.011137379042228515,0.051793213941608955,NDUFS8,C3,0.9998843967832564
-0.005565670849517677,-0.013373452559898726,PSMD11,C2,0.9493335082521238
-0.013064544725831385,-0.016934005827681047,PSMD12,C2,0.9915794054644884
-0.001291202598218072,-0.009499055486847784,PSMD9,C4,0.6366079370720356
-0.020679983777032312,-0.030722645968532105,PGRMC1,C4,0.7623739874876988
-0.0036902537541000763,-0.013306249697973805,CLIC1,C2,0.8663193310091076
-0.008402161193039343,-0.0035483452103291842,EIF3F,C2,0.9679875785591088
-0.0018209238858397394,0.024621479523065124,PDHX,C3,0.999998192327016
-0.010792070819402042,-0.022549088783143108,DCTN6,C2,0.9980511373568504
-0.009766156237345513,-0.016295711738825634,IPO5,C2,0.9124820017368688
0.006007160095527919,-0.008206225232807179,EEF2K,NA,0
0.001845631438618743,0.002468669293377123,EML1,C4,0.9811708767412074
-0.006958549465558905,0.013671515959748116,DNM1L,C3,0.9671372550732218
-0.006769048361317073,0.014712788516202361,RTCA,C3,0.936719395323056
-0.005521465725007141,0.02775689152113496,NDUFA4,C3,0.999808095816364
-0.007340784203603341,-0.012617178521446308,PSMD14,C2,0.996984530028591
-0.008864865617930203,-0.023020893042637238,BIN1,C2,0.998558044122894
-0.0026228047390335595,-0.029745135133757254,KPNA3,C2,0.997411959433452
