module,gene,uniprot_id,kME,ensembl_id,drug_count,drug_name,max_phase,clinical_stage,mechanism
blue,MSN,P26038,0.8915197345721642,ENSG00000147065,0,NA,NA,NA,NA
blue,REEP5,Q00765,0.87463964992307,ENSG00000129625,0,NA,NA,NA,NA
blue,DYNC1H1,Q14204,0.841060002216989,ENSG00000197102,0,NA,NA,NA,NA
brown,TPM1,P09493,0.9470121297854904,ENSG00000140416,0,NA,NA,NA,NA
brown,TPM2,P07951,0.944534703906394,ENSG00000198467,0,NA,NA,NA,NA
brown,TNNI2,P48788,0.928507913708007,ENSG00000130598,2,TIRASEMTIV,3,PHASE_3,Fast skeletal troponin complex activator
brown,TNNI2,P48788,0.928507913708007,ENSG00000130598,2,RELDESEMTIV,3,PHASE_3,Fast skeletal troponin complex activator
green,NDUFS1,P28331,0.9465572908622956,ENSG00000023228,3,ME-344,NA,PHASE_1_2,Mitochondrial complex I (NADH dehydrogenase) inhibitor
green,NDUFS1,P28331,0.9465572908622956,ENSG00000023228,3,METFORMIN,4,APPROVAL,Mitochondrial complex I (NADH dehydrogenase) inhibitor; Mitochondrial glycerol-3-phosphate dehydrogenase inhibitor
green,NDUFS1,P28331,0.9465572908622956,ENSG00000023228,3,METFORMIN HYDROCHLORIDE,4,APPROVAL,Mitochondrial complex I (NADH dehydrogenase) inhibitor; Mitochondrial glycerol-3-phosphate dehydrogenase inhibitor
green,NDUFV1,P49821,0.9262041476489185,ENSG00000167792,3,METFORMIN,4,APPROVAL,Mitochondrial complex I (NADH dehydrogenase) inhibitor; Mitochondrial glycerol-3-phosphate dehydrogenase inhibitor
green,NDUFV1,P49821,0.9262041476489185,ENSG00000167792,3,METFORMIN HYDROCHLORIDE,4,APPROVAL,Mitochondrial complex I (NADH dehydrogenase) inhibitor; Mitochondrial glycerol-3-phosphate dehydrogenase inhibitor
green,NDUFV1,P49821,0.9262041476489185,ENSG00000167792,3,ME-344,NA,PHASE_1_2,Mitochondrial complex I (NADH dehydrogenase) inhibitor
green,NDUFC2,O95298,0.9195103722965564,ENSG00000151366,3,ME-344,NA,PHASE_1_2,Mitochondrial complex I (NADH dehydrogenase) inhibitor
green,NDUFC2,O95298,0.9195103722965564,ENSG00000151366,3,METFORMIN HYDROCHLORIDE,4,APPROVAL,Mitochondrial complex I (NADH dehydrogenase) inhibitor; Mitochondrial glycerol-3-phosphate dehydrogenase inhibitor
green,NDUFC2,O95298,0.9195103722965564,ENSG00000151366,3,METFORMIN,4,APPROVAL,Mitochondrial complex I (NADH dehydrogenase) inhibitor; Mitochondrial glycerol-3-phosphate dehydrogenase inhibitor
magenta,RPS27A,P62979,0.8956131827649499,ENSG00000143947,6,MT-3724,2,PHASE_2,80S Ribosome inhibitor; B-lymphocyte antigen CD20 binding agent
magenta,RPS27A,P62979,0.8956131827649499,ENSG00000143947,6,CITATUZUMAB BOGATOX,1,PHASE_1,Epithelial cell adhesion molecule binding agent; 80S Ribosome inhibitor
magenta,RPS27A,P62979,0.8956131827649499,ENSG00000143947,6,ELX-02,2,PHASE_2,80S Ribosome modulator
magenta,RPS27A,P62979,0.8956131827649499,ENSG00000143947,6,ATALUREN,4,APPROVAL,80S Ribosome modulator
magenta,RPS27A,P62979,0.8956131827649499,ENSG00000143947,6,TELIMOMAB ARITOX,2,PHASE_2,T-cell surface glycoprotein CD5 binding agent; 80S Ribosome inhibitor
magenta,RPS27A,P62979,0.8956131827649499,ENSG00000143947,6,ZOLIMOMAB ARITOX,2,PHASE_2,T-cell surface glycoprotein CD5 binding agent; 80S Ribosome inhibitor
magenta,PSMD3,O43242,0.8543636160708376,ENSG00000108344,5,OPROZOMIB,2,PHASE_2,26S proteasome inhibitor
magenta,PSMD3,O43242,0.8543636160708376,ENSG00000108344,5,IXAZOMIB,4,APPROVAL,26S proteasome inhibitor
magenta,PSMD3,O43242,0.8543636160708376,ENSG00000108344,5,BORTEZOMIB D-MANNITOL,4,APPROVAL,26S proteasome inhibitor
magenta,PSMD3,O43242,0.8543636160708376,ENSG00000108344,5,CARFILZOMIB,4,APPROVAL,26S proteasome inhibitor
magenta,PSMD3,O43242,0.8543636160708376,ENSG00000108344,5,IXAZOMIB CITRATE,4,APPROVAL,26S proteasome inhibitor
magenta,EIF2S3,P41091,0.8518326004245241,ENSG00000130741,0,NA,NA,NA,NA
turquoise,ETFB,P38117,0.9264193971250836,ENSG00000105379,0,NA,NA,NA,NA
turquoise,IDH2,P48735,0.9099973207891432,ENSG00000182054,4,VORASIDENIB,4,APPROVAL,"Isocitrate dehydrogenase [NADP] cytoplasmic inhibitor; IDH1/IDH2 inhibitor; Isocitrate dehydrogenase [NADP], mitochondrial inhibitor"
turquoise,IDH2,P48735,0.9099973207891432,ENSG00000182054,4,VORASIDENIB CITRATE,NA,UNKNOWN,"Isocitrate dehydrogenase [NADP] cytoplasmic inhibitor; Isocitrate dehydrogenase [NADP], mitochondrial inhibitor"
turquoise,IDH2,P48735,0.9099973207891432,ENSG00000182054,4,ENASIDENIB MESYLATE,4,APPROVAL,"Isocitrate dehydrogenase [NADP], mitochondrial inhibitor"
turquoise,IDH2,P48735,0.9099973207891432,ENSG00000182054,4,ENASIDENIB,3,PHASE_3,"Isocitrate dehydrogenase [NADP], mitochondrial inhibitor"
turquoise,ALDH5A1,P51649,0.9028648367936312,ENSG00000112294,3,VALPROIC ACID,4,APPROVAL,Succinate semialdehyde dehydrogenase inhibitor
turquoise,ALDH5A1,P51649,0.9028648367936312,ENSG00000112294,3,DIVALPROEX SODIUM,4,APPROVAL,Succinate semialdehyde dehydrogenase inhibitor
turquoise,ALDH5A1,P51649,0.9028648367936312,ENSG00000112294,3,VALPROATE SODIUM,4,APPROVAL,Succinate semialdehyde dehydrogenase inhibitor
yellow,NPEPPS,P55786,0.9099388841960124,ENSG00000141279,1,TOSEDOSTAT,2,PHASE_2,Aminopeptidase inhibitor
yellow,GPD1,P21695,0.8646069509418005,ENSG00000167588,0,NA,NA,NA,NA
yellow,CMBL,Q96DG6,0.8299339685476926,ENSG00000164237,0,NA,NA,NA,NA
