module,gap_pre,gap_post,closure_pct,gap_closure_wilcox_p,gap_closure_pseudomedian,gap_closure_ci_lo,gap_closure_ci_hi
green,0.0141,0.1283,-811.1,0.91015625,-0.003550000000000001,-0.058800000000000005,0.044199999999999996
blue,0.0926,0.1794,-93.8,0.91015625,-0.003550000000000001,-0.058800000000000005,0.044199999999999996
yellow,0.1481,0.0801,45.9,0.91015625,-0.003550000000000001,-0.058800000000000005,0.044199999999999996
turquoise,0.1773,0.1728,2.5,0.91015625,-0.003550000000000001,-0.058800000000000005,0.044199999999999996
black,0.1001,0.0764,23.7,0.91015625,-0.003550000000000001,-0.058800000000000005,0.044199999999999996
brown,0.0343,0.0579,-69,0.91015625,-0.003550000000000001,-0.058800000000000005,0.044199999999999996
pink,0.0041,0.0349,-753.8,0.91015625,-0.003550000000000001,-0.058800000000000005,0.044199999999999996
magenta,0.0933,0.0349,62.7,0.91015625,-0.003550000000000001,-0.058800000000000005,0.044199999999999996
red,0.1119,0.0819,26.8,0.91015625,-0.003550000000000001,-0.058800000000000005,0.044199999999999996
