uniprot_id,module,gene,kME,GS,functional_group,GS_pheno
O75390,turquoise,CS,0.7734780260330322,0.39049354680769116,Oxidative Phosphorylation,"Age (Young=0, Old=1)"
P00505,turquoise,GOT2,0.8363093991652141,0.4377507273602535,Oxidative Phosphorylation,"Age (Young=0, Old=1)"
P05166,turquoise,PCCB,0.7755071559166213,0.45714020955657697,Organic Acid Catabolic Process,"Age (Young=0, Old=1)"
P07954,turquoise,FH,0.8262743845287849,0.513298169314967,Oxidative Phosphorylation,"Age (Young=0, Old=1)"
P13804,turquoise,ETFA,0.89856224876661,0.5340577814862,Oxidative Phosphorylation,"Age (Young=0, Old=1)"
P21397,turquoise,MAOA,0.7405909448904753,0.6999267828746432,Fatty Acid Metabolism,"Age (Young=0, Old=1)"
P30405,turquoise,PPIF,0.8123842891136477,0.44458103455124026,Other,"Age (Young=0, Old=1)"
P35914,turquoise,HMGCL,0.8404054247426861,0.686625358629962,Fatty Acid Metabolism,"Age (Young=0, Old=1)"
P38117,turquoise,ETFB,0.9264193971250836,0.5741409731029952,Oxidative Phosphorylation,"Age (Young=0, Old=1)"
P42765,turquoise,ACAA2,0.7950193932156435,0.44483804162599117,Oxidative Phosphorylation,"Age (Young=0, Old=1)"
P43155,turquoise,CRAT,0.9012034245605306,0.6701080356707992,Fatty Acid Metabolism,"Age (Young=0, Old=1)"
P48735,turquoise,IDH2,0.9099973207891433,0.6421544599111204,Oxidative Phosphorylation,"Age (Young=0, Old=1)"
P49748,turquoise,ACADVL,0.7803692171072955,0.42778240440099585,Oxidative Phosphorylation,"Age (Young=0, Old=1)"
P51649,turquoise,ALDH5A1,0.9028648367936312,0.6482893284343336,Organic Acid Catabolic Process,"Age (Young=0, Old=1)"
P53597,turquoise,SUCLG1,0.7424222344089809,0.2899462971179479,Oxidative Phosphorylation,"Age (Young=0, Old=1)"
Q16595,turquoise,FXN,0.8049950238266893,0.6319335357818019,Oxidative Phosphorylation,"Age (Young=0, Old=1)"
Q16762,turquoise,TST,0.8634606491079786,0.46308228755040415,Organic Acid Catabolic Process,"Age (Young=0, Old=1)"
Q8NI60,turquoise,COQ8A,0.8050966377763257,0.49902127992253703,Other,"Age (Young=0, Old=1)"
Q99798,turquoise,ACO2,0.8643042517275784,0.4954213622683351,Oxidative Phosphorylation,"Age (Young=0, Old=1)"
Q9NSE4,turquoise,IARS2,0.7733605876524042,0.3712827353012942,Other,"Age (Young=0, Old=1)"
Q9P0J1,turquoise,PDP1,0.7843778401931376,0.5926671426052126,Oxidative Phosphorylation,"Age (Young=0, Old=1)"
Q9P2R7,turquoise,SUCLA2,0.7727675264468898,0.3448719019519616,Oxidative Phosphorylation,"Age (Young=0, Old=1)"
Q9Y4W6,turquoise,AFG3L2,0.7426358252357654,0.28354236702428304,Oxidative Phosphorylation,"Age (Young=0, Old=1)"
O43707,brown,ACTN4,0.9207413948903435,-0.41392822896331305,Muscle Cell Development,"Age (Young=0, Old=1)"
P02585,brown,TNNC2,0.8582700639845775,-0.2773677351123922,Striated Muscle Contraction,"Age (Young=0, Old=1)"
P07951,brown,TPM2,0.9445347039063939,-0.3583784228440913,Striated Muscle Contraction,"Age (Young=0, Old=1)"
P09493,brown,TPM1,0.9470121297854904,-0.43083657870069775,Striated Muscle Contraction,"Age (Young=0, Old=1)"
P10828,brown,THRB,0.8960851105992222,-0.4525085049441501,Other,"Age (Young=0, Old=1)"
P12814,brown,ACTN1,0.9063555322494593,-0.4077268751243213,Muscle Cell Development,"Age (Young=0, Old=1)"
P35609,brown,ACTN2,0.9092529330237723,-0.38440155784311114,Striated Muscle Contraction,"Age (Young=0, Old=1)"
P45378,brown,TNNT3,0.9125106946650171,-0.40751908551963406,Striated Muscle Contraction,"Age (Young=0, Old=1)"
P48788,brown,TNNI2,0.928507913708007,-0.4478074210628532,Striated Muscle Contraction,"Age (Young=0, Old=1)"
P60709,brown,ACTB,0.8855669994825229,-0.191933980439568,Other,"Age (Young=0, Old=1)"
