module,trait,cor,pval,pval_raw,stars,label,xpos
MEgreen,BMI_Pre_Y,0.06665036522592625,0.9274464024917092,0.806265043434467,,0.07,1
MEpink,BMI_Pre_Y,0.03100154423848928,0.9274464024917092,0.9092588441307016,,0.03,1
MEturquoise,BMI_Pre_Y,0.24103689452177415,0.6184590122904251,0.36849237063981777,,0.24,1
MEred,BMI_Pre_Y,0.28682590075947323,0.6184590122904251,0.2814472657739668,,0.29,1
MEyellow,BMI_Pre_Y,-0.10463363425243408,0.9274464024917092,0.6997593263143977,,-0.10,1
MEbrown,BMI_Pre_Y,0.22901375832107015,0.6184590122904251,0.3935648260029978,,0.23,1
MEblack,BMI_Pre_Y,-0.25094912404253494,0.6184590122904251,0.3485045928942808,,-0.25,1
MEpurple,BMI_Pre_Y,-0.27417040940288606,0.6184590122904251,0.30414560531376045,,-0.27,1
MEblue,BMI_Pre_Y,-0.5488971757744969,0.30435168490127934,0.02766833499102539,,-0.55,1
MEmagenta,BMI_Pre_Y,-0.02477059068620821,0.9274464024917092,0.9274464024917092,,-0.02,1
MEgreen,VL_Pre_Y,0.15615193376454137,0.8185023832518747,0.5636000520964655,,0.16,2
MEpink,VL_Pre_Y,0.01766149460291493,0.948237894545776,0.948237894545776,,0.02,2
MEturquoise,VL_Pre_Y,-0.16431343259724726,0.8185023832518747,0.5431243526962461,,-0.16,2
MEred,VL_Pre_Y,-0.0905373112223384,0.8774504696355456,0.7387884153552717,,-0.09,2
MEyellow,VL_Pre_Y,0.5212457923681743,0.3557578579181818,0.03840231348643264,,0.52,2
MEbrown,VL_Pre_Y,0.42930941128306466,0.3557578579181818,0.09702487034132232,,0.43,2
MEblack,VL_Pre_Y,0.1836646228872899,0.8185023832518747,0.4959392928308506,,0.18,2
MEpurple,VL_Pre_Y,-0.39432570051347154,0.359401322564081,0.13069139002330218,,-0.39,2
MEblue,VL_Pre_Y,-0.4582140554017596,0.3557578579181818,0.07426922832566622,,-0.46,2
