classifier,auc,ci_lo,ci_hi,accuracy,n,n_young,n_old,perm_p
Pre,0.817777777777778,0.6365744414937997,0.9989811140617559,0.8,30,15,15,0.11
Post,0.8088888888888888,0.6077809674197707,1,0.9,30,15,15,0.05
DeltaME,0.45777777777777784,0.24035271895679586,0.6752028365987596,0.5,30,15,15,0.92
Combined,0.92,0.7884675237122581,1,0.8666666666666667,30,15,15,0.044
