outcome,stratification,auc,ci_lo,ci_hi,n
Delta VL,Within-Young,0.8214285714285715,0.5920495553934556,1,15
Delta VL,Within-Old,0.5892857142857143,0.2783921937246467,0.9001792348467819,15
Delta LBM,Within-Young,0.7321428571428572,0.4674899223717425,0.9967957919139717,15
Delta LBM,Within-Old,0.5892857142857143,0.27438410698812044,0.9041873215833082,15
