module_color,n,n_dep,dep_rate,auc,display_label
pink,84,1,0.011904761904761904,0.9518072289156626,M8: Mitochondrial Biogenesis
yellow,165,4,0.024242424242424242,0.8680124223602483,M4: Muscle Contraction
purple,67,6,0.08955223880597014,0.8142076502732241,M10: Ribosome Biogenesis
turquoise,345,112,0.32463768115942027,0.6645079705702028,M1: Lipid Catabolism
magenta,78,29,0.3717948717948718,0.6389866291344124,M9: Translation Initiation
black,99,15,0.15151515151515152,0.6373015873015871,M7: Translation Machinery
red,146,9,0.06164383561643835,0.5920519059205185,M6: Immunity/Heme
blue,261,28,0.10727969348659004,0.5611587982832607,M2: Cell Cycle/Proteostasis
brown,197,56,0.28426395939086296,0.5329280648429586,M3: Redox/Glycolysis
green,164,4,0.024390243902439025,0.5281250000000004,M5: Oxidative Phosphorylation
