outcome,stratification,auc,ci_lo,ci_hi,accuracy,n,n_responder,n_nonresponder,perm_p,null_mean,null_sd
Delta VL,Pooled,0.6622222222222223,0.45703223543051874,0.8674122090139258,0.6,30,15,15,0.37,0.6342222222222222,0.12021818079986565
Delta VL,Age-Stratified,0.8660714285714287,0.7387890069553631,0.9933538501874941,0.23333333333333334,30,16,14,0.056,0.6467232142857143,0.12366464033244265
Delta LBM,Pooled,0.45777777777777784,0.22941031260329056,0.6861452429522649,0.4666666666666667,30,15,15,0.958,0.6326933333333333,0.12089747962193279
Delta LBM,Age-Stratified,0.5803571428571428,0.36545264384129766,0.7952616418729881,0.6,30,16,14,0.668,0.6413303571428571,0.1177804422940635
