sample_id,subject,age,time,group,module,eigengene
OP_S06_Pre,OP_S06,Old,Pre,Old_Pre,green,-0.15739141132722628
OP_S06_Pre,OP_S06,Old,Pre,Old_Pre,turquoise,-0.017944677421963786
OP_S06_Pre,OP_S06,Old,Pre,Old_Pre,yellow,0.22159555396330693
OP_S06_Pre,OP_S06,Old,Pre,Old_Pre,blue,-0.08675012703922935
OP_S11_Pre,OP_S11,Old,Pre,Old_Pre,green,0.11625835817001318
OP_S11_Pre,OP_S11,Old,Pre,Old_Pre,turquoise,0.09221963574054975
OP_S11_Pre,OP_S11,Old,Pre,Old_Pre,yellow,-0.08274523725121241
OP_S11_Pre,OP_S11,Old,Pre,Old_Pre,blue,-0.09779757078466256
OP_S12_Pre,OP_S12,Old,Pre,Old_Pre,green,-0.08759076671433941
OP_S12_Pre,OP_S12,Old,Pre,Old_Pre,turquoise,0.136189002997268
OP_S12_Pre,OP_S12,Old,Pre,Old_Pre,yellow,0.0825885996905472
OP_S12_Pre,OP_S12,Old,Pre,Old_Pre,blue,-0.06279566179834478
OP_S17_Pre,OP_S17,Old,Pre,Old_Pre,green,0.18915969909627312
OP_S17_Pre,OP_S17,Old,Pre,Old_Pre,turquoise,0.2783219515977546
OP_S17_Pre,OP_S17,Old,Pre,Old_Pre,yellow,-0.2136192333976542
OP_S17_Pre,OP_S17,Old,Pre,Old_Pre,blue,-0.1727801372098247
O_S05_Pre,O_S05,Old,Pre,Old_Pre,green,-0.045675461777652866
O_S05_Pre,O_S05,Old,Pre,Old_Pre,turquoise,0.0901007419859929
O_S05_Pre,O_S05,Old,Pre,Old_Pre,yellow,0.08256515549582841
O_S05_Pre,O_S05,Old,Pre,Old_Pre,blue,0.03218159005615372
O_S06_Pre,O_S06,Old,Pre,Old_Pre,green,0.2857311750218905
O_S06_Pre,O_S06,Old,Pre,Old_Pre,turquoise,0.27631202147534234
O_S06_Pre,O_S06,Old,Pre,Old_Pre,yellow,-0.2190554756609964
O_S06_Pre,O_S06,Old,Pre,Old_Pre,blue,-0.16360095683535747
O_S07_Pre,O_S07,Old,Pre,Old_Pre,green,-0.1858212111957835
O_S07_Pre,O_S07,Old,Pre,Old_Pre,turquoise,-0.10590058848055055
O_S07_Pre,O_S07,Old,Pre,Old_Pre,yellow,0.3482601134114759
O_S07_Pre,O_S07,Old,Pre,Old_Pre,blue,0.034753862158342815
O_S10_Pre,O_S10,Old,Pre,Old_Pre,green,0.08889342443610565
O_S10_Pre,O_S10,Old,Pre,Old_Pre,turquoise,-0.015763259574328642
O_S10_Pre,O_S10,Old,Pre,Old_Pre,yellow,0.11691778669011506
O_S10_Pre,O_S10,Old,Pre,Old_Pre,blue,-0.19649758523579777
O_S16_Pre,O_S16,Old,Pre,Old_Pre,green,0.08686372212802966
