subject,age_group,p_old_avg,p_old_pre,p_old_post,gap_pre,gap_post,delta_p,flipped
OP_S06,Old,0.7689993554437888,0.7804579074518284,0.7571288569865937,0.21954209254817159,0.2428711430134063,-0.023329050465234702,FALSE
OP_S11,Old,0.9997097993786573,0.9970260109420144,0.9999717509640551,0.0029739890579856265,2.824903594489392e-5,0.0029457400220407326,FALSE
OP_S12,Old,0.9720517879253155,0.9690246293121054,0.9747908048468747,0.030975370687894577,0.025209195153125252,0.005766175534769324,FALSE
OP_S17,Old,0.9991600824551539,0.9996086113304062,0.9981984687695669,3.9138866959376184e-4,0.00180153123043314,-0.001410142560839378,FALSE
O_S05,Old,0.99151188283145,0.9269948973738216,0.9990702909523822,0.07300510262617843,9.297090476177994e-4,0.07207539357856063,FALSE
O_S06,Old,0.9993035915599373,0.9999790424454215,0.9773517656929033,2.0957554578537874e-5,0.022648234307096726,-0.02262727675251819,FALSE
O_S07,Old,0.29327394320668737,0.0012551199606075925,0.9927551719962912,0.9987448800393924,0.0072448280037088475,0.9915000520356836,TRUE
O_S10,Old,0.902878787537175,0.9246209585414258,0.8757083620680064,0.07537904145857421,0.1242916379319936,-0.04891259647341939,FALSE
O_S16,Old,0.9994899809449519,0.999417537880694,0.9995534180114666,5.824621193060153e-4,4.4658198853342324e-4,1.358801307725921e-4,FALSE
O_S17,Old,0.9990899456113103,0.9758450555328483,0.9999664814066028,0.024154944467151718,3.351859339717489e-5,0.024121425873754543,FALSE
O_S24,Old,0.9925349683176159,0.9953407083120309,0.9880599311198021,0.0046592916879690804,0.01194006888019794,-0.00728077719222886,FALSE
O_S28,Old,0.22579154862914727,0.16462306831717902,0.3014856607515256,0.835376931682821,0.6985143392484744,0.1368625924343466,FALSE
O_S29,Old,0.9991100022569126,0.9999484582393253,0.9848387609549756,5.1541760674678194e-5,0.015161239045024422,-0.015109697284349743,FALSE
O_S32,Old,0.9983217585944556,0.9999365770954596,0.9573456915786761,6.342290454042221e-5,0.042654308421323894,-0.04259088551678347,FALSE
O_S35,Old,0.997188886462929,0.9999284385148873,0.9000551107294104,7.156148511267002e-5,0.09994488927058964,-0.09987332778547697,FALSE
YP_S14,Young,0.62682925238723,0.07450271588947859,0.9722606463507947,0.07450271588947859,0.9722606463507947,0.8977579304613161,TRUE
YP_S45,Young,7.135116453767536e-5,6.333584703345477e-5,8.03807599475062e-5,6.333584703345477e-5,8.03807599475062e-5,1.7044912914051423e-5,FALSE
YP_S56,Young,0.20758603036931708,0.6848531716876418,0.030612916005131125,0.6848531716876418,0.030612916005131125,-0.6542402556825107,TRUE
Y_S01,Young,0.003112360861219698,3.346368834898979e-4,0.028294559727399818,3.346368834898979e-4,0.028294559727399818,0.02795992284390992,FALSE
Y_S10,Young,0.013567702330163817,0.08273120758932373,0.002093125725926059,0.08273120758932373,0.002093125725926059,-0.08063808186339767,FALSE
Y_S11,Young,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0,FALSE
Y_S16,Young,0.04171522830346946,0.03546977702355176,0.049004495473368506,0.03546977702355176,0.049004495473368506,0.013534718449816747,FALSE
Y_S28,Young,0.0028821483444451306,0.003999965401493082,0.002076061605024408,0.003999965401493082,0.002076061605024408,-0.0019239037964686742,FALSE
Y_S30,Young,0.0013212572844906662,4.8403747681436706e-4,0.003601364240143495,4.8403747681436706e-4,0.003601364240143495,0.003117326763329128,FALSE
Y_S31,Young,0.27073383825045977,0.99308310047401,9.590078005551923e-4,0.99308310047401,9.590078005551923e-4,-0.9921240926734548,TRUE
Y_S32,Young,0.00596211725842739,0.008188869526347859,0.004338224430415527,0.008188869526347859,0.004338224430415527,-0.003850645095932332,FALSE
Y_S34,Young,0.002125951035357137,0.01637302217711041,2.726077711258731e-4,0.01637302217711041,2.726077711258731e-4,-0.016100414405984538,FALSE
Y_S35,Young,0.01193322026024488,0.07104808852687595,0.0019035140153222444,0.07104808852687595,0.0019035140153222444,-0.06914457451155372,FALSE
Y_S36,Young,0.001791605394948064,2.0909328458619078e-4,0.015169555343280475,2.0909328458619078e-4,0.015169555343280475,0.014960462058694285,FALSE
Y_S40,Young,8.487442485981325e-4,0.01456093723305651,4.8832667372143926e-5,0.01456093723305651,4.8832667372143926e-5,-0.014512104565684365,FALSE
