module_color,n_module,n_dep_in,n_dep_out,n_nondep_in,n_nondep_out,fisher_p,odds_ratio,p_bh,display_label
turquoise,345,112,166,233,1602,1.425972704252558e-25,4.634246486203566,1.425972704252558e-24,M1: Lipid Catabolism
brown,197,56,222,141,1694,1.536314827047414e-9,3.02845940348691,7.68157413523707e-9,M3: Redox/Glycolysis
magenta,78,29,249,49,1786,3.748013965150112e-8,4.240873937889982,1.2493379883833708e-7,M9: Translation Initiation
black,99,15,263,84,1751,0.3170462288416834,1.1887663453173531,0.7926155721042084,M7: Translation Machinery
blue,261,28,250,233,1602,0.9121496716342372,0.7701526797667296,0.9999998956574614,M2: Cell Cycle/Proteostasis
green,164,4,274,160,1675,0.9999998806321737,0.1529023218575668,0.9999998956574614,M5: Oxidative Phosphorylation
pink,84,1,277,83,1752,0.9999944773664696,0.07624326273063636,0.9999998956574614,M8: Mitochondrial Biogenesis
purple,67,6,272,61,1774,0.8935422951774048,0.6416307600257953,0.9999998956574614,M10: Ribosome Biogenesis
red,146,9,269,137,1698,0.9984504035165613,0.41479959619019363,0.9999998956574614,M6: Immunity/Heme
yellow,165,4,274,161,1674,0.9999998956574614,0.15186204630221434,0.9999998956574614,M4: Muscle Contraction
