module,module_label,outcome,outcome_label,n_obs,r,r_partial,p_partial,rp_ci_lo,rp_ci_hi,p_partial_adj,partial_stars
MEblue,Cell Cycle/Proteostasis,delta_LBM,ΔLBM (kg),30,0.241703197153402,0.1814321122592827,0.34623681403625284,-0.1982568319088403,0.5137739305580987,0.5193552210543793,
MEblue,Cell Cycle/Proteostasis,delta_VL,ΔVL (cm),30,0.2848698749669102,0.1517946926428153,0.43183608445932464,-0.2273598351226667,0.490985093951642,0.647754126688987,
MEbrown,Redox/Glycolysis,delta_LBM,ΔLBM (kg),30,-0.4306642181293112,-0.38843401129776134,0.037311950217154145,-0.6608578099130945,-0.025568323633328175,0.11193585065146244,
MEbrown,Redox/Glycolysis,delta_VL,ΔVL (cm),30,-0.1809470697635359,-0.03050062607032333,0.8751958295976727,-0.392617370706535,0.3398035981575594,0.8751958295976727,
MEgreen,Oxidative Phosphorylation,delta_LBM,ΔLBM (kg),30,-0.032604334254155945,0.054645664678152905,0.7782948593522232,-0.31823357820126014,0.4128821607448189,0.7782948593522232,
MEgreen,Oxidative Phosphorylation,delta_VL,ΔVL (cm),30,-0.43443396231110476,-0.318905153448057,0.09176384391411302,-0.6136832015185567,0.05390043709501659,0.27529153174233906,
