pathway,pathway_label,database,NES_Aging,NES_Training_Old,padj_Aging,padj_Training_Old,significance,set_size
HALLMARK_DNA_REPAIR,DNA Repair,Hallmark,-0.587,0.858,0.98,0.7985,NS,31
HALLMARK_FATTY_ACID_METABOLISM,Fatty Acid Metabolism,Hallmark,2.151,-1.184,2.374e-5,0.4362,Sig Aging only,84
GOSLIM_MUSCLE_SYSTEM_PROCESS,Muscle System Process,GO Slim,-2.07,0.907,1.315e-6,0.7775,Sig Aging only,135
HALLMARK_MYOGENESIS,Myogenesis,Hallmark,-1.853,-1.114,8.623e-4,0.4696,Sig Aging only,103
HALLMARK_HEME_METABOLISM,Heme Metabolism,Hallmark,1.752,-1.122,0.02079,0.4696,Sig Aging only,48
HALLMARK_PEROXISOME,Peroxisome,Hallmark,1.948,-0.858,0.003909,0.7985,Sig Aging only,38
HALLMARK_OXIDATIVE_PHOSPHORYLATION,OXPHOS,Hallmark,1.995,-0.621,1.437e-5,0.9998,Sig Aging only,156
GOSLIM_CYTOPLASMIC_TRANSLATION,Cytoplasmic Translation,GO Slim,-2.9,2.596,4.513e-18,1.714e-12,Sig Both,116
GOSLIM_RIBOSOME_BIOGENESIS,Ribosome Biogenesis,GO Slim,-2.369,2.218,1.315e-6,3.789e-5,Sig Both,57
GOSLIM_AMINO_ACID_METABOLIC_PROCESS,Amino Acid Metabolic Process,GO Slim,2.058,-1.606,1.206e-5,0.01359,Sig Both,99
HALLMARK_ADIPOGENESIS,Adipogenesis,Hallmark,1.875,-1.715,5.234e-4,0.005132,Sig Both,110
GOSLIM_KETONE_METABOLIC_PROCESS,Ketone Metabolic Process,GO Slim,1.853,-1.658,0.002572,0.02487,Sig Both,50
HALLMARK_MITOTIC_SPINDLE,Mitotic Spindle,Hallmark,-1.574,1.967,0.07861,0.006267,Sig Training only,35
GOSLIM_PROTEIN_FOLDING,Protein Folding,GO Slim,1.286,1.775,0.2786,0.003643,Sig Training only,89
GOSLIM_DETOXIFICATION,Detoxification,GO Slim,1.433,-1.588,0.158,0.04051,Sig Training only,51
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,Unfolded Protein Response,Hallmark,-0.992,2.016,0.6718,0.005132,Sig Training only,32
HALLMARK_MYC_TARGETS_V1,MYC Targets V1,Hallmark,-1.294,1.678,0.1613,0.006267,Sig Training only,128
HALLMARK_SPERMATOGENESIS,Spermatogenesis,Hallmark,0.978,-1.821,0.6835,0.02961,Sig Training only,12
GOSLIM_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE,Protein Localization To Plasma Membrane,GO Slim,-0.981,1.703,0.7545,0.01539,Sig Training only,67
GOSLIM_ESTABLISHMENT_OR_MAINTENANCE_OF_CELL_POLARITY,Establishment Or Maintenance Of Cell Polarity,GO Slim,0.798,1.826,0.8671,0.01359,Sig Training only,40
