pathway,pval,padj,foldEnrichment,overlap,size,database,odds_ratio,module,Description,geneID,Count,p.adjust,ID
REACTOME_STRIATED_MUSCLE_CONTRACTION,7.967901975905076e-24,2.4780175145064784e-21,9.674908424908425,25,28,Reactome,93.87254901960785,yellow,Striated Muscle Contraction,ACTA1/ACTN2/ACTN3/DES/MYBPC1/MYBPC2/MYH3/MYH8/MYL1/MYL3/NEB/TCAP/TMOD1/TMOD4/TNNC1/TNNC2/TNNI1/TNNI2/TNNT1/TNNT3/TPM1/TPM2/TPM3/TTN/VIM,25,2.4780175145064784e-21,REACTOME_STRIATED_MUSCLE_CONTRACTION
HALLMARK_MYOGENESIS,4.899634940927225e-18,1.763868578733801e-16,4.313318396813543,41,103,Hallmark,7.969836614997905,yellow,Myogenesis,ACTA1/ACTN2/ACTN3/AGL/COL15A1/COL1A1/COL3A1/COL4A2/COL6A2/COL6A3/DES/HSPB8/ITGA7/LAMA2/MYBPH/MYH1/MYH2/MYH3/MYH4/MYH7/MYH8/MYL1/MYL3/MYL6B/MYOM1/MYOM2/MYOZ1/PDLIM7/PVALB/SPEG/SSPN/SVIL/TCAP/TNNC1/TNNC2/TNNI1/TNNI2/TNNT1/TNNT3/TPM2/TPM3,41,1.763868578733801e-16,HALLMARK_MYOGENESIS
GOBP_MUSCLE_CELL_DIFFERENTIATION,1.9330395364754367e-16,1.921441299256584e-13,4.143137254901961,39,102,GO:BP,7.361111111111111,yellow,Muscle Cell Differentiation,ACTA1/ACTN1/ACTN2/ACTN3/ACTN4/COL6A1/H3-3A/LAMA2/LAMB2/LAMC1/LMNA/LMOD2/LMOD3/MYBPC1/MYBPC2/MYBPH/MYH3/MYOM1/MYOM2/MYOM3/MYOZ1/MYOZ2/NEB/NID1/OBSCN/PDLIM5/PLEC/PPP3CA/PRKG1/SMYD1/SPEG/SYNPO2L/TCAP/TMOD1/TMOD4/TNNT1/TNNT3/TPM1/TTN,39,1.921441299256584e-13,GOBP_MUSCLE_CELL_DIFFERENTIATION
GOBP_MUSCLE_CELL_DEVELOPMENT,3.3336630811721594e-15,1.6568305513425632e-12,4.623316239316239,32,75,GO:BP,8.560422314167498,yellow,Muscle Cell Development,ACTA1/ACTN1/ACTN2/ACTN3/ACTN4/COL6A1/LMNA/LMOD2/LMOD3/MYBPC1/MYBPC2/MYBPH/MYH3/MYOM1/MYOM2/MYOM3/MYOZ1/MYOZ2/NEB/OBSCN/PDLIM5/PLEC/PPP3CA/PRKG1/SYNPO2L/TCAP/TMOD1/TMOD4/TNNT1/TNNT3/TPM1/TTN,32,1.6568305513425632e-12,GOBP_MUSCLE_CELL_DEVELOPMENT
GOBP_MYOFIBRIL_ASSEMBLY,6.385489181534539e-15,2.1157254154817774e-12,6.0479427549195,24,43,GO:BP,14.02770083102493,yellow,Myofibril Assembly,ACTA1/ACTN2/LMOD2/LMOD3/MYBPC1/MYBPC2/MYBPH/MYH3/MYOM1/MYOM2/MYOM3/MYOZ1/MYOZ2/NEB/OBSCN/PLEC/SYNPO2L/TCAP/TMOD1/TMOD4/TNNT1/TNNT3/TPM1/TTN,24,2.1157254154817774e-12,GOBP_MYOFIBRIL_ASSEMBLY
GOBP_MUSCLE_SYSTEM_PROCESS,4.693623805017634e-14,1.166365515546882e-11,3.3281684981684982,43,140,GO:BP,5.310838307107976,yellow,Muscle System Process,ACTA1/ACTN3/CALM1/COL6A1/DES/HMOX1/JPH2/LMNA/LMOD2/LMOD3/MYBPH/MYH1/MYH13/MYH2/MYH3/MYH4/MYH7/MYH8/MYL1/MYL3/MYL6/MYL6B/MYOM2/MYOZ1/MYOZ2/PDLIM5/PPP3CA/PRKG1/SSPN/SYNM/TCAP/TMOD1/TMOD4/TNNC1/TNNC2/TNNI1/TNNI2/TNNT1/TNNT3/TPM1/TPM2/TPM3/TTN,43,1.166365515546882e-11,GOBP_MUSCLE_SYSTEM_PROCESS
REACTOME_ECM_PROTEOGLYCANS,2.0839166690503828e-13,3.2404904203733454e-11,8.255921855921855,16,21,Reactome,34.19888268156424,yellow,Ecm Proteoglycans,BGN/COL1A1/COL1A2/COL3A1/COL4A1/COL4A2/COL4A5/COL6A1/COL6A2/COL6A3/DCN/HSPG2/ITGA7/LAMA2/LAMB2/LAMC1,16,3.2404904203733454e-11,REACTOME_ECM_PROTEOGLYCANS
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,8.541043114557326e-13,8.854214695424428e-11,4.571394230769231,27,64,Reactome,8.170366795366796,yellow,Extracellular Matrix Organization,ACTA1/ACTB/ACTN1/BGN/COL15A1/COL1A1/COL1A2/COL3A1/COL4A1/COL4A2/COL4A5/COL6A1/COL6A2/COL6A3/DCN/FBN1/HSPG2/ITGA7/LAMA2/LAMB2/LAMC1/NID1/NID2/PLEC/SNTB2/SSPN/VWF,27,8.854214695424428e-11,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION
GOBP_MUSCLE_ORGAN_DEVELOPMENT,2.179714357625662e-12,2.708295089349885e-10,3.810425471963933,32,91,GO:BP,6.185712800249558,yellow,Muscle Organ Development,ACTA1/ACTN3/COL3A1/COL6A1/COL6A3/DES/FHL3/ITGA7/JPH2/LAMA2/LMNA/LMOD3/MYH3/MYH7/MYL3/MYL6/MYL6B/MYOM1/MYOM2/MYOZ1/MYOZ2/NEB/PLEC/PPP3CA/SMYD1/SPEG/SVIL/TCAP/TNNC1/TNNI1/TPM1/TTN,32,2.708295089349885e-10,GOBP_MUSCLE_ORGAN_DEVELOPMENT
REACTOME_MUSCLE_CONTRACTION,3.5096574504702384e-12,2.7287586677406106e-10,4.2139601139601135,28,72,Reactome,7.140990745781165,yellow,Muscle Contraction,ACTA1/ACTN2/ACTN3/CALM1/DES/MYBPC1/MYBPC2/MYH3/MYH8/MYL1/MYL3/MYL6/MYL6B/NEB/TCAP/TMOD1/TMOD4/TNNC1/TNNC2/TNNI1/TNNI2/TNNT1/TNNT3/TPM1/TPM2/TPM3/TTN/VIM,28,2.7287586677406106e-10,REACTOME_MUSCLE_CONTRACTION
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS,1.046246722524518e-9,6.507654614102503e-8,7.043333333333333,13,20,Reactome,19.5,yellow,Integrin Cell Surface Interactions,COL1A1/COL1A2/COL3A1/COL4A1/COL4A2/COL4A5/COL6A1/COL6A2/COL6A3/FBN1/HSPG2/ITGA7/VWF,13,6.507654614102503e-8,REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS
