module,delta_VL,delta_LBM
MEgreen,0.2103545541632578,0.5734720725235296
MEpink,0.2784365973119902,0.750913817817217
MEturquoise,0.34232918515136446,0.45771823129471334
MEred,0.2528218904015594,0.10871849504791704
MEyellow,0.21005995914576767,0.19191621722397367
MEbrown,0.7713716562962196,0.4716032970167182
MEblack,0.8125899266096144,0.5325866870514476
MEpurple,0.6272240721755937,0.13682928407051795
MEblue,0.7417135417945073,0.8071844352240202
MEmagenta,0.3685363687358878,0.2655000360096144
MEgrey,0.027704710425303765,0.70828323071586
