module,contrast,estimate,SE,df,t_ratio,p_raw,r_equiv,singular,p_bh
MEgreen,Aging,0.01294,0.04305,55.92,0.3005,0.7648885017361561,0.0402,FALSE,0.912381873685755
MEgreen,Training_Young,-0.1058,0.03801,30.11,-2.7833,0.009207152659650901,-0.4524,FALSE,0.05965003041253395
MEgreen,Training_Old,0.009,0.03891,28.31,0.2314,0.8186883634681318,0.0434,FALSE,0.912381873685755
MEgreen,Interaction,0.1148,0.05439,29.17,2.1106,0.043499953159519114,0.364,FALSE,0.15949982825157008
MEpink,Aging,2.9e-4,0.04666,56.02,0.0063,0.9950237641524967,8e-4,FALSE,0.9950237641524967
MEpink,Training_Young,0.04666,0.04132,30.11,1.129,0.26779202941055946,0.2015,FALSE,0.5240300632463919
MEpink,Training_Old,0.01022,0.0423,28.31,0.2417,0.8107715626194312,0.0454,FALSE,0.912381873685755
MEpink,Interaction,-0.03643,0.05914,29.18,-0.6161,0.5426222896791708,-0.1133,FALSE,0.8730228999790619
MEturquoise,Aging,0.18208,0.0333,57.1,5.4671,1.0490463347891012e-6,0.5862,FALSE,4.6158038730720455e-5
MEturquoise,Training_Young,-0.01289,0.03064,30.21,-0.4208,0.6768438703857218,-0.0763,FALSE,0.8818841376888391
MEturquoise,Training_Old,-0.01875,0.03144,28.37,-0.5965,0.555560027259403,-0.1113,FALSE,0.8730228999790619
MEturquoise,Interaction,-0.00586,0.0439,29.25,-0.1334,0.8947674661981726,-0.0247,FALSE,0.960238256407795
MEred,Aging,0.01465,0.04882,41.84,0.3002,0.7655427078591608,0.0464,FALSE,0.912381873685755
MEred,Training_Young,0.0311,0.02886,29.12,1.0777,0.2900267145768382,0.1958,FALSE,0.5240300632463919
MEred,Training_Old,0.00192,0.02912,28.06,0.066,0.9478253877238061,0.0125,FALSE,0.9709289994852796
MEred,Interaction,-0.02918,0.041,28.58,-0.7116,0.48245494423646607,-0.132,FALSE,0.8164622133232503
MEyellow,Aging,-0.02208,0.04532,51.51,-0.4873,0.6281179469793808,-0.0677,FALSE,0.8818841376888391
MEyellow,Training_Young,-0.05292,0.03563,29.8,-1.4852,0.14799577332320835,-0.2625,FALSE,0.3427270540116404
MEyellow,Training_Old,-0.06715,0.03627,28.19,-1.8518,0.07456133633359077,-0.3293,FALSE,0.21633434963408496
MEyellow,Interaction,-0.01424,0.05084,28.96,-0.28,0.7814650930717316,-0.052,FALSE,0.912381873685755
MEbrown,Aging,-0.15073,0.0418,53.05,-3.6059,6.878092599260153e-4,-0.4437,FALSE,0.007565901859186168
MEbrown,Training_Young,-0.06937,0.03415,29.9,-2.0312,0.051202750702652386,-0.3482,FALSE,0.161923323546268
MEbrown,Training_Old,0.00757,0.03482,28.22,0.2174,0.8294380669870499,0.0409,FALSE,0.912381873685755
MEbrown,Interaction,0.07694,0.04877,29.03,1.5776,0.12549606032647226,0.281,FALSE,0.30676814746471
MEblack,Aging,-0.09959,0.04386,55.62,-2.2704,0.02707752031592639,-0.2912,FALSE,0.1323789882111957
MEblack,Training_Young,0.02122,0.03839,30.08,0.5528,0.5844574835051441,0.1003,FALSE,0.8818841376888391
MEblack,Training_Old,0.04657,0.03927,28.3,1.1859,0.24553148348715215,0.2176,FALSE,0.5240300632463919
MEblack,Interaction,0.02535,0.05491,29.15,0.4616,0.6478052482417458,0.0852,FALSE,0.8818841376888391
MEpurple,Aging,-0.10376,0.04398,54.54,-2.3592,0.02192175350090974,-0.3043,FALSE,0.12056964425500356
MEpurple,Training_Young,0.01548,0.03735,30,0.4145,0.6814559245777393,0.0755,FALSE,0.8818841376888391
MEpurple,Training_Old,0.07756,0.03815,28.26,2.0332,0.05152105749199437,0.3572,FALSE,0.161923323546268
MEpurple,Interaction,0.06208,0.05339,29.1,1.1629,0.2543380898158694,0.2107,FALSE,0.5240300632463919
MEblue,Aging,-0.07556,0.03531,57.99,-2.1399,0.036584637678298094,-0.2705,FALSE,0.14633855071319238
MEblue,Training_Young,0.15317,0.03453,30.35,4.4361,1.1148067687285579e-4,0.6272,FALSE,0.0016350499274685516
MEblue,Training_Old,0.06438,0.03557,28.48,1.8101,0.08084515366508277,0.3212,FALSE,0.21633434963408496
MEblue,Interaction,-0.08879,0.04957,29.37,-1.7911,0.08358372599498737,-0.3138,FALSE,0.21633434963408496
MEmagenta,Aging,-0.15417,0.03355,54.36,-4.5957,2.6077553337635082e-5,-0.529,FALSE,5.737061734279719e-4
MEmagenta,Training_Young,0.03004,0.02835,29.99,1.0597,0.29774435411726813,0.19,FALSE,0.5240300632463919
MEmagenta,Training_Old,-0.01477,0.02895,28.26,-0.5102,0.6138411341929866,-0.0956,FALSE,0.8818841376888391
MEmagenta,Interaction,-0.04481,0.04052,29.09,-1.106,0.2777943588079071,-0.2009,FALSE,0.5240300632463919
MEgrey,Aging,0.0899,0.04125,46.66,2.1797,0.03436068602816036,0.304,FALSE,0.14633855071319238
MEgrey,Training_Young,-0.07924,0.02856,29.47,-2.7749,0.009489777565630401,-0.4551,FALSE,0.05965003041253395
MEgrey,Training_Old,-0.08187,0.02893,28.11,-2.8297,0.008504105326550913,-0.4709,FALSE,0.05965003041253395
MEgrey,Interaction,-0.00263,0.04065,28.77,-0.0647,0.9488624313151596,-0.0121,FALSE,0.9709289994852796
