"module","method","n_hubs","n_survivors_pre","n_survivors_post","n_groups_3plus","n_assigned_hubs","pct_assigned","top1","top2","top3","top4","top1_overlap","top2_overlap","top3_overlap","top4_overlap","top1_padj","top2_padj","top3_padj","top4_padj","top1_db","top2_db","top3_db","top4_db"
"green","PerDB_BH_rrvgo",10,15,12,4,10,100,"Reference Electron Transfer in Complex i","Mitochondrial Electron Transport Nadh to Ubiqui...","Complex i Biogenesis","Proton Motive Force Driven Atp Synthesis",10,10,10,10,9.62219200388932e-16,5.58744261533163e-14,1.01921245836895e-13,2.07069825640033e-12,"KEGG","GO:BP","Reactome","GO:BP"
"brown","PerDB_BH_rrvgo",10,12,8,4,10,100,"Muscle Cell Development","Striated Muscle Contraction","Myofibril Assembly","Muscle Contraction",8,6,6,6,3.9803475954108e-07,1.92385786336965e-06,1.45172598974622e-05,0.000145712355011123,"GO:BP","Reactome","GO:BP","Reactome"
"turquoise","PerDB_BH_rrvgo",10,11,8,4,10,100,"Amino Acid Metabolic Process","Organic Acid Catabolic Process","Oxidative Phosphorylation","Generation of Precursor Metabolites and Energy",6,7,6,6,6.59398549626336e-05,8.73201402008885e-05,0.00367353358935406,0.00612672633233345,"GO Slim","GO:BP","Hallmark","GO Slim"
"blue","PerDB_BH_rrvgo",10,14,14,2,4,40,"Env Factor Iron to Anterograde Axonal Transport","Reference Rab7 Regulated Microtubule Minus End ...","Reference Branching Microtubule Nucleation","Reference Arl8 Regulated Microtubule Plus End D...",3,3,2,2,0.000503648349213962,0.00661333244467917,0.00758469663455802,0.00892437302930748,"KEGG","KEGG","KEGG","KEGG"
"pink","PerDB_BH_rrvgo",10,13,11,4,9,90,"Formation of Atp by Chemiosmotic Coupling","Mitochondrial Biogenesis","Oxidative Phosphorylation","Proton Transmembrane Transport",7,7,9,8,8.50169554117115e-11,7.87652360348998e-08,1.51606648167452e-07,2.24672847651992e-06,"Reactome","Reactome","Hallmark","GO:BP"
