module,delta_VL,delta_LBM
MEgreen,0.004162480542289803,0.9189715127845917
MEpink,0.9512169305858806,0.15973644373527757
MEturquoise,0.8021038490374827,0.6800201503813657
MEred,0.12498292712045919,0.540624075892084
MEyellow,0.5029368622813533,0.7636871613632583
MEbrown,0.976348100705682,0.014383772606389837
MEblack,0.8943627327668,0.44747077307308514
MEpurple,0.8553918610089029,0.5897826506892616
MEblue,0.3261334344789203,0.3142436036912258
MEmagenta,0.7610339422473249,0.462332464924333
MEgrey,0.941608643957841,0.6853371273639497
