module,age_num,time_num,interaction,VL_thick_cm,DXA_LBM_kg,BMI,Type_I_fCSA,Type_II_fCSA,deadlift_1rm_kg
MEgreen,0.12362041981600674,0.35959481469404575,0.4039774149093242,0.971075330458898,0.47269560730069765,0.6613893290463188,0.2081396405741277,0.9111454191169854,0.5974177687901182
MEpink,0.8132683890494623,0.6411794253824054,0.9607081203138701,0.7413153491116324,0.5974177687901182,0.6180782376855565,0.6557405625498336,0.528343272654421,0.8532639992087315
MEturquoise,1.4408579349524031e-8,0.829587015160527,0.02885706964434427,0.12362041981600674,0.9607081203138701,0.13060792016695622,0.971075330458898,0.03571793247792302,0.0761486758081416
MEred,0.8691525069259215,0.8758029412842805,0.928392088514367,0.971075330458898,0.6180782376855565,0.11264690436413866,0.6898576970301864,0.9788570101872409,0.7413153491116324
MEyellow,0.6284983182562123,0.21156409616738994,0.26573588056743275,0.9133204945031306,0.6180782376855565,0.6411794253824054,0.8758029412842805,0.6180782376855565,0.47269560730069765
MEbrown,0.006091525095876632,0.6557405625498336,0.21156409616738994,0.025559578342552017,0.6979241448290563,0.5562468085609389,0.5562468085609389,0.025559578342552017,0.27263621165437346
MEblack,0.05012275108639824,0.5974177687901182,0.6979241448290563,0.239403548738888,0.9111454191169854,0.21156409616738994,0.6613893290463188,0.7413153491116324,0.9607081203138701
MEpurple,0.11264690436413866,0.4562772971307063,0.9788570101872409,0.7310368279310251,0.7889499948113877,0.6898576970301864,0.8758029412842805,0.9225534213531122,0.7023566647784226
MEblue,0.0035461164752404874,0.006091525095876632,0.6176097773516728,0.7471282398140933,0.8758029412842805,0.05012275108639824,0.3673845241786523,0.7722175076054204,0.4832718025597423
MEmagenta,1.6593086047912574e-8,0.9133204945031306,0.006091525095876632,0.356257895077906,0.8532639992087315,0.0928216426600636,0.6238000562913872,0.006091525095876632,0.21156409616738994
MEgrey,0.02885706964434427,0.07100109473079226,0.9133204945031306,0.0620164233866851,0.16995767479482915,0.6613893290463188,0.9607081203138701,0.1309497061202732,0.4882029700439705
