module,BMI_Pre,VL_Pre,LBM_Pre
MEgreen,0.23687369267031247,0.8868556471486613,0.5824775682235237
MEpink,0.3010031625521198,0.970100431510838,0.9472260784374548
MEturquoise,0.04668496050212324,0.80286148693657,0.4324691018384935
MEred,0.034725916871207595,0.7523822232937354,0.6260928549414834
MEyellow,0.16468950017424325,0.8402853968392845,0.8394652507287885
MEbrown,0.2747001252451713,0.4302143410294572,0.13610894070920787
MEblack,0.513275213194148,0.529529774461539,0.6379327110740662
MEpurple,0.2864303708223901,0.6690618211899046,0.2514625498421845
MEblue,0.08561263912265712,0.9895368769101645,0.7861741714015906
MEmagenta,0.33222403080282725,0.6667082442824781,0.32094668976955965
MEgrey,0.9435211776166347,0.15183096915610225,0.7226087788603067
