module,BMI_Pre,VL_Pre,LBM_Pre
MEgreen,0.4060515932034556,0.9895368769101645,0.9234117758016674
MEpink,0.4060515932034556,0.9895368769101645,0.9472260784374548
MEturquoise,0.2567672827616778,0.9895368769101645,0.9234117758016674
MEred,0.2567672827616778,0.9895368769101645,0.9234117758016674
MEyellow,0.4060515932034556,0.9895368769101645,0.9234117758016674
MEbrown,0.4060515932034556,0.9895368769101645,0.9234117758016674
MEblack,0.5646027345135629,0.9895368769101645,0.9234117758016674
MEpurple,0.4060515932034556,0.9895368769101645,0.9234117758016674
MEblue,0.31391301011640943,0.9895368769101645,0.9234117758016674
MEmagenta,0.4060515932034556,0.9895368769101645,0.9234117758016674
MEgrey,0.9435211776166347,0.9895368769101645,0.9234117758016674
