"module","database","n_hubs","n_tested","n_sig","n_groups_3plus","n_assigned_hubs","pct_assigned","top1","top2","top3","top4","top1_overlap","top2_overlap","top3_overlap","top4_overlap","top1_padj","top2_padj","top3_padj","top4_padj"
"green","Hallmark",10,43,1,1,10,100,"Oxidative Phosphorylation",NA,NA,NA,10,NA,NA,NA,1.43170895409171e-09,NA,NA,NA
"green","GO Slim",10,29,2,2,10,100,"Generation of Precursor Metabolites and Energy","Mitochondrion Organization",NA,NA,10,7,NA,NA,1.73115012428462e-08,4.61697292996079e-05,NA,NA
"green","KEGG",10,105,6,4,10,100,"Reference Electron Transfer in Complex i","Variant Mutation Caused Aberrant Snca to Electr...","Variant Mutation Inactivated Pink1 to Electron ...","Variant Mutation Caused Aberrant Tdp43 to Elect...",10,10,10,10,9.62219200388932e-16,9.62219200388932e-16,9.62219200388932e-16,9.62219200388932e-16
"green","Reactome",10,602,3,3,10,100,"Complex i Biogenesis","Respiratory Electron Transport","Aerobic Respiration and Respiratory Electron Tr...",NA,10,10,10,NA,1.01921245836895e-13,2.09635216346995e-10,1.14963069897893e-08,NA
"green","GO:BP",10,2016,18,4,10,100,"Mitochondrial Electron Transport Nadh to Ubiqui...","Proton Motive Force Driven Atp Synthesis","Atp Biosynthetic Process","Atp Synthesis Coupled Electron Transport",10,10,10,10,5.58744261533163e-14,2.07069825640033e-12,7.47119762850342e-12,8.19105601449667e-12
"green","Combined",10,2795,30,4,10,100,"Mitochondrial Electron Transport Nadh to Ubiqui...","Reference Electron Transfer in Complex i","Variant Mutation Caused Aberrant Snca to Electr...","Variant Mutation Inactivated Pink1 to Electron ...",10,10,10,10,1.93661980528917e-14,1.93661980528917e-14,1.93661980528917e-14,1.93661980528917e-14
"brown","Hallmark",10,43,2,2,8,80,"Myogenesis","Apical Junction",NA,NA,6,3,NA,NA,0.000185312323358481,0.0185057617609286,NA,NA
"brown","GO Slim",10,29,1,1,6,60,"Muscle System Process",NA,NA,NA,6,NA,NA,NA,0.000570718534686251,NA,NA,NA
"brown","KEGG",10,105,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"brown","Reactome",10,602,3,3,8,80,"Striated Muscle Contraction","Muscle Contraction","Nephrin Family Interactions",NA,6,6,3,NA,1.92385786336965e-06,0.000145712355011123,0.000692050044872477,NA
