module,delta_VL,delta_LBM
MEgreen,0.1926452737509821,0.952511706991557
MEpink,0.8161469618382021,0.6547465403720178
MEturquoise,0.9402561090242304,0.8901737056462964
MEred,0.6549991814620774,0.8031951107097764
MEyellow,0.9637567624825916,0.8901737056462964
MEbrown,0.7618835745412325,0.1926452737509821
MEblack,0.9637567624825916,0.8901737056462964
MEpurple,0.9402561090242304,0.9385233055662328
MEblue,0.4837938999967528,0.6377431941468513
MEmagenta,0.9385233055662328,0.8901737056462964
MEgrey,0.8031951107097764,0.9402561090242304
